,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
1847,7.130434782608695,2530.0,-3.010869565217391,1597.0,2098.0,1.684782608695652,19516.6015625,709.0,84990.56603773567,119.96951219512196,-3935.0,3.0,3.0,10259327.0,0.0,793.0,105.21341463414635,-3451.0,-24.176829268292686,709.0,0.011766011766011792,0.01176601176601179,108.0,-0.5167464114832536,1176.0,-6.77511961722488,1416.0,5.626794258373206,7.921295864083831
1848,6.684782608695652,2592.0,-3.684782608695652,1638.0,2070.0,1.9891304347826086,19521.484375,709.0,84990.56603773567,98.96341463414635,-3246.0,3.0,3.0,10259487.0,0.004884004884004884,801.0,119.02439024390245,-3904.0,-24.420731707317074,709.0,0.011766011766011792,0.01176601176601179,-200.0,0.9569377990430622,1292.0,-7.215311004784689,1508.0,6.181818181818182,7.888002363427906
1849,6.108695652173913,2652.0,-4.33695652173913,1691.0,1997.0,2.782608695652174,19526.3671875,710.0,81899.99999999984,90.2439024390244,-2960.0,3.0,3.0,10259647.0,0.009768009768009768,1239.0,111.12804878048782,-3645.0,-37.774390243902445,710.0,0.012210012210012234,0.012210012210012234,-668.0,3.1961722488038276,1168.0,-7.789473684210526,1628.0,5.588516746411483,7.991762358545401
1850,6.206521739130435,2575.0,-3.5,1682.0,2063.0,2.0652173913043477,19531.25,710.0,81899.99999999984,83.9329268292683,-2753.0,3.0,3.0,10259807.0,0.014652014652014652,1469.0,127.8048780487805,-4192.0,-44.78658536585366,710.0,0.012210012210012234,0.012210012210012234,-492.0,2.354066985645933,1296.0,-5.588516746411483,1168.0,6.200956937799043,7.418627566581612
1851,7.728260869565217,2484.0,-2.510869565217391,1542.0,1990.0,2.858695652173913,19536.1328125,711.0,79026.31578947355,127.8048780487805,-4192.0,3.0,3.0,10259967.0,0.019536019536019536,743.0,117.8658536585366,-3866.0,-22.652439024390247,711.0,0.012654012654012677,0.012654012654012677,396.0,-1.894736842105263,872.0,-5.090909090909091,1064.0,4.172248803827751,8.614094431415639
1852,9.66304347826087,1547.0,7.673913043478261,1364.0,1991.0,2.8478260869565215,19541.015625,711.0,79026.31578947355,228.0487804878049,-7480.0,3.0,3.0,10260127.0,0.02442002442002442,-2108.0,36.79878048780488,-1207.0,64.26829268292684,711.0,0.012654012654012677,0.012654012654012677,144.0,-0.6889952153110047,1464.0,6.200956937799043,-1296.0,7.0047846889952154,12.663864500348058
1853,5.413043478260869,2613.0,-3.9130434782608696,1755.0,1842.0,4.467391304347826,19545.8984375,710.0,81899.99999999984,130.70121951219514,-4287.0,3.0,3.0,10260287.0,0.029304029304029304,2336.0,70.21341463414635,-2303.0,-71.21951219512196,710.0,0.012210012210012234,0.012210012210012234,-1040.0,4.976076555023924,960.0,-12.497607655502392,2612.0,4.5933014354066986,8.035579258924962
1854,5.054347826086956,2920.0,-7.25,1788.0,2103.0,1.6304347826086956,19550.78125,710.0,81899.99999999984,102.89634146341464,-3375.0,3.0,3.0,10260447.0,0.03418803418803419,-565.0,114.66463414634147,-3761.0,17.225609756097562,710.0,0.012210012210012234,0.012210012210012234,248.0,-1.186602870813397,736.0,-12.095693779904305,2528.0,3.5215311004784686,8.98706011593392
1855,4.728260869565217,2951.0,-7.58695652173913,1818.0,1947.0,3.3260869565217392,19555.6640625,711.0,79026.31578947355,100.91463414634147,-3310.0,3.0,3.0,10260607.0,0.03907203907203907,327.0,100.60975609756099,-3300.0,-9.969512195121952,711.0,0.012654012654012677,0.012654012654012677,-420.0,2.0095693779904304,660.0,-11.464114832535884,2396.0,3.1578947368421053,9.538407338532235
1856,3.8043478260869565,2952.0,-7.5978260869565215,1903.0,1930.0,3.510869565217391,19560.546875,710.0,81899.99999999984,87.22560975609757,-2861.0,3.0,3.0,10260767.0,0.04395604395604395,789.0,96.6158536585366,-3169.0,-24.05487804878049,710.0,0.012210012210012234,0.012210012210012234,-344.0,1.645933014354067,404.0,-11.444976076555024,2392.0,1.9330143540669855,9.193814699756535
1857,3.7391304347826084,2862.0,-6.619565217391304,1909.0,1964.0,3.141304347826087,19565.4296875,710.0,81899.99999999984,79.93902439024392,-2622.0,3.0,3.0,10260927.0,0.04884004884004884,921.0,103.65853658536587,-3400.0,-28.07926829268293,710.0,0.012210012210012234,0.012210012210012234,-224.0,1.0717703349282297,444.0,-9.952153110047847,2080.0,2.124401913875598,8.226027782671624
1858,4.25,2726.0,-5.141304347826087,1862.0,1959.0,3.1956521739130435,19570.3125,711.0,79026.31578947355,80.0609756097561,-2626.0,3.0,3.0,10261087.0,0.05372405372405373,1202.0,96.6158536585366,-3169.0,-36.646341463414636,711.0,0.012654012654012677,0.012654012654012677,-244.0,1.1674641148325358,552.0,-8.0,1672.0,2.6411483253588517,7.396465589294023
