,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
3690,1410.0,7.4021739130434785,9.16304347826087,1572.0,5.978260869565217,1703.0,30522.4609375,79026.31578947355,711.0,6890.0,-210.06097560975613,3.0,3.0,1572202.0,0.0,-3910.0,72.83536585365854,119.20731707317074,-2389.0,711.0,0.012654012654012677,0.012654012654012677,4.2105263157894735,-880.0,1152.0,7.636363636363636,-1596.0,5.511961722488038,13.209585438158728
3691,1412.0,6.760869565217391,9.141304347826086,1631.0,5.771739130434782,1722.0,30527.34375,84990.56603773567,709.0,6481.0,-197.59146341463418,3.0,3.0,1572362.0,0.004884004884004884,-3120.0,77.34756097560977,95.1219512195122,-2537.0,709.0,0.011766011766011792,0.01176601176601179,4.057416267942584,-848.0,1016.0,7.6746411483253585,-1604.0,4.861244019138756,12.750912714282807
3692,1425.0,6.163043478260869,9.0,1686.0,5.5978260869565215,1738.0,30532.2265625,81899.99999999984,710.0,6387.0,-194.72560975609758,3.0,3.0,1572522.0,0.009768009768009768,-2320.0,81.06707317073172,70.73170731707317,-2659.0,710.0,0.012210012210012234,0.012210012210012234,3.9808612440191387,-832.0,960.0,7.425837320574162,-1552.0,4.5933014354066986,12.260455204222426
3693,1388.0,6.065217391304348,9.402173913043478,1695.0,5.543478260869565,1743.0,30537.109375,81899.99999999984,710.0,6446.0,-196.52439024390245,3.0,3.0,1572682.0,0.014652014652014652,-1670.0,90.76219512195122,50.91463414634147,-2977.0,710.0,0.012210012210012234,0.012210012210012234,4.229665071770334,-884.0,968.0,8.382775119617225,-1752.0,4.631578947368421,12.486708434316448
3694,1330.0,6.0978260869565215,10.032608695652174,1692.0,6.032608695652174,1698.0,30541.9921875,84990.56603773567,709.0,6552.0,-199.75609756097563,3.0,3.0,1572842.0,0.019536019536019536,-919.0,100.3048780487805,28.01829268292683,-3290.0,709.0,0.011766011766011792,0.01176601176601179,4.6124401913875595,-964.0,984.0,9.148325358851674,-1912.0,4.708133971291866,13.199586656471531
3695,1269.0,6.228260869565217,10.695652173913043,1680.0,5.934782608695652,1707.0,30546.875,95840.42553191462,706.0,6810.0,-207.62195121951223,3.0,3.0,1573002.0,0.02442002442002442,-573.0,100.76219512195122,17.469512195121954,-3305.0,706.0,0.010434010434010463,0.010434010434010463,4.248803827751196,-888.0,1012.0,9.492822966507177,-1984.0,4.842105263157895,13.72624688314925
3696,1255.0,6.891304347826087,10.847826086956522,1619.0,6.33695652173913,1670.0,30551.7578125,100099.99999999968,705.0,6978.0,-212.7439024390244,3.0,3.0,1573162.0,0.029304029304029304,-236.0,95.21341463414635,7.195121951219513,-3123.0,705.0,0.009990009990010023,0.009990009990010021,4.555023923444976,-952.0,1188.0,9.703349282296651,-2028.0,5.684210526315789,14.329076187446045
3697,1269.0,7.858695652173913,10.695652173913043,1530.0,6.858695652173913,1622.0,30556.640625,84990.56603773567,709.0,7108.0,-216.70731707317074,3.0,3.0,1573322.0,0.03418803418803419,40.0,83.01829268292684,-1.2195121951219514,-2723.0,709.0,0.011766011766011792,0.01176601176601179,5.22488038277512,-1092.0,1460.0,9.320574162679426,-1948.0,6.985645933014354,14.939805180388978
3698,1246.0,8.467391304347826,10.945652173913043,1474.0,7.043478260869565,1605.0,30561.5234375,84990.56603773567,709.0,7252.0,-221.09756097560978,3.0,3.0,1573482.0,0.03907203907203907,-39.0,79.81707317073172,1.1890243902439026,-2618.0,709.0,0.011766011766011792,0.01176601176601179,5.358851674641148,-1120.0,1572.0,9.68421052631579,-2024.0,7.521531100478469,15.5278653724385
3699,1212.0,9.01086956521739,11.315217391304348,1424.0,6.956521739130435,1613.0,30566.40625,84990.56603773567,709.0,7184.0,-219.02439024390245,3.0,3.0,1573642.0,0.04395604395604395,-367.0,82.6829268292683,11.189024390243903,-2712.0,709.0,0.011766011766011792,0.01176601176601179,5.263157894736842,-1100.0,1680.0,10.124401913875598,-2116.0,8.038277511961722,16.050642032044443
3700,1181.0,9.391304347826086,11.652173913043478,1389.0,6.923913043478261,1616.0,30571.2890625,84990.56603773567,709.0,6856.0,-209.02439024390245,3.0,3.0,1573802.0,0.04884004884004884,-609.0,85.88414634146342,18.56707317073171,-2817.0,709.0,0.011766011766011792,0.01176601176601179,5.244019138755981,-1096.0,1732.0,10.392344497607654,-2172.0,8.287081339712918,16.48970363854234
3701,1155.0,9.467391304347826,11.934782608695652,1382.0,6.945652173913043,1614.0,30576.171875,79026.31578947355,711.0,6394.0,-194.93902439024393,3.0,3.0,1573962.0,0.05372405372405373,-709.0,89.0548780487805,21.615853658536587,-2921.0,711.0,0.012654012654012677,0.012654012654012677,5.205741626794258,-1088.0,1712.0,10.889952153110048,-2276.0,8.191387559808613,16.742539178614695
