,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
1028,1664.0,7.054347826086956,1604.0,6.4021739130434785,1902.0,3.8152173913043477,47290.0390625,81899.99999999984,710.0,12.77439024390244,-419.0,3.0,3.0,3478433.0,0.0,3565.0,-44.63414634146342,1464.0,-108.68902439024392,710.0,0.012210012210012234,0.012210012210012234,2.5454545454545454,-532.0,1208.0,4.784688995215311,5.779904306220096,-1000.0,10.2619461023328
1029,1628.0,6.804347826086956,1627.0,6.793478260869565,1821.0,4.695652173913043,47294.921875,81899.99999999984,710.0,3.7500000000000004,-123.0,3.0,3.0,3478593.0,0.004884004884004884,3493.0,-44.54268292682927,1461.0,-106.4939024390244,710.0,0.012210012210012234,0.012210012210012234,3.2344497607655502,-676.0,1156.0,5.205741626794258,5.5311004784688995,-1088.0,10.700450717500452
1030,1617.0,6.6521739130434785,1641.0,6.913043478260869,1826.0,4.641304347826087,47299.8046875,76347.45762711852,712.0,-3.414634146341464,112.0,3.0,3.0,3478753.0,0.009768009768009768,3435.0,-41.79878048780488,1371.0,-104.72560975609757,712.0,0.013098013098013119,0.013098013098013117,2.5645933014354068,-536.0,1112.0,5.148325358851674,5.320574162679426,-1076.0,10.657546338198612
1031,1624.0,6.456521739130435,1659.0,6.83695652173913,1882.0,4.032608695652174,47304.6875,84990.56603773567,709.0,-6.189024390243903,203.0,3.0,3.0,3478913.0,0.014652014652014652,3629.0,-37.83536585365854,1241.0,-110.64024390243904,709.0,0.011766011766011792,0.01176601176601179,2.1052631578947367,-440.0,1044.0,5.0143540669856455,4.9952153110047846,-1048.0,10.231939226767555
1032,1621.0,6.130434782608695,1689.0,6.869565217391304,1870.0,4.163043478260869,47309.5703125,76347.45762711852,712.0,-7.225609756097562,237.0,3.0,3.0,3479073.0,0.019536019536019536,3661.0,-36.06707317073171,1183.0,-111.6158536585366,712.0,0.013098013098013119,0.013098013098013117,2.6411483253588517,-552.0,960.0,5.167464114832535,4.5933014354066986,-1080.0,10.104656743388235
1033,1605.0,6.076086956521739,1694.0,7.043478260869565,1830.0,4.5978260869565215,47314.453125,81899.99999999984,710.0,-10.121951219512196,332.0,3.0,3.0,3479233.0,0.02442002442002442,3475.0,-34.60365853658537,1135.0,-105.94512195121952,710.0,0.012210012210012234,0.012210012210012234,2.92822966507177,-612.0,996.0,5.492822966507177,4.765550239234449,-1148.0,10.376387783831793
1034,1590.0,6.271739130434782,1676.0,7.206521739130435,1845.0,4.434782608695652,47319.3359375,84990.56603773567,709.0,-14.115853658536587,463.0,3.0,3.0,3479393.0,0.029304029304029304,3262.0,-30.670731707317074,1006.0,-99.45121951219514,709.0,0.011766011766011792,0.01176601176601179,2.6220095693779903,-548.0,1024.0,5.492822966507177,4.899521531100478,-1148.0,10.532614304301463
1035,1559.0,6.554347826086956,1650.0,7.543478260869565,1842.0,4.467391304347826,47324.21875,84990.56603773567,709.0,-18.53658536585366,608.0,3.0,3.0,3479553.0,0.03418803418803419,3054.0,-27.378048780487806,898.0,-93.10975609756099,709.0,0.011766011766011792,0.01176601176601179,2.6985645933014353,-564.0,1108.0,5.952153110047846,5.301435406698564,-1244.0,10.94628360511937
1036,1516.0,6.619565217391304,1644.0,8.01086956521739,1813.0,4.782608695652174,47329.1015625,88323.5294117645,708.0,-24.451219512195124,802.0,3.0,3.0,3479713.0,0.03907203907203907,2643.0,-28.475609756097562,934.0,-80.57926829268294,708.0,0.01132201132201135,0.011322011322011348,3.1196172248803826,-652.0,1148.0,6.4688995215311005,5.492822966507177,-1352.0,11.439668736198215
1037,1482.0,6.630434782608695,1643.0,8.380434782608695,1838.0,4.510869565217392,47333.984375,84990.56603773567,709.0,-31.79878048780488,1043.0,3.0,3.0,3479873.0,0.04395604395604395,2253.0,-28.780487804878053,944.0,-68.68902439024392,709.0,0.011766011766011792,0.01176601176601179,2.6985645933014353,-564.0,1128.0,6.92822966507177,5.3971291866028706,-1448.0,11.599236905348102
