,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
413,3.4565217391304346,1317.0,10.17391304347826,1935.0,1747.0,5.5,9448.2421875,91928.57142857119,707.0,-5.853658536585367,192.0,3.0,3.0,12181147.0,0.0,4.75609756097561,-432.0,-156.0,13.170731707317074,0.010878010878010906,0.010878010878010906,707.0,3.7703349282296648,-788.0,8.880382775119617,372.0,1.7799043062200957,-1856.0,12.07087607215559
414,3.4130434782608696,1311.0,10.239130434782608,1939.0,1743.0,5.543478260869565,9453.125,91928.57142857119,707.0,-6.036585365853659,198.0,3.0,3.0,12181307.0,0.004884004884004884,4.786585365853659,-437.0,-157.0,13.323170731707318,0.010878010878010906,0.010878010878010906,707.0,3.8468899521531097,-804.0,8.937799043062201,356.0,1.7033492822966507,-1868.0,12.133375831718228
415,3.3804347826086953,1313.0,10.217391304347826,1942.0,1738.0,5.5978260869565215,9458.0078125,84990.56603773567,709.0,-5.731707317073171,188.0,3.0,3.0,12181467.0,0.009768009768009768,4.817073170731708,-434.0,-158.0,13.231707317073171,0.01176601176601179,0.011766011766011792,709.0,3.8086124401913874,-796.0,8.976076555023923,352.0,1.6842105263157894,-1876.0,12.130873063611054
416,3.369565217391304,1308.0,10.271739130434783,1943.0,1741.0,5.565217391304348,9462.890625,88323.5294117645,708.0,-5.365853658536586,176.0,3.0,3.0,12181627.0,0.014652014652014652,4.634146341463415,-418.0,-152.0,12.743902439024392,0.011322011322011348,0.01132201132201135,708.0,3.789473684210526,-792.0,8.937799043062201,368.0,1.7607655502392343,-1868.0,12.158710422180258
417,3.3478260869565215,1306.0,10.293478260869565,1945.0,1742.0,5.554347826086956,9467.7734375,91928.57142857119,707.0,-5.060975609756098,166.0,3.0,3.0,12181787.0,0.019536019536019536,4.634146341463415,-394.0,-152.0,12.01219512195122,0.010878010878010906,0.010878010878010906,707.0,3.789473684210526,-792.0,9.033492822966506,340.0,1.6267942583732056,-1888.0,12.166117457457734
418,3.293478260869565,1308.0,10.271739130434783,1950.0,1746.0,5.510869565217392,9472.65625,88323.5294117645,708.0,-4.786585365853659,157.0,3.0,3.0,12181947.0,0.02442002442002442,4.115853658536586,-372.0,-135.0,11.341463414634147,0.011322011322011348,0.01132201132201135,708.0,3.8851674641148324,-812.0,9.07177033492823,348.0,1.6650717703349283,-1896.0,12.113022215094169
419,3.217391304347826,1294.0,10.42391304347826,1957.0,1735.0,5.630434782608695,9477.5390625,84990.56603773567,709.0,-4.725609756097562,155.0,3.0,3.0,12182107.0,0.029304029304029304,3.5670731707317076,-337.0,-117.0,10.27439024390244,0.01176601176601179,0.011766011766011792,709.0,3.8851674641148324,-812.0,9.09090909090909,352.0,1.6842105263157894,-1900.0,12.276455750113671
420,3.2717391304347827,1292.0,10.445652173913043,1952.0,1743.0,5.543478260869565,9482.421875,84990.56603773567,709.0,-4.146341463414634,136.0,3.0,3.0,12182267.0,0.03418803418803419,3.536585365853659,-316.0,-116.0,9.634146341463415,0.01176601176601179,0.011766011766011792,709.0,3.827751196172249,-800.0,9.167464114832535,344.0,1.645933014354067,-1916.0,12.26972198155793
421,3.3043478260869565,1294.0,10.42391304347826,1949.0,1736.0,5.619565217391304,9487.3046875,84990.56603773567,709.0,-3.5670731707317076,117.0,3.0,3.0,12182427.0,0.03907203907203907,3.26219512195122,-285.0,-107.0,8.689024390243903,0.01176601176601179,0.011766011766011792,709.0,3.866028708133971,-808.0,9.224880382775119,340.0,1.6267942583732056,-1928.0,12.294559403503484
422,3.402173913043478,1288.0,10.489130434782608,1940.0,1742.0,5.554347826086956,9492.1875,84990.56603773567,709.0,-3.2012195121951224,105.0,3.0,3.0,12182587.0,0.04395604395604395,2.4695121951219514,-259.0,-81.0,7.896341463414635,0.01176601176601179,0.011766011766011792,709.0,3.789473684210526,-792.0,9.263157894736842,340.0,1.6267942583732056,-1936.0,12.346960127320134
423,3.3478260869565215,1286.0,10.51086956521739,1945.0,1742.0,5.554347826086956,9497.0703125,95840.42553191462,706.0,-2.8658536585365857,94.0,3.0,3.0,12182747.0,0.04884004884004884,1.9207317073170733,-246.0,-63.0,7.500000000000001,0.010434010434010463,0.010434010434010463,706.0,3.8468899521531097,-804.0,9.358851674641148,352.0,1.6842105263157894,-1956.0,12.35059101009651
424,3.3478260869565215,1281.0,10.565217391304348,1945.0,1739.0,5.58695652173913,9501.953125,84990.56603773567,709.0,-2.2865853658536586,75.0,3.0,3.0,12182907.0,0.05372405372405373,1.3719512195121952,-227.0,-45.0,6.920731707317074,0.01176601176601179,0.011766011766011792,709.0,3.923444976076555,-820.0,9.358851674641148,368.0,1.7607655502392343,-1956.0,12.411520503541452
