,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
71,,,,,,,,,,,,,,,0.34676434676434675,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,0.3516483516483516,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,0.35653235653235654,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,0.3614163614163614,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,0.3663003663003663,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,0.3711843711843712,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,0.37606837606837606,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,0.38095238095238093,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,0.38583638583638585,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,0.3907203907203907,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,0.3956043956043956,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,0.4004884004884005,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,0.4053724053724054,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,0.41025641025641024,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,0.41514041514041516,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,0.42002442002442003,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,0.4249084249084249,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,0.4297924297924298,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,0.4346764346764347,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,0.43956043956043955,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,0.4444444444444444,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,0.44932844932844934,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,0.4542124542124542,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,0.4590964590964591,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,0.463980463980464,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,0.46886446886446886,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,0.47374847374847373,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,0.47863247863247865,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,0.4835164835164835,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,0.4884004884004884,,,,,,,,,,,,,,
