,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4100,1986.0,3.3260869565217392,1947.0,2.902173913043478,1231.0,11.108695652173912,135703.125,709.0,84990.56603773567,-3.810975609756098,125.0,3.0,3.0,0.0,3829280.0,1.9207317073170733,-106.0,3.231707317073171,-63.0,0.01176601176601179,709.0,0.011766011766011792,-2008.0,9.607655502392344,340.0,0.6507177033492823,-136.0,1.6267942583732056,11.953601422020132
4101,1988.0,3.2065217391304346,1958.0,2.880434782608696,1228.0,11.141304347826086,135708.0078125,707.0,91928.57142857119,-3.4451219512195124,113.0,3.0,3.0,0.004884004884004884,3829440.0,1.676829268292683,-85.0,2.5914634146341466,-55.0,0.010878010878010906,707.0,0.010878010878010906,-2016.0,9.645933014354066,328.0,0.6698564593301435,-140.0,1.569377990430622,11.946018113633787
4102,1989.0,3.141304347826087,1964.0,2.869565217391304,1232.0,11.097826086956522,135712.890625,711.0,79026.31578947355,-3.2012195121951224,105.0,3.0,3.0,0.009768009768009768,3829600.0,1.4634146341463417,-60.0,1.829268292682927,-48.0,0.012654012654012677,711.0,0.012654012654012677,-2028.0,9.703349282296651,316.0,0.5550239234449761,-116.0,1.5119617224880382,11.885450828591475
4103,1991.0,3.1304347826086953,1965.0,2.8478260869565215,1230.0,11.119565217391305,135717.7734375,711.0,79026.31578947355,-3.1707317073170733,104.0,3.0,3.0,0.014652014652014652,3829760.0,1.3414634146341464,-29.0,0.8841463414634148,-44.0,0.012654012654012677,711.0,0.012654012654012677,-2028.0,9.703349282296651,324.0,0.5550239234449761,-116.0,1.5502392344497606,11.89766640873474
4104,1995.0,3.2065217391304346,1958.0,2.8043478260869565,1229.0,11.130434782608695,135722.65625,709.0,84990.56603773567,-3.414634146341464,112.0,3.0,3.0,0.019536019536019536,3829920.0,1.0365853658536586,-4.0,0.12195121951219513,-34.0,0.01176601176601179,709.0,0.011766011766011792,-2028.0,9.703349282296651,324.0,0.5550239234449761,-116.0,1.5502392344497606,11.917748396534481
4105,1983.0,3.141304347826087,1964.0,2.934782608695652,1229.0,11.130434782608695,135727.5390625,709.0,84990.56603773567,-3.1097560975609757,102.0,3.0,3.0,0.02442002442002442,3830080.0,1.0670731707317074,8.0,-0.24390243902439027,-35.0,0.01176601176601179,709.0,0.011766011766011792,-2000.0,9.569377990430622,344.0,0.4593301435406698,-96.0,1.645933014354067,11.931777755886966
4106,1997.0,3.2282608695652173,1956.0,2.782608695652174,1238.0,11.032608695652174,135732.421875,712.0,76347.45762711852,-3.1707317073170733,104.0,3.0,3.0,0.029304029304029304,3830240.0,1.0365853658536586,31.0,-0.9451219512195123,-34.0,0.013098013098013117,712.0,0.013098013098013119,-2004.0,9.588516746411482,340.0,0.4401913875598086,-92.0,1.6267942583732056,11.827215818884216
4107,2001.0,3.184782608695652,1960.0,2.7391304347826084,1236.0,11.054347826086957,135737.3046875,711.0,79026.31578947355,-3.0487804878048785,100.0,3.0,3.0,0.03418803418803419,3830400.0,0.4573170731707317,45.0,-1.3719512195121952,-15.0,0.012654012654012677,711.0,0.012654012654012677,-2004.0,9.588516746411482,332.0,0.4401913875598086,-92.0,1.588516746411483,11.82557743467591
4108,2001.0,3.2282608695652173,1956.0,2.7391304347826084,1239.0,11.021739130434783,135742.1875,713.0,73844.26229508186,-2.530487804878049,83.0,3.0,3.0,0.03907203907203907,3830560.0,0.4573170731707317,63.0,-1.9207317073170733,-15.0,0.01354201354201356,713.0,0.013542013542013561,-1996.0,9.55023923444976,332.0,0.4593301435406698,-96.0,1.588516746411483,11.80691480616658
4109,2001.0,3.293478260869565,1950.0,2.7391304347826084,1237.0,11.043478260869565,135747.0703125,712.0,76347.45762711852,-2.6524390243902443,87.0,3.0,3.0,0.04395604395604395,3830720.0,0.4573170731707317,61.0,-1.8597560975609757,-15.0,0.013098013098013117,712.0,0.013098013098013119,-2012.0,9.626794258373206,348.0,0.4019138755980861,-84.0,1.6650717703349283,11.845178204310454
4110,2000.0,3.3369565217391304,1946.0,2.75,1232.0,11.097826086956522,135751.953125,710.0,81899.99999999984,-2.2256097560975614,73.0,3.0,3.0,0.04884004884004884,3830880.0,0.030487804878048783,54.0,-1.6463414634146343,-1.0,0.012210012210012234,710.0,0.012210012210012234,-2012.0,9.626794258373206,360.0,0.4401913875598086,-92.0,1.7224880382775118,11.910479532088958
4111,2003.0,3.4565217391304346,1935.0,2.717391304347826,1229.0,11.130434782608695,135756.8359375,711.0,79026.31578947355,-2.103658536585366,69.0,3.0,3.0,0.05372405372405373,3831040.0,0.030487804878048783,53.0,-1.6158536585365855,-1.0,0.012654012654012677,711.0,0.012654012654012677,-2032.0,9.722488038277511,384.0,0.4784688995215311,-100.0,1.8373205741626792,11.96738636812282
