,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4100,2694.0,7.0978260869565215,-4.793478260869565,1600.0,2016.0,2.5760869565217392,63754.8828125,76347.45762711852,712.0,14.0,-0.426829268292683,3.0,3.0,10728836.0,0.0,1.2195121951219514,-125.0,-40.0,3.810975609756098,0.013098013098013119,0.013098013098013117,712.0,-124.0,0.5933014354066986,1184.0,-8.325358851674642,1740.0,5.665071770334928,8.943869017694247
4101,2706.0,7.163043478260869,-4.923913043478261,1594.0,2011.0,2.630434782608696,63759.765625,71499.99999999991,714.0,17.0,-0.5182926829268293,3.0,3.0,10728996.0,0.004884004884004884,1.128048780487805,-115.0,-37.0,3.50609756097561,0.013986013986014003,0.013986013986014003,714.0,-124.0,0.5933014354066986,1196.0,-8.344497607655502,1744.0,5.722488038277512,9.0814810838733
4102,2709.0,7.217391304347826,-4.956521739130435,1589.0,2019.0,2.543478260869565,63764.6484375,84990.56603773567,709.0,11.0,-0.3353658536585366,3.0,3.0,10729156.0,0.009768009768009768,1.0060975609756098,-121.0,-33.0,3.689024390243903,0.011766011766011792,0.01176601176601179,709.0,-112.0,0.5358851674641149,1212.0,-8.325358851674642,1740.0,5.7990430622009566,9.117407891175226
4103,2714.0,7.304347826086956,-5.010869565217392,1581.0,2022.0,2.510869565217391,63769.53125,76347.45762711852,712.0,12.0,-0.3658536585365854,3.0,3.0,10729316.0,0.014652014652014652,1.2195121951219514,-127.0,-40.0,3.8719512195121957,0.013098013098013119,0.013098013098013117,712.0,-96.0,0.4593301435406698,1232.0,-8.344497607655502,1744.0,5.894736842105263,9.206887472844345
4104,2705.0,7.358695652173913,-4.913043478260869,1576.0,2028.0,2.4456521739130435,63774.4140625,79026.31578947355,711.0,6.0,-0.1829268292682927,3.0,3.0,10729476.0,0.019536019536019536,1.1890243902439026,-170.0,-39.0,5.182926829268293,0.012654012654012677,0.012654012654012677,711.0,-104.0,0.49760765550239233,1244.0,-8.421052631578947,1760.0,5.952153110047846,9.179848172838726
4105,2706.0,7.391304347826087,-4.923913043478261,1573.0,2024.0,2.4891304347826084,63779.296875,79026.31578947355,711.0,6.0,-0.1829268292682927,3.0,3.0,10729636.0,0.02442002442002442,1.0365853658536586,-191.0,-34.0,5.823170731707318,0.012654012654012677,0.012654012654012677,711.0,-96.0,0.4593301435406698,1248.0,-8.459330143540669,1768.0,5.971291866028708,9.22345217059693
4106,2702.0,7.33695652173913,-4.880434782608695,1578.0,2022.0,2.510869565217391,63784.1796875,79026.31578947355,711.0,0.0,0.0,3.0,3.0,10729796.0,0.029304029304029304,1.3414634146341464,-220.0,-44.0,6.707317073170732,0.012654012654012677,0.012654012654012677,711.0,-88.0,0.42105263157894735,1236.0,-8.516746411483254,1780.0,5.913875598086124,9.16264375836593
4107,2715.0,7.304347826086956,-5.021739130434782,1581.0,2028.0,2.4456521739130435,63789.0625,79026.31578947355,711.0,-3.0,0.09146341463414635,3.0,3.0,10729956.0,0.03418803418803419,1.0975609756097562,-236.0,-36.0,7.195121951219513,0.012654012654012677,0.012654012654012677,711.0,-92.0,0.4401913875598086,1228.0,-8.574162679425838,1792.0,5.875598086124402,9.195247447152617
4108,2708.0,7.25,-4.945652173913043,1586.0,2029.0,2.4347826086956523,63793.9453125,76347.45762711852,712.0,-20.0,0.6097560975609757,3.0,3.0,10730116.0,0.03907203907203907,1.1890243902439026,-239.0,-39.0,7.286585365853659,0.013098013098013119,0.013098013098013117,712.0,-80.0,0.3827751196172249,1212.0,-8.555023923444976,1788.0,5.7990430622009566,9.107696842612715
4109,2711.0,7.239130434782608,-4.978260869565217,1587.0,2032.0,2.402173913043478,63798.828125,79026.31578947355,711.0,-27.0,0.8231707317073171,3.0,3.0,10730276.0,0.04395604395604395,1.4939024390243905,-224.0,-49.0,6.829268292682928,0.012654012654012677,0.012654012654012677,711.0,-76.0,0.36363636363636365,1224.0,-8.555023923444976,1788.0,5.85645933014354,9.108157346343258
