,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2052,1274.0,3.3804347826086953,10.641304347826086,1942.0,1821.0,4.695652173913043,25781.25,81899.99999999984,710.0,0.30487804878048785,-10.0,3.0,3.0,8046033.0,0.0,-56.0,-0.853658536585366,28.0,1.707317073170732,710.0,0.012210012210012234,0.012210012210012234,-612.0,2.92822966507177,9.416267942583731,360.0,-1968.0,1.7224880382775118,12.112549148750949
2053,1271.0,3.358695652173913,10.67391304347826,1944.0,1824.0,4.663043478260869,25786.1328125,88323.5294117645,708.0,0.5182926829268293,-17.0,3.0,3.0,8046193.0,0.004884004884004884,-52.0,-0.8841463414634148,29.0,1.5853658536585367,708.0,0.01132201132201135,0.011322011322011348,-608.0,2.909090909090909,9.473684210526315,360.0,-1980.0,1.7224880382775118,12.122591745324863
2054,1270.0,3.369565217391304,10.684782608695652,1943.0,1823.0,4.673913043478261,25791.015625,81899.99999999984,710.0,0.3353658536585366,-11.0,3.0,3.0,8046353.0,0.009768009768009768,-55.0,-1.1585365853658538,38.0,1.676829268292683,710.0,0.012210012210012234,0.012210012210012234,-616.0,2.9473684210526314,9.492822966507177,360.0,-1984.0,1.7224880382775118,12.139357984973284
2055,1273.0,3.3152173913043477,10.652173913043478,1948.0,1823.0,4.673913043478261,25795.8984375,84990.56603773567,709.0,0.7621951219512196,-25.0,3.0,3.0,8046513.0,0.014652014652014652,-50.0,-1.0975609756097562,36.0,1.5243902439024393,709.0,0.011766011766011792,0.01176601176601179,-612.0,2.92822966507177,9.473684210526315,348.0,-1980.0,1.6650717703349283,12.095657839213501
2056,1273.0,3.3043478260869565,10.652173913043478,1949.0,1820.0,4.706521739130435,25800.78125,79026.31578947355,711.0,0.6402439024390244,-21.0,3.0,3.0,8046673.0,0.019536019536019536,-55.0,-1.0060975609756098,33.0,1.676829268292683,711.0,0.012654012654012677,0.012654012654012677,-616.0,2.9473684210526314,9.492822966507177,372.0,-1984.0,1.7799043062200957,12.105324056397539
2057,1270.0,3.3043478260869565,10.684782608695652,1949.0,1828.0,4.619565217391305,25805.6640625,81899.99999999984,710.0,0.9146341463414634,-30.0,3.0,3.0,8046833.0,0.02442002442002442,-52.0,-0.9756097560975611,32.0,1.5853658536585367,710.0,0.012210012210012234,0.012210012210012234,-616.0,2.9473684210526314,9.454545454545455,348.0,-1976.0,1.6650717703349283,12.10056514170236
2058,1272.0,3.3260869565217392,10.66304347826087,1947.0,1819.0,4.717391304347826,25810.546875,79026.31578947355,711.0,0.9756097560975611,-32.0,3.0,3.0,8046993.0,0.029304029304029304,-56.0,-0.8231707317073171,27.0,1.707317073170732,711.0,0.012654012654012677,0.012654012654012677,-612.0,2.92822966507177,9.416267942583731,352.0,-1968.0,1.6842105263157894,12.125062118602205
2059,1271.0,3.3043478260869565,10.67391304347826,1949.0,1821.0,4.695652173913043,25815.4296875,81899.99999999984,710.0,0.8841463414634148,-29.0,3.0,3.0,8047153.0,0.03418803418803419,-59.0,-0.8841463414634148,29.0,1.7987804878048783,710.0,0.012210012210012234,0.012210012210012234,-616.0,2.9473684210526314,9.531100478468899,348.0,-1992.0,1.6650717703349283,12.120242718439066
2060,1272.0,3.282608695652174,10.66304347826087,1951.0,1822.0,4.684782608695652,25820.3125,81899.99999999984,710.0,1.0365853658536586,-34.0,3.0,3.0,8047313.0,0.03907203907203907,-54.0,-0.8841463414634148,29.0,1.6463414634146343,710.0,0.012210012210012234,0.012210012210012234,-616.0,2.9473684210526314,9.454545454545455,336.0,-1976.0,1.6076555023923444,12.100545614094852
2061,1273.0,3.2717391304347827,10.652173913043478,1952.0,1821.0,4.695652173913043,25825.1953125,81899.99999999984,710.0,1.0975609756097562,-36.0,3.0,3.0,8047473.0,0.04395604395604395,-57.0,-0.6707317073170732,22.0,1.7378048780487807,710.0,0.012210012210012234,0.012210012210012234,-608.0,2.909090909090909,9.435406698564593,328.0,-1972.0,1.569377990430622,12.09223864095133
