,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
1028,3.619565217391304,1412.0,9.141304347826086,1920.0,1893.0,3.9130434782608696,14399.4140625,707.0,91928.57142857119,59.237804878048784,-1943.0,3.0,3.0,0.0,15986016.0,-46.25000000000001,276.0,1517.0,-8.414634146341465,707.0,0.010878010878010906,0.010878010878010906,-456.0,2.1818181818181817,7.751196172248804,432.0,2.0669856459330145,-1620.0,10.581899961977197
1029,3.6630434782608696,1422.0,9.032608695652174,1916.0,1891.0,3.934782608695652,14404.296875,708.0,88323.5294117645,56.03658536585366,-1838.0,3.0,3.0,0.004884004884004884,15986176.0,-44.451219512195124,257.0,1458.0,-7.835365853658537,708.0,0.011322011322011348,0.01132201132201135,-448.0,2.1435406698564594,7.617224880382775,436.0,2.0861244019138754,-1592.0,10.511347275687095
1030,3.6739130434782608,1423.0,9.021739130434783,1915.0,1896.0,3.8804347826086953,14409.1796875,707.0,91928.57142857119,52.53048780487806,-1723.0,3.0,3.0,0.009768009768009768,15986336.0,-42.53048780487805,224.0,1395.0,-6.829268292682928,707.0,0.010878010878010906,0.010878010878010906,-464.0,2.2200956937799043,7.521531100478469,440.0,2.1052631578947367,-1572.0,10.485570470448293
1031,3.7282608695652173,1432.0,8.92391304347826,1910.0,1887.0,3.9782608695652173,14414.0625,708.0,88323.5294117645,49.32926829268293,-1618.0,3.0,3.0,0.014652014652014652,15986496.0,-40.91463414634147,197.0,1342.0,-6.00609756097561,708.0,0.011322011322011348,0.01132201132201135,-468.0,2.2392344497607652,7.464114832535885,452.0,2.1626794258373203,-1560.0,10.457662868222824
1032,3.7282608695652173,1434.0,8.902173913043478,1910.0,1881.0,4.043478260869565,14418.9453125,708.0,88323.5294117645,45.88414634146342,-1505.0,3.0,3.0,0.019536019536019536,15986656.0,-39.024390243902445,153.0,1280.0,-4.664634146341464,708.0,0.011322011322011348,0.01132201132201135,-472.0,2.2583732057416266,7.444976076555023,456.0,2.1818181818181817,-1556.0,10.464145733681645
1033,3.7717391304347827,1441.0,8.826086956521738,1906.0,1883.0,4.021739130434782,14423.828125,709.0,84990.56603773567,42.5609756097561,-1396.0,3.0,3.0,0.02442002442002442,15986816.0,-37.25609756097561,125.0,1222.0,-3.810975609756098,709.0,0.01176601176601179,0.011766011766011792,-480.0,2.2966507177033493,7.4066985645933014,468.0,2.2392344497607652,-1548.0,10.406738810280885
1034,3.8043478260869565,1438.0,8.858695652173912,1903.0,1876.0,4.0978260869565215,14428.7109375,708.0,88323.5294117645,39.11585365853659,-1283.0,3.0,3.0,0.029304029304029304,15986976.0,-35.518292682926834,93.0,1165.0,-2.8353658536585367,708.0,0.011322011322011348,0.01132201132201135,-492.0,2.354066985645933,7.253588516746412,460.0,2.200956937799043,-1516.0,10.475768691539487
1035,3.782608695652174,1437.0,8.869565217391305,1905.0,1872.0,4.141304347826087,14433.59375,708.0,88323.5294117645,35.91463414634147,-1178.0,3.0,3.0,0.03418803418803419,15987136.0,-34.05487804878049,49.0,1117.0,-1.4939024390243905,708.0,0.011322011322011348,0.01132201132201135,-496.0,2.373205741626794,7.2727272727272725,464.0,2.2200956937799043,-1520.0,10.494175403113116
1036,3.782608695652174,1445.0,8.782608695652174,1905.0,1867.0,4.195652173913043,14438.4765625,708.0,88323.5294117645,32.43902439024391,-1064.0,3.0,3.0,0.03907203907203907,15987296.0,-32.46951219512196,6.0,1065.0,-0.1829268292682927,708.0,0.011322011322011348,0.01132201132201135,-500.0,2.3923444976076556,7.2727272727272725,480.0,2.2966507177033493,-1520.0,10.442501673920376
1037,3.793478260869565,1446.0,8.771739130434783,1904.0,1869.0,4.173913043478261,14443.359375,710.0,81899.99999999984,29.237804878048784,-959.0,3.0,3.0,0.04395604395604395,15987456.0,-30.51829268292683,-40.0,1001.0,1.2195121951219514,710.0,0.012210012210012234,0.012210012210012234,-500.0,2.3923444976076556,7.2727272727272725,480.0,2.2966507177033493,-1520.0,10.428587381932832
