,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
4100,1925.0,4.184782608695652,1868.0,3.5652173913043477,10.641304347826086,1274.0,35893.5546875,76347.45762711852,712.0,-13.0,0.39634146341463417,3.0,3.0,0.0,12022640.0,-59.0,-0.09146341463414635,3.0,1.7987804878048783,712.0,0.013098013098013117,0.013098013098013119,-1924.0,9.205741626794259,556.0,1.416267942583732,2.660287081339713,-296.0,11.977501356809062
4101,1923.0,4.206521739130435,1866.0,3.5869565217391304,10.684782608695652,1270.0,35898.4375,76347.45762711852,712.0,-8.0,0.24390243902439027,3.0,3.0,0.004884004884004884,12022800.0,-53.0,0.030487804878048783,-1.0,1.6158536585365855,712.0,0.013098013098013117,0.013098013098013119,-1928.0,9.224880382775119,544.0,1.3971291866028708,2.602870813397129,-292.0,12.030197904677582
4102,1924.0,4.141304347826087,1872.0,3.5760869565217392,10.66304347826087,1272.0,35903.3203125,79026.31578947355,711.0,-4.0,0.12195121951219513,3.0,3.0,0.009768009768009768,12022960.0,-64.0,-0.06097560975609757,2.0,1.9512195121951221,711.0,0.012654012654012677,0.012654012654012677,-1924.0,9.205741626794259,552.0,1.3971291866028708,2.6411483253588517,-292.0,11.984961236533469
4103,1922.0,4.1521739130434785,1871.0,3.5978260869565215,10.652173913043478,1273.0,35908.203125,73844.26229508186,713.0,-10.0,0.30487804878048785,3.0,3.0,0.014652014652014652,12023120.0,-55.0,0.0,0.0,1.676829268292683,713.0,0.01354201354201356,0.013542013542013561,-1916.0,9.167464114832535,572.0,1.416267942583732,2.736842105263158,-296.0,11.985562557922247
4104,1924.0,4.195652173913043,1867.0,3.5760869565217392,10.641304347826086,1274.0,35913.0859375,73844.26229508186,713.0,-2.0,0.06097560975609757,3.0,3.0,0.019536019536019536,12023280.0,-57.0,-0.24390243902439027,8.0,1.7378048780487807,713.0,0.01354201354201356,0.013542013542013561,-1932.0,9.24401913875598,548.0,1.3588516746411483,2.6220095693779903,-284.0,11.984542265273568
4105,1931.0,4.228260869565217,1864.0,3.5,10.67391304347826,1271.0,35917.96875,76347.45762711852,712.0,-3.0,0.09146341463414635,3.0,3.0,0.02442002442002442,12023440.0,-54.0,-0.06097560975609757,2.0,1.6463414634146343,712.0,0.013098013098013117,0.013098013098013119,-1924.0,9.205741626794259,564.0,1.3588516746411483,2.6985645933014353,-284.0,12.002525136021658
4106,1926.0,4.271739130434782,1860.0,3.5543478260869565,10.630434782608695,1275.0,35922.8515625,79026.31578947355,711.0,-3.0,0.09146341463414635,3.0,3.0,0.029304029304029304,12023600.0,-56.0,-0.12195121951219513,4.0,1.707317073170732,711.0,0.012654012654012677,0.012654012654012677,-1924.0,9.205741626794259,556.0,1.416267942583732,2.660287081339713,-296.0,11.995302719589596
4107,1925.0,4.184782608695652,1868.0,3.5652173913043477,10.695652173913043,1269.0,35927.734375,79026.31578947355,711.0,0.0,0.0,3.0,3.0,0.03418803418803419,12023760.0,-49.0,-0.2134146341463415,7.0,1.4939024390243905,711.0,0.012654012654012677,0.012654012654012677,-1912.0,9.148325358851674,536.0,1.3971291866028708,2.5645933014354068,-292.0,12.02581207048536
4108,1925.0,4.163043478260869,1870.0,3.5652173913043477,10.67391304347826,1271.0,35932.6171875,76347.45762711852,712.0,0.0,0.0,3.0,3.0,0.03907203907203907,12023920.0,-59.0,-0.12195121951219513,4.0,1.7987804878048783,712.0,0.013098013098013117,0.013098013098013119,-1916.0,9.167464114832535,560.0,1.4545454545454546,2.679425837320574,-304.0,11.998921856103767
4109,1926.0,4.173913043478261,1869.0,3.5543478260869565,10.684782608695652,1270.0,35937.5,73844.26229508186,713.0,-6.0,0.1829268292682927,3.0,3.0,0.04395604395604395,12024080.0,-44.0,-0.12195121951219513,4.0,1.3414634146341464,713.0,0.01354201354201356,0.013542013542013561,-1916.0,9.167464114832535,556.0,1.4354066985645932,2.660287081339713,-300.0,12.009143098423472
