,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2052,1337.0,2.141304347826087,2056.0,9.956521739130434,1708.0,5.923913043478261,37539.0625,706.0,95840.42553191462,2.6219512195121952,-86.0,3.0,3.0,10022784.0,0.0,6.4939024390243905,-736.0,-213.0,22.439024390243905,0.010434010434010463,706.0,0.010434010434010463,-872.0,4.172248803827751,32.0,8.727272727272727,-1824.0,0.15311004784688995,11.78177640249923
2053,1332.0,1.9239130434782608,2076.0,10.01086956521739,1710.0,5.9021739130434785,37543.9453125,705.0,100099.99999999968,2.530487804878049,-83.0,3.0,3.0,10022944.0,0.004884004884004884,5.914634146341464,-735.0,-194.0,22.408536585365855,0.009990009990010023,705.0,0.009990009990010021,-868.0,4.15311004784689,16.0,8.822966507177034,-1844.0,0.07655502392344497,11.77941457588078
2054,1325.0,1.7717391304347825,2090.0,10.08695652173913,1717.0,5.826086956521739,37548.828125,708.0,88323.5294117645,2.7439024390243905,-90.0,3.0,3.0,10023104.0,0.009768009768009768,5.152439024390245,-701.0,-169.0,21.371951219512198,0.01132201132201135,708.0,0.011322011322011348,-864.0,4.133971291866029,-8.0,8.822966507177034,-1844.0,-0.03827751196172249,11.782573600140257
2055,1315.0,1.7065217391304348,2096.0,10.195652173913043,1723.0,5.760869565217392,37553.7109375,705.0,100099.99999999968,3.1402439024390247,-103.0,3.0,3.0,10023264.0,0.014652014652014652,4.5426829268292686,-668.0,-149.0,20.365853658536587,0.009990009990010023,705.0,0.009990009990010021,-848.0,4.057416267942584,-32.0,8.880382775119617,-1856.0,-0.15311004784688995,11.834321182264343
2056,1311.0,1.6739130434782608,2099.0,10.239130434782608,1724.0,5.75,37558.59375,709.0,84990.56603773567,3.3231707317073176,-109.0,3.0,3.0,10023424.0,0.019536019536019536,4.024390243902439,-628.0,-132.0,19.146341463414636,0.011766011766011792,709.0,0.01176601176601179,-836.0,4.0,-64.0,8.995215311004785,-1880.0,-0.3062200956937799,11.861883363851549
2057,1308.0,1.608695652173913,2105.0,10.271739130434783,1725.0,5.739130434782608,37563.4765625,707.0,91928.57142857119,4.0548780487804885,-133.0,3.0,3.0,10023584.0,0.02442002442002442,3.414634146341464,-564.0,-112.0,17.195121951219512,0.010878010878010906,707.0,0.010878010878010906,-836.0,4.0,-72.0,9.052631578947368,-1892.0,-0.34449760765550236,11.875779747556637
2058,1302.0,1.5434782608695652,2111.0,10.33695652173913,1720.0,5.793478260869565,37568.359375,711.0,79026.31578947355,4.481707317073171,-147.0,3.0,3.0,10023744.0,0.029304029304029304,2.5609756097560976,-493.0,-84.0,15.03048780487805,0.012654012654012677,711.0,0.012654012654012677,-824.0,3.942583732057416,-72.0,9.167464114832535,-1916.0,-0.34449760765550236,11.949869691058156
2059,1292.0,1.4239130434782608,2122.0,10.445652173913043,1735.0,5.630434782608695,37573.2421875,708.0,88323.5294117645,5.0304878048780495,-165.0,3.0,3.0,10023904.0,0.03418803418803419,1.8597560975609757,-413.0,-61.0,12.591463414634147,0.01132201132201135,708.0,0.011322011322011348,-828.0,3.9617224880382773,-80.0,9.186602870813397,-1920.0,-0.3827751196172249,11.951609662927066
2060,1284.0,1.4782608695652173,2117.0,10.532608695652174,1741.0,5.565217391304348,37578.125,707.0,91928.57142857119,5.731707317073171,-188.0,3.0,3.0,10024064.0,0.03907203907203907,1.2500000000000002,-329.0,-41.0,10.03048780487805,0.010878010878010906,707.0,0.010878010878010906,-800.0,3.827751196172249,-88.0,9.435406698564593,-1972.0,-0.42105263157894735,12.003863784077685
2061,1273.0,1.434782608695652,2121.0,10.652173913043478,1749.0,5.478260869565217,37583.0078125,708.0,88323.5294117645,6.371951219512196,-209.0,3.0,3.0,10024224.0,0.04395604395604395,0.7926829268292683,-247.0,-26.0,7.5304878048780495,0.01132201132201135,708.0,0.011322011322011348,-780.0,3.7320574162679425,-96.0,9.473684210526315,-1980.0,-0.4593301435406698,12.063944311996345
