,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2052,2345.0,2.869565217391304,-1.0,1989.0,5.413043478260869,1755.0,27871.09375,712.0,76347.45762711852,-213.2926829268293,6996.0,3.0,3.0,4135844.0,0.0,76.34146341463415,766.0,-23.353658536585368,-2504.0,712.0,0.013098013098013117,0.013098013098013119,3.6555023923444976,-764.0,268.0,-3.9808612440191387,832.0,1.2822966507177034,6.207692343730038
2053,2333.0,2.967391304347826,-0.8695652173913043,1980.0,5.4021739130434785,1756.0,27875.9765625,712.0,76347.45762711852,-217.8048780487805,7144.0,3.0,3.0,4136004.0,0.004884004884004884,78.59756097560977,810.0,-24.695121951219516,-2578.0,712.0,0.013098013098013117,0.013098013098013119,3.6746411483253585,-768.0,284.0,-3.789473684210526,792.0,1.3588516746411483,6.224551213315171
2054,2325.0,3.1739130434782608,-0.7826086956521738,1961.0,5.315217391304348,1764.0,27880.859375,710.0,81899.99999999984,-222.19512195121953,7288.0,3.0,3.0,4136164.0,0.009768009768009768,81.09756097560977,889.0,-27.103658536585368,-2660.0,710.0,0.012210012210012234,0.012210012210012234,3.5789473684210527,-748.0,304.0,-3.69377990430622,772.0,1.4545454545454546,6.24001092105583
2055,2304.0,3.032608695652174,-0.5543478260869565,1974.0,5.33695652173913,1762.0,27885.7421875,711.0,79026.31578947355,-226.6768292682927,7435.0,3.0,3.0,4136324.0,0.014652014652014652,84.02439024390245,981.0,-29.908536585365855,-2756.0,711.0,0.012654012654012677,0.012654012654012677,3.5215311004784686,-736.0,300.0,-3.5598086124401913,744.0,1.4354066985645932,6.163369364898257
2056,2312.0,3.0760869565217392,-0.6413043478260869,1970.0,5.326086956521739,1763.0,27890.625,715.0,69299.99999999993,-230.85365853658539,7572.0,3.0,3.0,4136484.0,0.019536019536019536,86.6158536585366,1108.0,-33.78048780487805,-2841.0,715.0,0.014430014430014446,0.014430014430014446,3.4258373205741623,-716.0,284.0,-3.5023923444976077,732.0,1.3588516746411483,6.183913364452548
2057,2303.0,2.967391304347826,-0.5434782608695652,1980.0,5.065217391304348,1787.0,27895.5078125,712.0,76347.45762711852,-234.93902439024393,7706.0,3.0,3.0,4136644.0,0.02442002442002442,89.66463414634147,1253.0,-38.201219512195124,-2941.0,712.0,0.013098013098013117,0.013098013098013119,3.311004784688995,-692.0,292.0,-3.3684210526315788,704.0,1.3971291866028708,5.895524318865026
2058,2294.0,2.9565217391304346,-0.44565217391304346,1981.0,4.913043478260869,1801.0,27900.390625,714.0,71499.99999999991,-239.1768292682927,7845.0,3.0,3.0,4136804.0,0.029304029304029304,92.25609756097562,1415.0,-43.14024390243903,-3026.0,714.0,0.013986013986014003,0.013986013986014003,3.0813397129186604,-644.0,264.0,-3.2727272727272725,684.0,1.263157894736842,5.751314882124428
2059,2281.0,2.9130434782608696,-0.30434782608695654,1985.0,4.782608695652174,1813.0,27905.2734375,712.0,76347.45762711852,-243.65853658536588,7992.0,3.0,3.0,4136964.0,0.03418803418803419,94.69512195121952,1608.0,-49.024390243902445,-3106.0,712.0,0.013098013098013117,0.013098013098013119,3.0239234449760763,-632.0,248.0,-3.177033492822966,664.0,1.186602870813397,5.608190068213615
2060,2272.0,2.869565217391304,-0.20652173913043478,1989.0,4.6521739130434785,1825.0,27910.15625,711.0,79026.31578947355,-247.9268292682927,8132.0,3.0,3.0,4137124.0,0.03907203907203907,97.10365853658537,1769.0,-53.9329268292683,-3185.0,711.0,0.012654012654012677,0.012654012654012677,2.889952153110048,-604.0,252.0,-2.909090909090909,608.0,1.2057416267942582,5.469897428910138
2061,2249.0,2.967391304347826,0.043478260869565216,1980.0,4.576086956521739,1832.0,27915.0390625,711.0,79026.31578947355,-252.25609756097563,8274.0,3.0,3.0,4137284.0,0.04395604395604395,99.60365853658537,1900.0,-57.926829268292686,-3267.0,711.0,0.012654012654012677,0.012654012654012677,2.889952153110048,-604.0,268.0,-2.736842105263158,572.0,1.2822966507177034,5.454161103775331
2062,2233.0,3.108695652173913,0.21739130434782608,1967.0,4.706521739130435,1820.0,27919.921875,709.0,84990.56603773567,-256.219512195122,8404.0,3.0,3.0,4137444.0,0.04884004884004884,101.58536585365854,1994.0,-60.79268292682927,-3332.0,709.0,0.01176601176601179,0.011766011766011792,3.0430622009569377,-636.0,336.0,-2.526315789473684,528.0,1.6076555023923444,5.644696140445331
