,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2052,4.5978260869565215,1208.0,11.358695652173912,1830.0,1801.0,4.913043478260869,30410.15625,708.0,88323.5294117645,-1507.0,45.94512195121952,3.0,3.0,14585086.0,0.0,2223.0,-7.591463414634147,249.0,-67.77439024390245,0.011322011322011348,708.0,0.01132201132201135,3.2727272727272725,-684.0,636.0,10.124401913875598,-2116.0,3.0430622009569377,13.202195569824518
2053,4.793478260869565,1203.0,11.41304347826087,1812.0,1789.0,5.043478260869565,30415.0390625,708.0,88323.5294117645,-1673.0,51.00609756097561,3.0,3.0,14585246.0,0.004884004884004884,2356.0,-8.902439024390246,292.0,-71.82926829268294,0.011322011322011348,708.0,0.01132201132201135,3.38755980861244,-708.0,684.0,10.239234449760765,-2140.0,3.2727272727272725,13.366812194460053
2054,4.989130434782608,1199.0,11.456521739130434,1794.0,1775.0,5.195652173913043,30419.921875,708.0,88323.5294117645,-1845.0,56.25000000000001,3.0,3.0,14585406.0,0.009768009768009768,2508.0,-10.121951219512196,332.0,-76.46341463414635,0.011322011322011348,708.0,0.01132201132201135,3.4832535885167464,-728.0,716.0,10.220095693779903,-2136.0,3.4258373205741623,13.532853149529467
2055,5.173913043478261,1194.0,11.51086956521739,1777.0,1762.0,5.33695652173913,30424.8046875,707.0,91928.57142857119,-2032.0,61.95121951219513,3.0,3.0,14585566.0,0.014652014652014652,2697.0,-11.676829268292684,383.0,-82.22560975609757,0.010878010878010906,707.0,0.010878010878010906,3.617224880382775,-756.0,776.0,10.296650717703349,-2152.0,3.712918660287081,13.702284453471849
2056,5.413043478260869,1194.0,11.51086956521739,1755.0,1739.0,5.58695652173913,30429.6875,708.0,88323.5294117645,-2223.0,67.77439024390245,3.0,3.0,14585726.0,0.019536019536019536,2935.0,-13.26219512195122,435.0,-89.48170731707317,0.011322011322011348,708.0,0.01132201132201135,3.789473684210526,-792.0,832.0,10.258373205741627,-2144.0,3.9808612440191387,13.892992514962136
2057,5.619565217391304,1190.0,11.554347826086957,1736.0,1733.0,5.6521739130434785,30434.5703125,708.0,88323.5294117645,-2406.0,73.35365853658537,3.0,3.0,14585886.0,0.02442002442002442,3212.0,-14.51219512195122,476.0,-97.92682926829269,0.011322011322011348,708.0,0.01132201132201135,3.923444976076555,-820.0,888.0,10.411483253588516,-2176.0,4.248803827751196,14.036721015322765
2058,5.782608695652174,1187.0,11.58695652173913,1721.0,1726.0,5.728260869565217,30439.453125,708.0,88323.5294117645,-2585.0,78.8109756097561,3.0,3.0,14586046.0,0.029304029304029304,3518.0,-15.426829268292684,506.0,-107.25609756097562,0.011322011322011348,708.0,0.01132201132201135,4.095693779904306,-856.0,916.0,10.411483253588516,-2176.0,4.382775119617225,14.16012349358215
2059,5.989130434782608,1184.0,11.619565217391305,1702.0,1727.0,5.717391304347826,30444.3359375,709.0,84990.56603773567,-2761.0,84.17682926829269,3.0,3.0,14586206.0,0.03418803418803419,3817.0,-16.371951219512198,537.0,-116.37195121951221,0.01176601176601179,709.0,0.011766011766011792,3.9617224880382773,-828.0,964.0,10.44976076555024,-2184.0,4.6124401913875595,14.267885005601963
2060,6.163043478260869,1181.0,11.652173913043478,1686.0,1729.0,5.695652173913043,30449.21875,707.0,91928.57142857119,-2941.0,89.66463414634147,3.0,3.0,14586366.0,0.03907203907203907,4117.0,-17.743902439024392,582.0,-125.51829268292684,0.010878010878010906,707.0,0.010878010878010906,3.8851674641148324,-812.0,1000.0,10.507177033492823,-2196.0,4.784688995215311,14.35955136837308
2061,6.326086956521739,1178.0,11.684782608695652,1671.0,1732.0,5.663043478260869,30454.1015625,708.0,88323.5294117645,-3101.0,94.54268292682927,3.0,3.0,14586526.0,0.04395604395604395,4412.0,-19.02439024390244,624.0,-134.51219512195124,0.011322011322011348,708.0,0.01132201132201135,3.8086124401913874,-796.0,1040.0,10.4688995215311,-2188.0,4.976076555023924,14.443807746942072
2062,6.478260869565217,1179.0,11.67391304347826,1657.0,1742.0,5.554347826086956,30458.984375,708.0,88323.5294117645,-3258.0,99.32926829268294,3.0,3.0,14586686.0,0.04884004884004884,4721.0,-19.939024390243905,654.0,-143.9329268292683,0.011322011322011348,708.0,0.01132201132201135,3.7703349282296648,-788.0,1064.0,10.411483253588516,-2176.0,5.090909090909091,14.460252052228848
2063,6.5978260869565215,1182.0,11.641304347826086,1646.0,1755.0,5.413043478260869,30463.8671875,708.0,88323.5294117645,-3421.0,104.29878048780489,3.0,3.0,14586846.0,0.05372405372405373,5060.0,-20.152439024390247,661.0,-154.26829268292684,0.011322011322011348,708.0,0.01132201132201135,3.5598086124401913,-744.0,1092.0,10.411483253588516,-2176.0,5.22488038277512,14.434414282885921
