,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
2256,1271.0,4.826086956521739,1809.0,10.67391304347826,1931.0,3.5,27929.6875,705.0,100099.99999999968,-4.146341463414634,136.0,3.0,3.0,0.0,14698849.0,645.0,-2.4695121951219514,81.0,-19.664634146341466,705.0,0.009990009990010023,0.009990009990010021,-348.0,1.6650717703349283,9.416267942583731,688.0,3.291866028708134,-1968.0,12.225936977248189
2257,1276.0,4.83695652173913,1808.0,10.619565217391305,1923.0,3.5869565217391304,27934.5703125,705.0,100099.99999999968,-4.176829268292684,137.0,3.0,3.0,0.004884004884004884,14699009.0,632.0,-2.5609756097560976,84.0,-19.26829268292683,705.0,0.009990009990010023,0.009990009990010021,-332.0,1.588516746411483,9.37799043062201,696.0,3.3301435406698565,-1960.0,12.208094482287922
2258,1276.0,4.945652173913043,1798.0,10.619565217391305,1926.0,3.5543478260869565,27939.453125,707.0,91928.57142857119,-3.963414634146342,130.0,3.0,3.0,0.009768009768009768,14699169.0,611.0,-2.804878048780488,92.0,-18.628048780487806,707.0,0.010878010878010906,0.010878010878010906,-328.0,1.569377990430622,9.37799043062201,712.0,3.4066985645933014,-1960.0,12.242059847124057
2259,1275.0,4.8478260869565215,1807.0,10.630434782608695,1930.0,3.510869565217391,27944.3359375,704.0,104755.81395348875,-3.5975609756097566,118.0,3.0,3.0,0.014652014652014652,14699329.0,608.0,-2.25609756097561,74.0,-18.53658536585366,704.0,0.009546009546009513,0.009546009546009511,-336.0,1.6076555023923444,9.37799043062201,700.0,3.3492822966507174,-1960.0,12.19974452767937
2260,1274.0,4.858695652173913,1806.0,10.641304347826086,1929.0,3.5217391304347827,27949.21875,706.0,95840.42553191462,-3.4756097560975614,114.0,3.0,3.0,0.019536019536019536,14699489.0,590.0,-2.4695121951219514,81.0,-17.98780487804878,706.0,0.010434010434010463,0.010434010434010463,-332.0,1.588516746411483,9.39712918660287,704.0,3.3684210526315788,-1964.0,12.216666000441839
2261,1277.0,4.880434782608695,1804.0,10.608695652173912,1928.0,3.532608695652174,27954.1015625,705.0,100099.99999999968,-3.3231707317073176,109.0,3.0,3.0,0.02442002442002442,14699649.0,591.0,-2.6524390243902443,87.0,-18.01829268292683,705.0,0.009990009990010023,0.009990009990010021,-352.0,1.6842105263157894,9.358851674641148,712.0,3.4066985645933014,-1956.0,12.200098003882912
2262,1281.0,4.9021739130434785,1802.0,10.565217391304348,1929.0,3.5217391304347827,27958.984375,704.0,104755.81395348875,-3.2926829268292686,108.0,3.0,3.0,0.029304029304029304,14699809.0,582.0,-2.1951219512195124,72.0,-17.743902439024392,704.0,0.009546009546009513,0.009546009546009511,-344.0,1.645933014354067,9.37799043062201,696.0,3.3301435406698565,-1960.0,12.167899329879393
2263,1277.0,4.923913043478261,1800.0,10.608695652173912,1934.0,3.467391304347826,27963.8671875,703.0,109865.85365853697,-3.231707317073171,106.0,3.0,3.0,0.03418803418803419,14699969.0,570.0,-2.073170731707317,68.0,-17.378048780487806,703.0,0.00910200910200907,0.00910200910200907,-336.0,1.6076555023923444,9.39712918660287,688.0,3.291866028708134,-1964.0,12.198858371079481
2264,1279.0,4.858695652173913,1806.0,10.58695652173913,1928.0,3.532608695652174,27968.75,702.0,115500.00000000041,-2.8658536585365857,94.0,3.0,3.0,0.03907203907203907,14700129.0,567.0,-2.073170731707317,68.0,-17.28658536585366,702.0,0.008658008658008627,0.008658008658008629,-356.0,1.7033492822966507,9.39712918660287,696.0,3.3301435406698565,-1964.0,12.172505741639467
2265,1277.0,4.858695652173913,1806.0,10.608695652173912,1927.0,3.543478260869565,27973.6328125,704.0,104755.81395348875,-2.8353658536585367,93.0,3.0,3.0,0.04395604395604395,14700289.0,556.0,-2.073170731707317,68.0,-16.951219512195124,704.0,0.009546009546009513,0.009546009546009511,-348.0,1.6650717703349283,9.358851674641148,712.0,3.4066985645933014,-1956.0,12.194571950919908
