,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2666,1395.0,5.75,1724.0,9.326086956521738,2009.0,2.652173913043478,13007.8125,88323.5294117645,708.0,-1276.0,38.90243902439025,3.0,3.0,9721810.0,0.0,1.1585365853658538,1215.0,-38.0,-37.04268292682927,708.0,0.01132201132201135,0.011322011322011348,0.6507177033492823,-136.0,912.0,7.904306220095694,-1652.0,4.363636363636363,11.272640524102293
2667,1395.0,5.804347826086956,1719.0,9.326086956521738,2022.0,2.510869565217391,13012.6953125,84990.56603773567,709.0,-1255.0,38.26219512195122,3.0,3.0,9721970.0,0.004884004884004884,1.4329268292682928,980.0,-47.0,-29.87804878048781,709.0,0.011766011766011792,0.01176601176601179,0.5933014354066986,-124.0,932.0,7.9425837320574155,-1660.0,4.45933014354067,11.268132834695384
2668,1393.0,5.815217391304348,1718.0,9.347826086956522,2024.0,2.4891304347826084,13017.578125,88323.5294117645,708.0,-1213.0,36.98170731707317,3.0,3.0,9722130.0,0.009768009768009768,1.9512195121951221,771.0,-64.0,-23.50609756097561,708.0,0.01132201132201135,0.011322011322011348,0.49760765550239233,-104.0,920.0,7.961722488038277,-1664.0,4.401913875598086,11.286911720283564
2669,1390.0,5.58695652173913,1739.0,9.380434782608695,2025.0,2.4782608695652173,13022.4609375,88323.5294117645,708.0,-1155.0,35.213414634146346,3.0,3.0,9722290.0,0.014652014652014652,2.1951219512195124,582.0,-72.0,-17.743902439024392,708.0,0.01132201132201135,0.011322011322011348,0.5358851674641149,-112.0,848.0,8.0,-1672.0,4.057416267942584,11.195910718838222
2670,1384.0,5.293478260869565,1766.0,9.445652173913043,2020.0,2.532608695652174,13027.34375,88323.5294117645,708.0,-1078.0,32.86585365853659,3.0,3.0,9722450.0,0.019536019536019536,1.7682926829268295,399.0,-58.0,-12.164634146341465,708.0,0.01132201132201135,0.011322011322011348,0.631578947368421,-132.0,764.0,8.133971291866029,-1700.0,3.6555023923444976,11.120043340479384
2671,1371.0,4.717391304347826,1819.0,9.58695652173913,2011.0,2.630434782608696,13032.2265625,95840.42553191462,706.0,-941.0,28.689024390243905,3.0,3.0,9722610.0,0.02442002442002442,1.5548780487804879,231.0,-51.0,-7.0426829268292686,706.0,0.010434010434010463,0.010434010434010463,0.7272727272727273,-152.0,636.0,8.267942583732058,-1728.0,3.0430622009569377,11.003758594844337
2672,1361.0,4.228260869565217,1864.0,9.695652173913043,2009.0,2.652173913043478,13037.109375,88323.5294117645,708.0,-815.0,24.84756097560976,3.0,3.0,9722770.0,0.029304029304029304,1.0060975609756098,83.0,-33.0,-2.530487804878049,708.0,0.01132201132201135,0.011322011322011348,0.7272727272727273,-152.0,512.0,8.344497607655502,-1744.0,2.449760765550239,10.904947845983926
2673,1355.0,3.7065217391304346,1912.0,9.76086956521739,1997.0,2.782608695652174,13041.9921875,95840.42553191462,706.0,-645.0,19.664634146341466,3.0,3.0,9722930.0,0.03418803418803419,0.15243902439024393,-24.0,-5.0,0.7317073170731708,706.0,0.010434010434010463,0.010434010434010463,0.937799043062201,-196.0,412.0,8.440191387559809,-1764.0,1.971291866028708,10.8053592825483
2674,1341.0,3.3804347826086953,1942.0,9.91304347826087,1983.0,2.934782608695652,13046.875,84990.56603773567,709.0,-539.0,16.432926829268293,3.0,3.0,9723090.0,0.03907203907203907,-1.128048780487805,-62.0,37.0,1.8902439024390245,709.0,0.011766011766011792,0.01176601176601179,1.0909090909090908,-228.0,340.0,8.708133971291865,-1820.0,1.6267942583732056,10.87698116582278
2675,1319.0,3.0217391304347827,1975.0,10.152173913043478,1964.0,3.141304347826087,13051.7578125,84990.56603773567,709.0,-449.0,13.689024390243903,3.0,3.0,9723250.0,0.04395604395604395,-2.3170731707317076,-67.0,76.0,2.0426829268292686,709.0,0.011766011766011792,0.01176601176601179,1.4354066985645932,-300.0,248.0,9.014354066985646,-1884.0,1.186602870813397,11.048318222188948
2676,1296.0,2.684782608695652,2006.0,10.402173913043478,1932.0,3.4891304347826084,13056.640625,84990.56603773567,709.0,-370.0,11.28048780487805,3.0,3.0,9723410.0,0.04884004884004884,-4.085365853658537,-57.0,134.0,1.7378048780487807,709.0,0.011766011766011792,0.01176601176601179,1.7416267942583732,-364.0,160.0,9.320574162679426,-1948.0,0.7655502392344498,11.29545532345125
2677,1268.0,2.4347826086956523,2029.0,10.706521739130434,1910.0,3.7282608695652173,13061.5234375,84990.56603773567,709.0,-286.0,8.719512195121952,3.0,3.0,9723570.0,0.05372405372405373,-6.646341463414635,-64.0,218.0,1.9512195121951221,709.0,0.011766011766011792,0.01176601176601179,2.047846889952153,-428.0,124.0,9.626794258373206,-2012.0,0.5933014354066986,11.595589817409486
2678,1243.0,2.282608695652174,2043.0,10.978260869565217,1884.0,4.010869565217392,13066.40625,91928.57142857119,707.0,-207.0,6.310975609756098,3.0,3.0,9723730.0,0.05860805860805861,-8.902439024390246,-90.0,292.0,2.7439024390243905,707.0,0.010878010878010906,0.010878010878010906,2.2392344497607652,-468.0,116.0,9.85645933014354,-2060.0,0.5550239234449761,11.908802998071675
2679,1216.0,2.25,2046.0,11.271739130434783,1867.0,4.195652173913043,13071.2890625,88323.5294117645,708.0,-162.0,4.939024390243903,3.0,3.0,9723890.0,0.06349206349206349,-11.76829268292683,-108.0,386.0,3.2926829268292686,708.0,0.01132201132201135,0.011322011322011348,2.488038277511962,-520.0,100.0,10.086124401913874,-2108.0,0.4784688995215311,12.235934790159511
2680,1195.0,2.2391304347826084,2047.0,11.5,1848.0,4.4021739130434785,13076.171875,84990.56603773567,709.0,-110.0,3.353658536585366,3.0,3.0,9724050.0,0.06837606837606838,-15.457317073170733,-193.0,507.0,5.884146341463415,709.0,0.011766011766011792,0.01176601176601179,2.6411483253588517,-552.0,104.0,10.392344497607654,-2172.0,0.49760765550239233,12.515703746280122
2681,1178.0,2.1956521739130435,2051.0,11.684782608695652,1824.0,4.663043478260869,13081.0546875,84990.56603773567,709.0,-77.0,2.347560975609756,3.0,3.0,9724210.0,0.07326007326007326,-19.390243902439025,-270.0,636.0,8.231707317073171,709.0,0.011766011766011792,0.01176601176601179,2.7942583732057416,-584.0,108.0,10.602870813397129,-2216.0,0.5167464114832536,12.771022181541957
2682,1164.0,2.152173913043478,2055.0,11.83695652173913,1823.0,4.673913043478261,13085.9375,88323.5294117645,708.0,-28.0,0.853658536585366,3.0,3.0,9724370.0,0.07814407814407814,-23.07926829268293,-333.0,757.0,10.152439024390246,708.0,0.01132201132201135,0.011322011322011348,2.813397129186603,-588.0,80.0,10.75598086124402,-2248.0,0.3827751196172249,12.907007995175475
2683,1160.0,2.130434782608696,2057.0,11.880434782608695,1816.0,4.75,13090.8203125,88323.5294117645,708.0,13.0,-0.39634146341463417,3.0,3.0,9724530.0,0.08302808302808302,-26.82926829268293,-399.0,880.0,12.164634146341465,708.0,0.01132201132201135,0.011322011322011348,2.9473684210526314,-616.0,56.0,10.813397129186603,-2260.0,0.2679425837320574,12.970966925667781
2684,1161.0,1.9565217391304348,2073.0,11.869565217391305,1820.0,4.706521739130435,13095.703125,88323.5294117645,708.0,69.0,-2.103658536585366,3.0,3.0,9724690.0,0.0879120879120879,-30.487804878048784,-431.0,1000.0,13.140243902439025,708.0,0.01132201132201135,0.011322011322011348,2.9473684210526314,-616.0,44.0,10.75598086124402,-2248.0,0.21052631578947367,12.917658558984398
2685,1166.0,1.9891304347826086,2070.0,11.815217391304348,1826.0,4.641304347826087,13100.5859375,88323.5294117645,708.0,83.0,-2.530487804878049,3.0,3.0,9724850.0,0.0927960927960928,-33.44512195121951,-479.0,1097.0,14.603658536585368,708.0,0.01132201132201135,0.011322011322011348,2.8708133971291865,-600.0,32.0,10.717703349282296,-2240.0,0.15311004784688995,12.849035292173047
2686,1160.0,1.9782608695652173,2071.0,11.880434782608695,1841.0,4.478260869565217,13105.46875,95840.42553191462,706.0,88.0,-2.682926829268293,3.0,3.0,9725010.0,0.09768009768009768,-36.3109756097561,-526.0,1191.0,16.03658536585366,706.0,0.010434010434010463,0.010434010434010463,2.7942583732057416,-584.0,36.0,10.698564593301436,-2236.0,0.17224880382775118,12.849632956149
2687,1164.0,2.0760869565217392,2062.0,11.83695652173913,1844.0,4.445652173913043,13110.3515625,88323.5294117645,708.0,105.0,-3.2012195121951224,3.0,3.0,9725170.0,0.10256410256410256,-38.018292682926834,-550.0,1247.0,16.76829268292683,708.0,0.01132201132201135,0.011322011322011348,2.602870813397129,-544.0,72.0,10.717703349282296,-2240.0,0.34449760765550236,12.813567028739499
2688,1168.0,2.2282608695652173,2048.0,11.793478260869565,1856.0,4.315217391304348,13115.234375,91928.57142857119,707.0,123.0,-3.7500000000000004,3.0,3.0,9725330.0,0.10744810744810745,-39.51219512195122,-585.0,1296.0,17.835365853658537,707.0,0.010878010878010906,0.010878010878010906,2.5071770334928227,-524.0,128.0,10.602870813397129,-2216.0,0.6124401913875598,12.754308179068516
2689,1168.0,2.4782608695652173,2025.0,11.793478260869565,1870.0,4.163043478260869,13120.1171875,88323.5294117645,708.0,124.0,-3.780487804878049,3.0,3.0,9725490.0,0.11233211233211234,-40.76219512195122,-626.0,1337.0,19.085365853658537,708.0,0.01132201132201135,0.011322011322011348,2.2583732057416266,-472.0,176.0,10.641148325358852,-2224.0,0.8421052631578947,12.749856368960064
2690,1170.0,2.760869565217391,1999.0,11.771739130434783,1883.0,4.021739130434782,13125.0,91928.57142857119,707.0,142.0,-4.329268292682928,3.0,3.0,9725650.0,0.11721611721611722,-41.951219512195124,-687.0,1376.0,20.945121951219512,707.0,0.010878010878010906,0.010878010878010906,2.1052631578947367,-440.0,248.0,10.660287081339712,-2228.0,1.186602870813397,12.742473407640427
2691,1164.0,3.184782608695652,1960.0,11.83695652173913,1889.0,3.9565217391304346,13129.8828125,88323.5294117645,708.0,114.0,-3.4756097560975614,3.0,3.0,9725810.0,0.1221001221001221,-43.07926829268293,-795.0,1413.0,24.237804878048784,708.0,0.01132201132201135,0.011322011322011348,2.1626794258373203,-452.0,356.0,10.660287081339712,-2228.0,1.7033492822966507,12.88062282012809
2692,1162.0,3.782608695652174,1905.0,11.858695652173912,1898.0,3.858695652173913,13134.765625,88323.5294117645,708.0,119.0,-3.628048780487805,3.0,3.0,9725970.0,0.12698412698412698,-43.68902439024391,-1009.0,1433.0,30.762195121951223,708.0,0.01132201132201135,0.011322011322011348,2.0095693779904304,-420.0,512.0,10.736842105263158,-2244.0,2.449760765550239,13.03174290919744
2693,1149.0,4.358695652173913,1852.0,12.0,1897.0,3.869565217391304,13139.6484375,79026.31578947355,711.0,133.0,-4.0548780487804885,3.0,3.0,9726130.0,0.13186813186813187,-43.53658536585366,-1282.0,1428.0,39.08536585365854,711.0,0.012654012654012677,0.012654012654012677,2.0861244019138754,-436.0,652.0,10.851674641148325,-2268.0,3.1196172248803826,13.34060578684208
2694,1144.0,4.815217391304348,1810.0,12.054347826086957,1896.0,3.8804347826086953,13144.53125,95840.42553191462,706.0,149.0,-4.5426829268292686,3.0,3.0,9726290.0,0.13675213675213677,-44.11585365853659,-1619.0,1447.0,49.35975609756098,706.0,0.010434010434010463,0.010434010434010463,2.028708133971292,-424.0,768.0,11.062200956937799,-2312.0,3.6746411483253585,13.548114043655175
2695,1134.0,5.163043478260869,1778.0,12.16304347826087,1896.0,3.8804347826086953,13149.4140625,84990.56603773567,709.0,164.0,-5.000000000000001,3.0,3.0,9726450.0,0.14163614163614163,-44.32926829268293,-1952.0,1454.0,59.51219512195122,709.0,0.011766011766011792,0.01176601176601179,2.0861244019138754,-436.0,792.0,11.004784688995215,-2300.0,3.789473684210526,13.771507496078842
2696,1124.0,5.413043478260869,1755.0,12.271739130434783,1899.0,3.8478260869565215,13154.296875,81899.99999999984,710.0,180.0,-5.487804878048781,3.0,3.0,9726610.0,0.14652014652014653,-44.39024390243903,-2290.0,1456.0,69.81707317073172,710.0,0.012210012210012234,0.012210012210012234,1.9904306220095693,-416.0,880.0,11.177033492822966,-2336.0,4.2105263157894735,13.953579704808723
2697,1112.0,5.75,1724.0,12.402173913043478,1912.0,3.7065217391304346,13159.1796875,73844.26229508186,713.0,144.0,-4.390243902439025,3.0,3.0,9726770.0,0.1514041514041514,-44.176829268292686,-2634.0,1449.0,80.3048780487805,713.0,0.013542013542013561,0.01354201354201356,1.7990430622009568,-376.0,916.0,11.38755980861244,-2380.0,4.382775119617225,14.163852624622395
2698,1102.0,5.913043478260869,1709.0,12.51086956521739,1918.0,3.641304347826087,13164.0625,88323.5294117645,708.0,126.0,-3.8414634146341466,3.0,3.0,9726930.0,0.1562881562881563,-45.243902439024396,-2976.0,1484.0,90.73170731707317,708.0,0.01132201132201135,0.011322011322011348,1.7799043062200957,-372.0,944.0,11.425837320574162,-2388.0,4.516746411483253,14.308914627154058
2699,1097.0,6.33695652173913,1670.0,12.565217391304348,1923.0,3.5869565217391304,13168.9453125,91928.57142857119,707.0,138.0,-4.207317073170732,3.0,3.0,9727090.0,0.16117216117216118,-46.34146341463415,-3408.0,1520.0,103.90243902439025,707.0,0.010878010878010906,0.010878010878010906,1.6267942583732056,-340.0,1076.0,11.38755980861244,-2380.0,5.148325358851674,14.522670661348629
2700,1093.0,6.456521739130435,1659.0,12.608695652173912,1932.0,3.4891304347826084,13173.828125,84990.56603773567,709.0,128.0,-3.9024390243902443,3.0,3.0,9727250.0,0.16605616605616605,-46.06707317073171,-3774.0,1511.0,115.06097560975611,709.0,0.011766011766011792,0.01176601176601179,1.6650717703349283,-348.0,1056.0,11.54066985645933,-2412.0,5.052631578947368,14.589033902487838
2701,1085.0,5.815217391304348,1718.0,12.695652173913043,1940.0,3.402173913043478,13178.7109375,79026.31578947355,711.0,27.0,-0.8231707317073171,3.0,3.0,9727410.0,0.17094017094017094,-45.88414634146342,-3938.0,1505.0,120.06097560975611,711.0,0.012654012654012677,0.012654012654012677,1.4736842105263157,-308.0,868.0,11.71291866028708,-2448.0,4.15311004784689,14.372582397179189
2702,1084.0,5.728260869565217,1726.0,12.706521739130434,1951.0,3.282608695652174,13183.59375,88323.5294117645,708.0,-45.0,1.3719512195121952,3.0,3.0,9727570.0,0.1758241758241758,-49.024390243902445,-4192.0,1608.0,127.8048780487805,708.0,0.01132201132201135,0.011322011322011348,1.3014354066985645,-272.0,868.0,11.732057416267942,-2452.0,4.15311004784689,14.319364062190669
2703,1087.0,5.804347826086956,1719.0,12.67391304347826,1963.0,3.152173913043478,13188.4765625,95840.42553191462,706.0,-39.0,1.1890243902439026,3.0,3.0,9727730.0,0.1807081807081807,-51.15853658536586,-4430.0,1678.0,135.0609756097561,706.0,0.010434010434010463,0.010434010434010463,1.2822966507177034,-268.0,916.0,11.655502392344497,-2436.0,4.382775119617225,14.291771265239328
2704,1092.0,5.663043478260869,1732.0,12.619565217391305,1969.0,3.0869565217391304,13193.359375,88323.5294117645,708.0,-64.0,1.9512195121951221,3.0,3.0,9727890.0,0.1855921855921856,-51.463414634146346,-4570.0,1688.0,139.32926829268294,708.0,0.01132201132201135,0.011322011322011348,1.2057416267942582,-252.0,836.0,11.502392344497608,-2404.0,4.0,14.172254170729975
2705,1100.0,4.9021739130434785,1802.0,12.532608695652174,1966.0,3.119565217391304,13198.2421875,95840.42553191462,706.0,-165.0,5.0304878048780495,3.0,3.0,9728050.0,0.19047619047619047,-52.896341463414636,-4512.0,1735.0,137.5609756097561,706.0,0.010434010434010463,0.010434010434010463,1.1674641148325358,-244.0,616.0,11.464114832535884,-2396.0,2.9473684210526314,13.814097036636818
2706,1118.0,4.467391304347826,1842.0,12.33695652173913,1975.0,3.0217391304347827,13203.125,84990.56603773567,709.0,-234.0,7.134146341463415,3.0,3.0,9728210.0,0.19536019536019536,-57.37804878048781,-4438.0,1882.0,135.3048780487805,709.0,0.011766011766011792,0.01176601176601179,1.0717703349282297,-224.0,636.0,11.119617224880383,-2324.0,3.0430622009569377,13.464359942375463
2707,1136.0,4.815217391304348,1810.0,12.141304347826086,1982.0,2.9456521739130435,13208.0078125,84990.56603773567,709.0,-197.0,6.00609756097561,3.0,3.0,9728370.0,0.20024420024420025,-58.59756097560976,-4454.0,1922.0,135.7926829268293,709.0,0.011766011766011792,0.01176601176601179,1.1291866028708133,-236.0,744.0,10.909090909090908,-2280.0,3.5598086124401913,13.38934115338537
2708,1145.0,5.239130434782608,1771.0,12.043478260869565,1974.0,3.032608695652174,13212.890625,88323.5294117645,708.0,-264.0,8.048780487804878,3.0,3.0,9728530.0,0.20512820512820512,-56.98170731707317,-4511.0,1869.0,137.53048780487805,708.0,0.01132201132201135,0.011322011322011348,1.2822966507177034,-268.0,808.0,10.909090909090908,-2280.0,3.866028708133971,13.479264513824498
2709,1145.0,5.380434782608695,1758.0,12.043478260869565,1966.0,3.119565217391304,13217.7734375,84990.56603773567,709.0,-357.0,10.884146341463415,3.0,3.0,9728690.0,0.21001221001221002,-55.73170731707317,-4651.0,1828.0,141.7987804878049,709.0,0.011766011766011792,0.01176601176601179,1.339712918660287,-280.0,816.0,10.985645933014354,-2296.0,3.9043062200956937,13.554561380417327
2710,1142.0,5.326086956521739,1763.0,12.076086956521738,1944.0,3.358695652173913,13222.65625,91928.57142857119,707.0,-403.0,12.286585365853659,3.0,3.0,9728850.0,0.2148962148962149,-56.06707317073171,-4794.0,1839.0,146.15853658536588,707.0,0.010878010878010906,0.010878010878010906,1.5311004784688995,-320.0,764.0,10.92822966507177,-2284.0,3.6555023923444976,13.619101105940782
2711,1140.0,5.130434782608695,1781.0,12.097826086956522,1932.0,3.4891304347826084,13227.5390625,88323.5294117645,708.0,-449.0,13.689024390243903,3.0,3.0,9729010.0,0.21978021978021978,-57.10365853658537,-4900.0,1873.0,149.39024390243904,708.0,0.01132201132201135,0.011322011322011348,1.6267942583732056,-340.0,748.0,10.966507177033492,-2292.0,3.5789473684210527,13.59605782128677
2712,1136.0,4.815217391304348,1810.0,12.141304347826086,1918.0,3.641304347826087,13232.421875,84990.56603773567,709.0,-482.0,14.695121951219514,3.0,3.0,9729170.0,0.22466422466422467,-57.65243902439025,-4943.0,1891.0,150.70121951219514,709.0,0.011766011766011792,0.01176601176601179,1.7990430622009568,-376.0,676.0,10.966507177033492,-2292.0,3.2344497607655502,13.559376355332779
2713,1136.0,4.478260869565217,1841.0,12.141304347826086,1887.0,3.9782608695652173,13237.3046875,84990.56603773567,709.0,-519.0,15.823170731707318,3.0,3.0,9729330.0,0.22954822954822954,-59.39024390243903,-4954.0,1948.0,151.03658536585368,709.0,0.011766011766011792,0.01176601176601179,2.1626794258373203,-452.0,584.0,10.966507177033492,-2292.0,2.7942583732057416,13.53856163810371
2714,1127.0,4.08695652173913,1877.0,12.239130434782608,1868.0,4.184782608695652,13242.1875,84990.56603773567,709.0,-568.0,17.31707317073171,3.0,3.0,9729490.0,0.23443223443223443,-62.34756097560976,-4909.0,2045.0,149.66463414634148,709.0,0.011766011766011792,0.01176601176601179,2.4114832535885165,-504.0,500.0,11.138755980861244,-2328.0,2.3923444976076556,13.565099811363332
2715,1125.0,3.760869565217391,1907.0,12.26086956521739,1849.0,4.391304347826087,13247.0703125,88323.5294117645,708.0,-615.0,18.75,3.0,3.0,9729650.0,0.23931623931623933,-64.96951219512195,-4799.0,2131.0,146.3109756097561,708.0,0.01132201132201135,0.011322011322011348,2.5645933014354068,-536.0,436.0,11.10047846889952,-2320.0,2.0861244019138754,13.555685753848413
2716,1133.0,3.402173913043478,1940.0,12.17391304347826,1845.0,4.434782608695652,13251.953125,88323.5294117645,708.0,-648.0,19.75609756097561,3.0,3.0,9729810.0,0.2442002442002442,-67.13414634146342,-4639.0,2202.0,141.4329268292683,708.0,0.01132201132201135,0.011322011322011348,2.736842105263158,-572.0,332.0,11.10047846889952,-2320.0,1.588516746411483,13.39575466000901
2717,1136.0,3.0978260869565215,1968.0,12.141304347826086,1850.0,4.380434782608695,13256.8359375,84990.56603773567,709.0,-687.0,20.945121951219512,3.0,3.0,9729970.0,0.2490842490842491,-68.65853658536587,-4415.0,2252.0,134.60365853658539,709.0,0.011766011766011792,0.01176601176601179,2.6411483253588517,-552.0,252.0,11.081339712918659,-2316.0,1.2057416267942582,13.27388438311322
