,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2052,1049.0,6.641304347826087,1642.0,13.08695652173913,3.7065217391304346,1912.0,48857.421875,706.0,95840.42553191462,-15.0,0.4573170731707317,3.0,3.0,0.0,8704965.0,-6938.0,38.8719512195122,-1275.0,211.52439024390245,0.010434010434010463,706.0,0.010434010434010463,1.8564593301435406,-388.0,1044.0,11.770334928229664,-2460.0,4.9952153110047846,15.13650084547253
2053,1091.0,6.304347826086956,1673.0,12.630434782608695,3.619565217391304,1920.0,48862.3046875,706.0,95840.42553191462,-101.0,3.079268292682927,3.0,3.0,0.004884004884004884,8705125.0,-7021.0,37.16463414634147,-1219.0,214.0548780487805,0.010434010434010463,706.0,0.010434010434010463,1.7416267942583732,-364.0,1008.0,11.521531100478468,-2408.0,4.822966507177033,14.573055159195956
2054,1124.0,6.021739130434782,1699.0,12.271739130434783,3.5652173913043477,1925.0,48867.1875,706.0,95840.42553191462,-199.0,6.067073170731708,3.0,3.0,0.009768009768009768,8705285.0,-7066.0,35.57926829268293,-1167.0,215.4268292682927,0.010434010434010463,706.0,0.010434010434010463,1.7033492822966507,-356.0,948.0,11.062200956937799,-2312.0,4.535885167464115,14.126843189039533
2055,1150.0,5.728260869565217,1726.0,11.989130434782608,3.608695652173913,1921.0,48872.0703125,706.0,95840.42553191462,-322.0,9.817073170731708,3.0,3.0,0.014652014652014652,8705445.0,-7054.0,33.201219512195124,-1089.0,215.06097560975613,0.010434010434010463,706.0,0.010434010434010463,1.6842105263157894,-352.0,880.0,10.736842105263158,-2244.0,4.2105263157894735,13.76862031875531
2056,1182.0,5.434782608695652,1753.0,11.641304347826086,3.6739130434782608,1915.0,48876.953125,707.0,91928.57142857119,-462.0,14.085365853658537,3.0,3.0,0.019536019536019536,8705605.0,-7011.0,30.33536585365854,-995.0,213.75000000000003,0.010878010878010906,707.0,0.010878010878010906,1.7416267942583732,-364.0,796.0,10.392344497607654,-2172.0,3.8086124401913874,13.362427398251224
2057,1212.0,5.1521739130434785,1779.0,11.315217391304348,3.6630434782608696,1916.0,48881.8359375,707.0,91928.57142857119,-597.0,18.201219512195124,3.0,3.0,0.02442002442002442,8705765.0,-6927.0,27.59146341463415,-905.0,211.18902439024393,0.010878010878010906,707.0,0.010878010878010906,1.7990430622009568,-376.0,736.0,10.047846889952153,-2100.0,3.5215311004784686,12.961362897718418
2058,1244.0,4.869565217391305,1805.0,10.967391304347826,3.782608695652174,1905.0,48886.71875,706.0,95840.42553191462,-720.0,21.951219512195124,3.0,3.0,0.029304029304029304,8705925.0,-6807.0,24.481707317073173,-803.0,207.53048780487808,0.010434010434010463,706.0,0.010434010434010463,1.9521531100478469,-408.0,668.0,9.722488038277511,-2032.0,3.1961722488038276,12.581910267266057
2059,1279.0,4.532608695652174,1836.0,10.58695652173913,3.8369565217391304,1900.0,48891.6015625,705.0,100099.99999999968,-841.0,25.64024390243903,3.0,3.0,0.03418803418803419,8706085.0,-6647.0,21.920731707317074,-719.0,202.65243902439028,0.009990009990010021,705.0,0.009990009990010023,2.1052631578947367,-440.0,584.0,9.320574162679426,-1948.0,2.7942583732057416,12.138798347893125
2060,1306.0,4.293478260869565,1858.0,10.293478260869565,3.9456521739130435,1890.0,48896.484375,706.0,95840.42553191462,-963.0,29.35975609756098,3.0,3.0,0.03907203907203907,8706245.0,-6461.0,20.152439024390247,-661.0,196.9817073170732,0.010434010434010463,706.0,0.010434010434010463,2.2583732057416266,-472.0,496.0,8.937799043062201,-1868.0,2.373205741626794,11.830377059124473
2061,1324.0,4.043478260869565,1881.0,10.097826086956522,4.021739130434782,1883.0,48901.3671875,705.0,100099.99999999968,-1091.0,33.26219512195122,3.0,3.0,0.04395604395604395,8706405.0,-6248.0,18.07926829268293,-593.0,190.4878048780488,0.009990009990010021,705.0,0.009990009990010023,2.3923444976076556,-500.0,456.0,8.650717703349281,-1808.0,2.1818181818181817,11.596990720088325
2062,1339.0,3.8043478260869565,1903.0,9.934782608695652,4.141304347826087,1872.0,48906.25,706.0,95840.42553191462,-1212.0,36.951219512195124,3.0,3.0,0.04884004884004884,8706565.0,-6011.0,16.920731707317074,-555.0,183.26219512195124,0.010434010434010463,706.0,0.010434010434010463,2.3923444976076556,-500.0,436.0,8.555023923444976,-1788.0,2.0861244019138754,11.415926136990262
2063,1351.0,3.717391304347826,1911.0,9.804347826086957,4.228260869565217,1864.0,48911.1328125,706.0,95840.42553191462,-1334.0,40.670731707317074,3.0,3.0,0.05372405372405373,8706725.0,-5791.0,15.853658536585368,-520.0,176.5548780487805,0.010434010434010463,706.0,0.010434010434010463,2.5071770334928227,-524.0,396.0,8.459330143540669,-1768.0,1.894736842105263,11.30585796769238
