,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2052,9.467391304347826,1633.0,6.739130434782608,1382.0,2.217391304347826,2049.0,15893.5546875,88323.5294117645,708.0,-1.5243902439024393,50.0,3.0,3.0,5071102.0,0.0,-237.0,-0.27439024390243905,7.225609756097562,9.0,0.01132201132201135,708.0,0.011322011322011348,-40.0,0.19138755980861244,4.956937799043062,1752.0,-1036.0,8.382775119617225,11.830646699282816
2053,9.41304347826087,1635.0,6.717391304347826,1387.0,2.2717391304347827,2044.0,15898.4375,91928.57142857119,707.0,-1.4939024390243905,49.0,3.0,3.0,5071262.0,0.004884004884004884,-246.0,-0.27439024390243905,7.500000000000001,9.0,0.010878010878010906,707.0,0.010878010878010906,-56.0,0.2679425837320574,4.842105263157895,1712.0,-1012.0,8.191387559808613,11.78514031041234
2054,9.434782608695652,1637.0,6.695652173913043,1385.0,2.3369565217391304,2038.0,15903.3203125,84990.56603773567,709.0,-1.9207317073170733,63.0,3.0,3.0,5071422.0,0.009768009768009768,-218.0,-0.6097560975609757,6.646341463414635,20.0,0.011766011766011792,709.0,0.01176601176601179,-72.0,0.34449760765550236,4.803827751196172,1728.0,-1004.0,8.267942583732058,11.80289145471869
2055,9.380434782608695,1641.0,6.6521739130434785,1390.0,2.3152173913043477,2040.0,15908.203125,100099.99999999968,705.0,-1.5853658536585367,52.0,3.0,3.0,5071582.0,0.014652014652014652,-194.0,-1.0060975609756098,5.914634146341464,33.0,0.009990009990010023,705.0,0.009990009990010021,-68.0,0.3253588516746411,4.842105263157895,1720.0,-1012.0,8.229665071770334,11.730481918879093
2056,9.434782608695652,1645.0,6.608695652173913,1385.0,2.358695652173913,2036.0,15913.0859375,91928.57142857119,707.0,-0.7317073170731708,24.0,3.0,3.0,5071742.0,0.019536019536019536,-165.0,-1.3414634146341464,5.0304878048780495,44.0,0.010878010878010906,707.0,0.010878010878010906,-88.0,0.42105263157894735,4.861244019138756,1736.0,-1016.0,8.30622009569378,11.758121715477879
2057,9.521739130434783,1643.0,6.630434782608695,1377.0,2.369565217391304,2035.0,15917.96875,91928.57142857119,707.0,-0.48780487804878053,16.0,3.0,3.0,5071902.0,0.02442002442002442,-150.0,-1.5548780487804879,4.573170731707317,51.0,0.010878010878010906,707.0,0.010878010878010906,-84.0,0.4019138755980861,4.918660287081339,1756.0,-1028.0,8.401913875598085,11.842340173882478
2058,9.58695652173913,1643.0,6.630434782608695,1371.0,2.4239130434782608,2030.0,15922.8515625,109865.85365853697,703.0,-0.39634146341463417,13.0,3.0,3.0,5072062.0,0.029304029304029304,-145.0,-1.7682926829268295,4.420731707317073,58.0,0.00910200910200907,703.0,0.00910200910200907,-88.0,0.42105263157894735,4.861244019138756,1768.0,-1016.0,8.459330143540669,11.905786626615132
2059,9.76086956521739,1644.0,6.619565217391304,1355.0,2.358695652173913,2036.0,15927.734375,109865.85365853697,703.0,-0.24390243902439027,8.0,3.0,3.0,5072222.0,0.03418803418803419,-176.0,-1.981707317073171,5.365853658536586,65.0,0.00910200910200907,703.0,0.00910200910200907,-112.0,0.5358851674641149,4.784688995215311,1796.0,-1000.0,8.593301435406698,12.027329858121794
2060,9.695652173913043,1646.0,6.5978260869565215,1361.0,2.4456521739130435,2028.0,15932.6171875,115500.00000000041,702.0,-0.30487804878048785,10.0,3.0,3.0,5072382.0,0.03907203907203907,-184.0,-2.3170731707317076,5.609756097560976,76.0,0.008658008658008627,702.0,0.008658008658008629,-116.0,0.5550239234449761,4.803827751196172,1780.0,-1004.0,8.516746411483254,11.979907959036844
2061,9.706521739130434,1643.0,6.630434782608695,1360.0,2.4130434782608696,2031.0,15937.5,91928.57142857119,707.0,-0.15243902439024393,5.0,3.0,3.0,5072542.0,0.04395604395604395,-189.0,-2.5914634146341466,5.76219512195122,85.0,0.010878010878010906,707.0,0.010878010878010906,-124.0,0.5933014354066986,4.842105263157895,1788.0,-1012.0,8.555023923444976,12.00008368748386
2062,9.66304347826087,1638.0,6.684782608695652,1364.0,2.4239130434782608,2030.0,15942.3828125,95840.42553191462,706.0,-0.15243902439024393,5.0,3.0,3.0,5072702.0,0.04884004884004884,-190.0,-2.8353658536585367,5.7926829268292686,93.0,0.010434010434010463,706.0,0.010434010434010463,-104.0,0.49760765550239233,4.918660287081339,1780.0,-1028.0,8.516746411483254,11.997336464008326
2063,9.58695652173913,1635.0,6.717391304347826,1371.0,2.467391304347826,2026.0,15947.265625,91928.57142857119,707.0,-0.3658536585365854,12.0,3.0,3.0,5072862.0,0.05372405372405373,-173.0,-3.353658536585366,5.27439024390244,110.0,0.010878010878010906,707.0,0.010878010878010906,-108.0,0.5167464114832536,4.899521531100478,1764.0,-1024.0,8.440191387559809,11.963323164330866
