,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2052,1230.0,3.858695652173913,1898.0,11.119565217391305,1971.0,3.0652173913043477,27431.640625,88323.5294117645,708.0,173.0,-5.27439024390244,3.0,3.0,0.0,8033343.0,-0.5182926829268293,-956.0,17.0,29.146341463414636,708.0,0.01132201132201135,0.011322011322011348,-272.0,1.3014354066985645,476.0,9.894736842105262,-2068.0,2.277511961722488,12.162640355444168
2053,1228.0,3.934782608695652,1891.0,11.141304347826086,1968.0,3.0978260869565215,27436.5234375,91928.57142857119,707.0,161.0,-4.908536585365854,3.0,3.0,0.004884004884004884,8033503.0,-0.30487804878048785,-938.0,10.0,28.59756097560976,707.0,0.010878010878010906,0.010878010878010906,-268.0,1.2822966507177034,484.0,9.894736842105262,-2068.0,2.3157894736842106,12.215060507979915
2054,1225.0,3.9565217391304346,1889.0,11.17391304347826,1967.0,3.108695652173913,27441.40625,91928.57142857119,707.0,145.0,-4.420731707317073,3.0,3.0,0.009768009768009768,8033663.0,0.12195121951219513,-921.0,-4.0,28.07926829268293,707.0,0.010878010878010906,0.010878010878010906,-260.0,1.244019138755981,492.0,9.971291866028707,-2084.0,2.354066985645933,12.254565909622025
2055,1221.0,3.9456521739130435,1890.0,11.217391304347826,1968.0,3.0978260869565215,27446.2890625,91928.57142857119,707.0,125.0,-3.810975609756098,3.0,3.0,0.014652014652014652,8033823.0,-0.15243902439024393,-870.0,5.0,26.52439024390244,707.0,0.010878010878010906,0.010878010878010906,-248.0,1.186602870813397,468.0,9.971291866028707,-2084.0,2.2392344497607652,12.287984587286529
2056,1220.0,3.902173913043478,1894.0,11.228260869565217,1965.0,3.1304347826086953,27451.171875,91928.57142857119,707.0,106.0,-3.231707317073171,3.0,3.0,0.019536019536019536,8033983.0,-0.5182926829268293,-827.0,17.0,25.213414634146343,707.0,0.010878010878010906,0.010878010878010906,-256.0,1.2248803827751196,468.0,9.971291866028707,-2084.0,2.2392344497607652,12.292291297020782
2057,1217.0,3.869565217391304,1897.0,11.26086956521739,1966.0,3.119565217391304,27456.0546875,91928.57142857119,707.0,86.0,-2.6219512195121952,3.0,3.0,0.02442002442002442,8034143.0,-0.7317073170731708,-743.0,24.0,22.652439024390247,707.0,0.010878010878010906,0.010878010878010906,-264.0,1.263157894736842,456.0,10.028708133971291,-2096.0,2.1818181818181817,12.309037553035639
2058,1224.0,3.8804347826086953,1896.0,11.184782608695652,1959.0,3.1956521739130435,27460.9375,88323.5294117645,708.0,71.0,-2.164634146341464,3.0,3.0,0.029304029304029304,8034303.0,-1.1585365853658538,-665.0,38.0,20.27439024390244,708.0,0.01132201132201135,0.011322011322011348,-276.0,1.3205741626794258,464.0,10.028708133971291,-2096.0,2.2200956937799043,12.262517234340397
2059,1223.0,3.869565217391304,1897.0,11.195652173913043,1966.0,3.119565217391304,27465.8203125,91928.57142857119,707.0,28.0,-0.853658536585366,3.0,3.0,0.03418803418803419,8034463.0,-1.3109756097560976,-557.0,43.0,16.981707317073173,707.0,0.010878010878010906,0.010878010878010906,-288.0,1.3779904306220094,456.0,9.933014354066986,-2076.0,2.1818181818181817,12.249402014647332
2060,1226.0,3.967391304347826,1888.0,11.16304347826087,1961.0,3.1739130434782608,27470.703125,91928.57142857119,707.0,1.0,-0.030487804878048783,3.0,3.0,0.03907203907203907,8034623.0,-1.707317073170732,-481.0,56.0,14.664634146341465,707.0,0.010878010878010906,0.010878010878010906,-284.0,1.3588516746411483,472.0,10.028708133971291,-2096.0,2.2583732057416266,12.26488717709701
2061,1229.0,3.891304347826087,1895.0,11.130434782608695,1960.0,3.184782608695652,27475.5859375,95840.42553191462,706.0,-34.0,1.0365853658536586,3.0,3.0,0.04395604395604395,8034783.0,-1.9207317073170733,-380.0,63.0,11.585365853658537,706.0,0.010434010434010463,0.010434010434010463,-276.0,1.3205741626794258,484.0,9.913875598086124,-2072.0,2.3157894736842106,12.213585396678813
