,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
1637,2941.0,6.445652173913043,1660.0,-7.478260869565217,2.9782608695652173,1979.0,8007.8125,104755.81395348875,704.0,677.0,-20.640243902439025,3.0,3.0,0.0,1423197.0,-27.652439024390247,-11666.0,907.0,355.6707317073171,0.009546009546009511,0.009546009546009513,704.0,-240.0,1.1483253588516746,968.0,-11.330143540669855,2368.0,4.631578947368421,10.312170255941453
1638,2956.0,6.293478260869565,1674.0,-7.641304347826087,3.2065217391304346,1958.0,8012.6953125,91928.57142857119,707.0,653.0,-19.908536585365855,3.0,3.0,0.004884004884004884,1423357.0,-25.243902439024392,-11312.0,828.0,344.87804878048786,0.010878010878010906,0.010878010878010906,707.0,-280.0,1.339712918660287,976.0,-11.311004784688995,2364.0,4.669856459330143,10.405728346428218
1639,2956.0,6.391304347826087,1665.0,-7.641304347826087,3.293478260869565,1950.0,8017.578125,95840.42553191462,706.0,618.0,-18.84146341463415,3.0,3.0,0.009768009768009768,1423517.0,-21.432926829268293,-11103.0,703.0,338.50609756097566,0.010434010434010463,0.010434010434010463,706.0,-300.0,1.4354066985645932,1028.0,-11.483253588516746,2400.0,4.918660287081339,10.49215432870995
1640,2962.0,6.619565217391304,1644.0,-7.706521739130435,3.5978260869565215,1922.0,8022.4609375,95840.42553191462,706.0,586.0,-17.865853658536587,3.0,3.0,0.014652014652014652,1423677.0,-18.01829268292683,-11038.0,591.0,336.5243902439025,0.010434010434010463,0.010434010434010463,706.0,-364.0,1.7416267942583732,1104.0,-11.54066985645933,2412.0,5.282296650717703,10.777452089198617
1641,2966.0,6.804347826086956,1627.0,-7.75,3.7391304347826084,1909.0,8027.34375,95840.42553191462,706.0,531.0,-16.189024390243905,3.0,3.0,0.019536019536019536,1423837.0,-15.487804878048783,-11029.0,508.0,336.25000000000006,0.010434010434010463,0.010434010434010463,706.0,-388.0,1.8564593301435406,1100.0,-11.636363636363637,2432.0,5.263157894736842,10.97008412669164
1642,2990.0,6.793478260869565,1628.0,-8.01086956521739,3.858695652173913,1898.0,8032.2265625,91928.57142857119,707.0,437.0,-13.323170731707318,3.0,3.0,0.02442002442002442,1423997.0,-12.347560975609758,-11115.0,405.0,338.8719512195122,0.010878010878010906,0.010878010878010906,707.0,-452.0,2.1626794258373203,1084.0,-11.751196172248804,2456.0,5.186602870813397,11.189946836689597
1643,2990.0,6.58695652173913,1647.0,-8.01086956521739,4.206521739130435,1866.0,8037.109375,95840.42553191462,706.0,382.0,-11.646341463414636,3.0,3.0,0.029304029304029304,1424157.0,-9.176829268292684,-11227.0,301.0,342.2865853658537,0.010434010434010463,0.010434010434010463,706.0,-520.0,2.488038277511962,1004.0,-11.866028708133971,2480.0,4.803827751196172,11.191820788057003
1644,2989.0,6.141304347826087,1688.0,-8.0,4.543478260869565,1835.0,8041.9921875,95840.42553191462,706.0,368.0,-11.219512195121952,3.0,3.0,0.03418803418803419,1424317.0,-5.5182926829268295,-11335.0,181.0,345.57926829268297,0.010434010434010463,0.010434010434010463,706.0,-588.0,2.813397129186603,900.0,-12.0,2508.0,4.30622009569378,11.061591829371663
1645,2999.0,5.739130434782608,1725.0,-8.108695652173912,4.826086956521739,1809.0,8046.875,91928.57142857119,707.0,328.0,-10.000000000000002,3.0,3.0,0.03907203907203907,1424477.0,-2.1341463414634148,-11443.0,70.0,348.87195121951225,0.010878010878010906,0.010878010878010906,707.0,-596.0,2.851674641148325,868.0,-11.904306220095693,2488.0,4.15311004784689,11.04444107408525
1646,2987.0,5.380434782608695,1758.0,-7.978260869565217,4.934782608695652,1799.0,8051.7578125,91928.57142857119,707.0,300.0,-9.146341463414634,3.0,3.0,0.04395604395604395,1424637.0,1.0365853658536586,-11294.0,-34.0,344.32926829268297,0.010878010878010906,0.010878010878010906,707.0,-636.0,3.0430622009569377,756.0,-11.885167464114833,2484.0,3.617224880382775,10.814518220791257
1647,2975.0,5.163043478260869,1778.0,-7.8478260869565215,5.260869565217392,1769.0,8056.640625,95840.42553191462,706.0,214.0,-6.52439024390244,3.0,3.0,0.04884004884004884,1424797.0,2.713414634146342,-11210.0,-89.0,341.76829268292687,0.010434010434010463,0.010434010434010463,706.0,-740.0,3.54066985645933,716.0,-11.598086124401913,2424.0,3.4258373205741623,10.766714486404757
1648,2960.0,4.75,1816.0,-7.684782608695652,5.413043478260869,1755.0,8061.5234375,95840.42553191462,706.0,121.0,-3.689024390243903,3.0,3.0,0.05372405372405373,1424957.0,4.146341463414634,-11069.0,-136.0,337.469512195122,0.010434010434010463,0.010434010434010463,706.0,-768.0,3.6746411483253585,612.0,-11.368421052631579,2376.0,2.92822966507177,10.531829064338906
1649,2926.0,4.260869565217392,1861.0,-7.315217391304348,5.532608695652174,1744.0,8066.40625,100099.99999999968,705.0,13.0,-0.39634146341463417,3.0,3.0,0.05860805860805861,1425117.0,6.615853658536586,-10844.0,-217.0,330.609756097561,0.009990009990010021,0.009990009990010023,705.0,-780.0,3.7320574162679425,508.0,-11.215311004784688,2344.0,2.430622009569378,10.113217782340271
