,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
2052,9.728260869565217,423.0,19.891304347826086,1358.0,1581.0,7.304347826086956,10009.765625,88323.5294117645,708.0,8725.0,-266.00609756097566,3.0,3.0,0.0,7443995.0,977.0,173.07926829268294,-5677.0,-29.78658536585366,0.01132201132201135,0.011322011322011348,708.0,-1148.0,5.492822966507177,19.483253588516746,1864.0,8.91866028708134,-4072.0,23.316443668977907
2053,9.956521739130434,440.0,19.706521739130434,1337.0,1601.0,7.08695652173913,10014.6484375,88323.5294117645,708.0,8605.0,-262.3475609756098,3.0,3.0,0.004884004884004884,7444155.0,750.0,167.01219512195124,-5478.0,-22.865853658536587,0.01132201132201135,0.011322011322011348,708.0,-1068.0,5.110047846889952,19.311004784688993,1852.0,8.861244019138756,-4036.0,23.18845136997333
2054,9.826086956521738,449.0,19.608695652173914,1349.0,1625.0,6.826086956521739,10019.53125,95840.42553191462,706.0,8376.0,-255.36585365853662,3.0,3.0,0.009768009768009768,7444315.0,636.0,161.64634146341464,-5302.0,-19.390243902439025,0.010434010434010463,0.010434010434010463,706.0,-1064.0,5.090909090909091,19.23444976076555,1840.0,8.803827751196172,-4020.0,22.97059845094827
2055,9.597826086956522,450.0,19.59782608695652,1370.0,1634.0,6.728260869565217,10024.4140625,88323.5294117645,708.0,8107.0,-247.16463414634148,3.0,3.0,0.014652014652014652,7444475.0,636.0,155.09146341463415,-5087.0,-19.390243902439025,0.01132201132201135,0.011322011322011348,708.0,-1044.0,4.9952153110047846,19.311004784688993,1744.0,8.344497607655502,-4036.0,22.83555445481846
2056,9.358695652173912,445.0,19.652173913043477,1392.0,1647.0,6.58695652173913,10029.296875,95840.42553191462,706.0,7802.0,-237.8658536585366,3.0,3.0,0.019536019536019536,7444635.0,772.0,147.83536585365854,-4849.0,-23.53658536585366,0.010434010434010463,0.010434010434010463,706.0,-1012.0,4.842105263157895,19.406698564593302,1700.0,8.133971291866029,-4056.0,22.741616478117976
2057,9.347826086956522,432.0,19.793478260869566,1393.0,1668.0,6.358695652173913,10034.1796875,84990.56603773567,709.0,7493.0,-228.44512195121953,3.0,3.0,0.02442002442002442,7444795.0,1054.0,139.63414634146343,-4580.0,-32.13414634146342,0.011766011766011792,0.01176601176601179,709.0,-956.0,4.574162679425837,19.598086124401913,1708.0,8.17224880382775,-4096.0,22.794662634320265
2058,9.5,416.0,19.967391304347824,1379.0,1685.0,6.173913043478261,10039.0625,95840.42553191462,706.0,7200.0,-219.51219512195124,3.0,3.0,0.029304029304029304,7444955.0,1380.0,130.03048780487805,-4265.0,-42.07317073170732,0.010434010434010463,0.010434010434010463,706.0,-920.0,4.401913875598086,19.789473684210524,1764.0,8.440191387559809,-4136.0,22.95787267517128
2059,9.826086956521738,407.0,20.065217391304348,1349.0,1694.0,6.076086956521739,10043.9453125,88323.5294117645,708.0,6915.0,-210.82317073170734,3.0,3.0,0.03418803418803419,7445115.0,1688.0,119.54268292682929,-3921.0,-51.463414634146346,0.01132201132201135,0.011322011322011348,708.0,-880.0,4.2105263157894735,19.904306220095695,1828.0,8.746411483253588,-4160.0,23.153482816644296
2060,10.206521739130434,407.0,20.065217391304348,1314.0,1702.0,5.989130434782608,10048.828125,91928.57142857119,707.0,6639.0,-202.40853658536588,3.0,3.0,0.03907203907203907,7445275.0,1942.0,108.68902439024392,-3565.0,-59.207317073170735,0.010878010878010906,0.010878010878010906,707.0,-868.0,4.15311004784689,19.86602870813397,1928.0,9.224880382775119,-4152.0,23.294971953975043
2061,10.695652173913043,423.0,19.891304347826086,1269.0,1703.0,5.978260869565217,10053.7109375,84990.56603773567,709.0,6369.0,-194.1768292682927,3.0,3.0,0.04395604395604395,7445435.0,2178.0,97.6219512195122,-3202.0,-66.40243902439025,0.011766011766011792,0.01176601176601179,709.0,-856.0,4.095693779904306,19.57894736842105,2040.0,9.760765550239235,-4092.0,23.36237503139932
2062,11.141304347826086,453.0,19.565217391304348,1228.0,1707.0,5.934782608695652,10058.59375,88323.5294117645,708.0,6088.0,-185.609756097561,3.0,3.0,0.04884004884004884,7445595.0,2349.0,87.07317073170732,-2856.0,-71.6158536585366,0.01132201132201135,0.011322011322011348,708.0,-872.0,4.172248803827751,19.215311004784688,2152.0,10.296650717703349,-4016.0,23.284072641021435
2063,11.576086956521738,500.0,19.054347826086957,1188.0,1693.0,6.08695652173913,10063.4765625,88323.5294117645,708.0,5801.0,-176.859756097561,3.0,3.0,0.05372405372405373,7445755.0,2446.0,77.71341463414635,-2549.0,-74.57317073170732,0.01132201132201135,0.011322011322011348,708.0,-888.0,4.248803827751196,18.583732057416267,2240.0,10.717703349282296,-3884.0,23.11114449783913
