,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
1028,1084.0,5.0978260869565215,1784.0,12.706521739130434,2053.0,2.1739130434782608,15571.2890625,704.0,104755.81395348875,-1.2804878048780488,42.0,3.0,3.0,0.0,14327393.0,21.676829268292686,115.0,-711.0,-3.50609756097561,0.009546009546009513,0.009546009546009511,704.0,-44.0,0.21052631578947367,11.674641148325358,764.0,3.6555023923444976,-2440.0,13.86251865428695
1029,1076.0,5.119565217391304,1782.0,12.793478260869565,2060.0,2.0978260869565215,15576.171875,706.0,95840.42553191462,-1.0975609756097562,36.0,3.0,3.0,0.004884004884004884,14327553.0,22.225609756097562,216.0,-729.0,-6.585365853658537,0.010434010434010463,0.010434010434010463,706.0,-44.0,0.21052631578947367,11.808612440191387,748.0,3.5789473684210527,-2468.0,13.938576265802054
1030,1059.0,5.065217391304348,1787.0,12.978260869565217,2060.0,2.0978260869565215,15581.0546875,706.0,95840.42553191462,-0.1829268292682927,6.0,3.0,3.0,0.009768009768009768,14327713.0,22.378048780487806,309.0,-734.0,-9.420731707317074,0.010434010434010463,0.010434010434010463,706.0,-36.0,0.17224880382775118,12.057416267942584,740.0,3.54066985645933,-2520.0,14.088738648678776
1031,1045.0,5.032608695652174,1790.0,13.130434782608695,2056.0,2.141304347826087,15585.9375,706.0,95840.42553191462,0.30487804878048785,-10.0,3.0,3.0,0.014652014652014652,14327873.0,22.835365853658537,417.0,-749.0,-12.713414634146343,0.010434010434010463,0.010434010434010463,706.0,-28.0,0.1339712918660287,12.229665071770334,752.0,3.5980861244019136,-2556.0,14.223946434583935
1032,1027.0,5.032608695652174,1790.0,13.326086956521738,2070.0,1.9891304347826086,15590.8203125,708.0,88323.5294117645,0.9146341463414634,-30.0,3.0,3.0,0.019536019536019536,14328033.0,23.01829268292683,549.0,-755.0,-16.73780487804878,0.01132201132201135,0.011322011322011348,708.0,4.0,-0.019138755980861243,12.47846889952153,736.0,3.5215311004784686,-2608.0,14.38291986152016
1033,1012.0,5.043478260869565,1789.0,13.489130434782608,2072.0,1.967391304347826,15595.703125,707.0,91928.57142857119,1.1890243902439026,-39.0,3.0,3.0,0.02442002442002442,14328193.0,23.231707317073173,688.0,-762.0,-20.975609756097562,0.010878010878010906,0.010878010878010906,707.0,16.0,-0.07655502392344497,12.669856459330143,748.0,3.5789473684210527,-2648.0,14.534921444537146
1034,995.0,4.967391304347826,1796.0,13.67391304347826,2087.0,1.8043478260869565,15600.5859375,707.0,91928.57142857119,2.0426829268292686,-67.0,3.0,3.0,0.029304029304029304,14328353.0,23.231707317073173,828.0,-762.0,-25.243902439024392,0.010878010878010906,0.010878010878010906,707.0,28.0,-0.1339712918660287,12.880382775119617,716.0,3.4258373205741623,-2692.0,14.659691175758786
1035,975.0,4.913043478260869,1801.0,13.891304347826086,2094.0,1.7282608695652173,15605.46875,708.0,88323.5294117645,2.408536585365854,-79.0,3.0,3.0,0.03418803418803419,14328513.0,23.475609756097562,972.0,-770.0,-29.634146341463417,0.01132201132201135,0.011322011322011348,708.0,40.0,-0.19138755980861244,13.014354066985645,720.0,3.4449760765550237,-2720.0,14.835539030870564
1036,958.0,4.945652173913043,1798.0,14.076086956521738,2101.0,1.6521739130434783,15610.3515625,708.0,88323.5294117645,2.8353658536585367,-93.0,3.0,3.0,0.03907203907203907,14328673.0,23.50609756097561,1124.0,-771.0,-34.268292682926834,0.01132201132201135,0.011322011322011348,708.0,68.0,-0.3253588516746411,13.282296650717702,712.0,3.4066985645933014,-2776.0,15.0108420174164
1037,938.0,4.913043478260869,1801.0,14.293478260869565,2108.0,1.576086956521739,15615.234375,705.0,100099.99999999968,3.2012195121951224,-105.0,3.0,3.0,0.04395604395604395,14328833.0,23.78048780487805,1259.0,-780.0,-38.38414634146342,0.009990009990010023,0.009990009990010021,705.0,76.0,-0.36363636363636365,13.416267942583731,720.0,3.4449760765550237,-2804.0,15.196235293905872
1038,920.0,4.913043478260869,1801.0,14.489130434782608,2116.0,1.4891304347826086,15620.1171875,706.0,95840.42553191462,2.6219512195121952,-86.0,3.0,3.0,0.04884004884004884,14328993.0,23.750000000000004,1370.0,-779.0,-41.768292682926834,0.010434010434010463,0.010434010434010463,706.0,108.0,-0.5167464114832536,13.760765550239235,688.0,3.291866028708134,-2876.0,15.371740513917777
