,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
3280,3.9130434782608696,2442.0,1893.0,-2.0543478260869565,1577.0,7.3478260869565215,24589.84375,109865.85365853697,703.0,4590.0,-139.9390243902439,3.0,3.0,1442723.0,0.0,1174.0,4.847560975609756,-159.0,-35.79268292682927,0.00910200910200907,703.0,0.00910200910200907,5.684210526315789,-1188.0,508.0,-5.110047846889952,2.430622009569378,1068.0,8.57454386293912
3281,4.054347826086956,2446.0,1880.0,-2.0978260869565215,1582.0,7.293478260869565,24594.7265625,91928.57142857119,707.0,4646.0,-141.64634146341464,3.0,3.0,1442883.0,0.004884004884004884,1169.0,5.5182926829268295,-181.0,-35.640243902439025,0.010878010878010906,707.0,0.010878010878010906,5.684210526315789,-1188.0,520.0,-5.148325358851674,2.488038277511962,1076.0,8.604268459769736
3282,4.184782608695652,2450.0,1868.0,-2.141304347826087,1587.0,7.239130434782608,24599.609375,95840.42553191462,706.0,4734.0,-144.32926829268294,3.0,3.0,1443043.0,0.009768009768009768,1140.0,6.2804878048780495,-206.0,-34.75609756097561,0.010434010434010463,706.0,0.010434010434010463,5.511961722488038,-1152.0,560.0,-5.186602870813397,2.679425837320574,1084.0,8.631488819656568
3283,4.282608695652174,2452.0,1859.0,-2.1630434782608696,1594.0,7.163043478260869,24604.4921875,100099.99999999968,705.0,4838.0,-147.5,3.0,3.0,1443203.0,0.014652014652014652,1097.0,7.164634146341464,-235.0,-33.44512195121951,0.009990009990010023,705.0,0.009990009990010021,5.55023923444976,-1160.0,548.0,-5.167464114832535,2.6220095693779903,1080.0,8.621408597229228
3284,4.195652173913043,2455.0,1867.0,-2.1956521739130435,1591.0,7.195652173913043,24609.375,95840.42553191462,706.0,4939.0,-150.57926829268294,3.0,3.0,1443363.0,0.019536019536019536,1030.0,7.835365853658537,-257.0,-31.402439024390247,0.010434010434010463,706.0,0.010434010434010463,5.569377990430622,-1164.0,548.0,-5.186602870813397,2.6220095693779903,1084.0,8.614046426692267
3285,4.184782608695652,2454.0,1868.0,-2.1847826086956523,1584.0,7.271739130434782,24614.2578125,100099.99999999968,705.0,5030.0,-153.35365853658539,3.0,3.0,1443523.0,0.02442002442002442,972.0,8.475609756097562,-278.0,-29.634146341463417,0.009990009990010023,705.0,0.009990009990010021,5.55023923444976,-1160.0,536.0,-5.244019138755981,2.5645933014354068,1096.0,8.669709943844545
3286,4.195652173913043,2453.0,1867.0,-2.1739130434782608,1588.0,7.228260869565217,24619.140625,95840.42553191462,706.0,5102.0,-155.5487804878049,3.0,3.0,1443683.0,0.029304029304029304,946.0,9.603658536585368,-315.0,-28.84146341463415,0.010434010434010463,706.0,0.010434010434010463,5.588516746411483,-1168.0,540.0,-5.205741626794258,2.5837320574162677,1088.0,8.635806290298195
3287,4.239130434782608,2447.0,1863.0,-2.108695652173913,1583.0,7.282608695652174,24624.0234375,95840.42553191462,706.0,5154.0,-157.13414634146343,3.0,3.0,1443843.0,0.03418803418803419,972.0,10.365853658536587,-340.0,-29.634146341463417,0.010434010434010463,706.0,0.010434010434010463,5.684210526315789,-1188.0,552.0,-5.1291866028708135,2.6411483253588517,1072.0,8.686380927094206
3288,4.282608695652174,2441.0,1859.0,-2.043478260869565,1582.0,7.293478260869565,24628.90625,95840.42553191462,706.0,5204.0,-158.65853658536588,3.0,3.0,1444003.0,0.03907203907203907,1038.0,11.219512195121952,-368.0,-31.646341463414636,0.010434010434010463,706.0,0.010434010434010463,5.645933014354067,-1180.0,560.0,-5.071770334928229,2.679425837320574,1060.0,8.701227832007334
3289,4.271739130434782,2432.0,1860.0,-1.9456521739130435,1578.0,7.33695652173913,24633.7890625,95840.42553191462,706.0,5249.0,-160.03048780487805,3.0,3.0,1444163.0,0.04395604395604395,1144.0,11.737804878048781,-385.0,-34.87804878048781,0.010434010434010463,706.0,0.010434010434010463,5.684210526315789,-1188.0,572.0,-5.033492822966507,2.736842105263158,1052.0,8.710008529400566
3290,4.304347826086956,2434.0,1857.0,-1.967391304347826,1568.0,7.445652173913043,24638.671875,84990.56603773567,709.0,5288.0,-161.21951219512198,3.0,3.0,1444323.0,0.04884004884004884,1284.0,12.378048780487806,-406.0,-39.146341463414636,0.011766011766011792,709.0,0.01176601176601179,5.760765550239234,-1204.0,572.0,-4.976076555023924,2.736842105263158,1040.0,8.82245856024606
3291,4.326086956521739,2430.0,1855.0,-1.9239130434782608,1565.0,7.478260869565217,24643.5546875,95840.42553191462,706.0,5340.0,-162.8048780487805,3.0,3.0,1444483.0,0.05372405372405373,1423.0,12.408536585365855,-407.0,-43.38414634146342,0.010434010434010463,706.0,0.010434010434010463,5.894736842105263,-1232.0,568.0,-4.899521531100478,2.7177033492822966,1024.0,8.851036966792288
