,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
413,3.9130434782608696,1333.0,1893.0,10.0,1988.0,2.880434782608696,2006.8359375,705.0,100099.99999999968,10.76219512195122,-353.0,3.0,3.0,7169765.0,0.0,2558.0,-25.64024390243903,-77.98780487804879,841.0,705.0,0.009990009990010023,0.009990009990010021,-228.0,1.0909090909090908,8.708133971291865,464.0,2.2200956937799043,-1820.0,11.117950071826277
414,3.8804347826086953,1333.0,1896.0,10.0,1991.0,2.8478260869565215,2011.71875,703.0,109865.85365853697,10.487804878048781,-344.0,3.0,3.0,7169925.0,0.004884004884004884,2580.0,-25.243902439024392,-78.65853658536587,828.0,703.0,0.00910200910200907,0.00910200910200907,-220.0,1.0526315789473684,8.688995215311005,484.0,2.3157894736842106,-1816.0,11.09810287948483
415,3.9782608695652173,1337.0,1887.0,9.956521739130434,1996.0,2.793478260869565,2016.6015625,706.0,95840.42553191462,9.298780487804878,-305.0,3.0,3.0,7170085.0,0.009768009768009768,2600.0,-24.81707317073171,-79.26829268292684,814.0,706.0,0.010434010434010463,0.010434010434010463,-216.0,1.0334928229665072,8.746411483253588,496.0,2.373205741626794,-1828.0,11.079819740503073
416,4.010869565217392,1329.0,1884.0,10.043478260869565,1998.0,2.7717391304347827,2021.484375,705.0,100099.99999999968,8.323170731707318,-273.0,3.0,3.0,7170245.0,0.014652014652014652,2588.0,-24.26829268292683,-78.90243902439025,796.0,705.0,0.009990009990010023,0.009990009990010021,-208.0,0.9952153110047847,8.708133971291865,512.0,2.449760765550239,-1820.0,11.164276423169127
417,4.076086956521739,1328.0,1878.0,10.054347826086957,1991.0,2.8478260869565215,2026.3671875,706.0,95840.42553191462,7.073170731707318,-232.0,3.0,3.0,7170405.0,0.019536019536019536,2578.0,-23.78048780487805,-78.59756097560977,780.0,706.0,0.010434010434010463,0.010434010434010463,-212.0,1.014354066985646,8.746411483253588,520.0,2.488038277511962,-1828.0,11.216706669366738
418,4.108695652173913,1330.0,1875.0,10.032608695652174,1994.0,2.8152173913043477,2031.25,708.0,88323.5294117645,5.853658536585367,-192.0,3.0,3.0,7170565.0,0.02442002442002442,2546.0,-23.231707317073173,-77.6219512195122,762.0,708.0,0.01132201132201135,0.011322011322011348,-208.0,0.9952153110047847,8.708133971291865,540.0,2.5837320574162677,-1820.0,11.200895775007055
419,4.239130434782608,1326.0,1863.0,10.076086956521738,1987.0,2.891304347826087,2036.1328125,705.0,100099.99999999968,3.932926829268293,-129.0,3.0,3.0,7170725.0,0.029304029304029304,2490.0,-22.378048780487806,-75.91463414634147,734.0,705.0,0.009990009990010023,0.009990009990010021,-220.0,1.0526315789473684,8.822966507177034,576.0,2.755980861244019,-1844.0,11.307404478050907
420,4.304347826086956,1324.0,1857.0,10.097826086956522,1985.0,2.9130434782608696,2041.015625,705.0,100099.99999999968,2.103658536585366,-69.0,3.0,3.0,7170885.0,0.03418803418803419,2394.0,-21.493902439024392,-72.98780487804879,705.0,705.0,0.009990009990010023,0.009990009990010021,-240.0,1.1483253588516746,8.76555023923445,584.0,2.7942583732057416,-1832.0,11.356906453634165
421,4.358695652173913,1316.0,1852.0,10.184782608695652,1983.0,2.934782608695652,2045.8984375,706.0,95840.42553191462,-0.24390243902439027,8.0,3.0,3.0,7171045.0,0.03907203907203907,2300.0,-20.701219512195124,-70.1219512195122,679.0,706.0,0.010434010434010463,0.010434010434010463,-232.0,1.1100478468899522,8.899521531100477,588.0,2.813397129186603,-1860.0,11.460408960197348
422,4.358695652173913,1315.0,1852.0,10.195652173913043,1970.0,3.0760869565217392,2050.78125,706.0,95840.42553191462,-2.5000000000000004,82.0,3.0,3.0,7171205.0,0.04395604395604395,2194.0,-20.03048780487805,-66.89024390243902,657.0,706.0,0.010434010434010463,0.010434010434010463,-248.0,1.186602870813397,8.956937799043061,612.0,2.92822966507177,-1872.0,11.507035326433162
423,4.489130434782608,1313.0,1840.0,10.217391304347826,1977.0,3.0,2055.6640625,706.0,95840.42553191462,-4.939024390243903,162.0,3.0,3.0,7171365.0,0.04884004884004884,2071.0,-19.35975609756098,-63.14024390243903,635.0,706.0,0.010434010434010463,0.010434010434010463,-260.0,1.244019138755981,9.014354066985646,628.0,3.004784688995215,-1884.0,11.556270035208335
424,4.521739130434782,1307.0,1837.0,10.282608695652174,1970.0,3.0760869565217392,2060.546875,705.0,100099.99999999968,-7.408536585365854,243.0,3.0,3.0,7171525.0,0.05372405372405373,1937.0,-18.50609756097561,-59.054878048780495,607.0,705.0,0.009990009990010023,0.009990009990010021,-260.0,1.244019138755981,8.995215311004785,636.0,3.0430622009569377,-1880.0,11.646479181095462
