,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2052,837.0,7.695652173913043,1545.0,15.391304347826086,2.9891304347826084,1978.0,10009.765625,707.0,91928.57142857119,15590.0,-475.30487804878055,3.0,3.0,5367639.0,0.0,7.073170731707318,-459.0,13.993902439024392,-232.0,0.010878010878010906,707.0,0.010878010878010906,-224.0,1.0717703349282297,1460.0,14.679425837320574,-3068.0,6.985645933014354,17.46568672183852
2053,767.0,8.793478260869565,1444.0,16.152173913043477,2.8369565217391304,1992.0,10014.6484375,707.0,91928.57142857119,15757.0,-480.3963414634147,3.0,3.0,5367799.0,0.004884004884004884,11.55487804878049,-712.0,21.707317073170735,-379.0,0.010878010878010906,707.0,0.010878010878010906,-200.0,0.9569377990430622,1708.0,15.559808612440191,-3252.0,8.17224880382775,18.60823216610933
2054,709.0,9.576086956521738,1372.0,16.782608695652172,2.7282608695652173,2002.0,10019.53125,708.0,88323.5294117645,15899.0,-484.7256097560976,3.0,3.0,5367959.0,0.009768009768009768,16.34146341463415,-950.0,28.963414634146343,-536.0,0.011322011322011348,708.0,0.01132201132201135,-188.0,0.8995215311004784,1876.0,16.095693779904305,-3364.0,8.976076555023923,19.51411805341575
2055,656.0,10.0,1333.0,17.358695652173914,2.8152173913043477,1994.0,10024.4140625,707.0,91928.57142857119,16014.0,-488.2317073170732,3.0,3.0,5368119.0,0.014652014652014652,21.676829268292686,-1136.0,34.63414634146342,-711.0,0.010878010878010906,707.0,0.010878010878010906,-200.0,0.9569377990430622,1916.0,16.74641148325359,-3500.0,9.167464114832535,20.22992248391239
2056,607.0,9.945652173913043,1338.0,17.891304347826086,3.0760869565217392,1970.0,10029.296875,707.0,91928.57142857119,16084.0,-490.36585365853665,3.0,3.0,5368279.0,0.019536019536019536,27.77439024390244,-1312.0,40.00000000000001,-911.0,0.010878010878010906,707.0,0.010878010878010906,-296.0,1.416267942583732,1848.0,17.473684210526315,-3652.0,8.842105263157894,20.69968790574112
2057,558.0,9.532608695652174,1376.0,18.42391304347826,3.2065217391304346,1958.0,10034.1796875,709.0,84990.56603773567,16129.0,-491.73780487804885,3.0,3.0,5368439.0,0.02442002442002442,33.9329268292683,-1402.0,42.743902439024396,-1113.0,0.01176601176601179,709.0,0.011766011766011792,-324.0,1.5502392344497606,1728.0,18.028708133971293,-3768.0,8.267942583732058,20.990306859157347
2058,520.0,8.967391304347826,1428.0,18.83695652173913,3.25,1954.0,10039.0625,708.0,88323.5294117645,16167.0,-492.8963414634147,3.0,3.0,5368599.0,0.029304029304029304,40.274390243902445,-1416.0,43.170731707317074,-1321.0,0.011322011322011348,708.0,0.01132201132201135,-304.0,1.4545454545454546,1580.0,18.392344497607656,-3844.0,7.559808612440191,21.114154915771156
2059,486.0,8.434782608695652,1477.0,19.206521739130434,3.043478260869565,1973.0,10043.9453125,708.0,88323.5294117645,16208.0,-494.1463414634147,3.0,3.0,5368759.0,0.03418803418803419,46.920731707317074,-1372.0,41.82926829268293,-1539.0,0.011322011322011348,708.0,0.01132201132201135,-220.0,1.0526315789473684,1448.0,18.851674641148325,-3940.0,6.92822966507177,21.1966694293238
2060,457.0,7.978260869565217,1519.0,19.52173913043478,2.684782608695652,2006.0,10048.828125,706.0,95840.42553191462,16242.0,-495.18292682926835,3.0,3.0,5368919.0,0.03907203907203907,52.865853658536594,-1334.0,40.670731707317074,-1734.0,0.010434010434010463,706.0,0.010434010434010463,-176.0,0.8421052631578947,1396.0,18.966507177033492,-3964.0,6.679425837320574,21.259327431401463
2061,438.0,7.684782608695652,1546.0,19.728260869565215,2.3152173913043477,2040.0,10053.7109375,707.0,91928.57142857119,16267.0,-495.94512195121956,3.0,3.0,5369079.0,0.04395604395604395,58.018292682926834,-1333.0,40.640243902439025,-1903.0,0.010878010878010906,707.0,0.010878010878010906,-88.0,0.42105263157894735,1344.0,19.196172248803826,-4012.0,6.430622009569378,21.298365952568457
2062,421.0,7.4021739130434785,1572.0,19.913043478260867,1.891304347826087,2079.0,10058.59375,707.0,91928.57142857119,16265.0,-495.88414634146346,3.0,3.0,5369239.0,0.04884004884004884,63.78048780487806,-1320.0,40.243902439024396,-2092.0,0.010878010878010906,707.0,0.010878010878010906,44.0,-0.21052631578947367,1268.0,19.406698564593302,-4056.0,6.0669856459330145,21.328349944197626
2063,396.0,7.163043478260869,1594.0,20.184782608695652,1.75,2092.0,10063.4765625,707.0,91928.57142857119,16299.0,-496.92073170731715,3.0,3.0,5369399.0,0.05372405372405373,68.71951219512195,-1416.0,43.170731707317074,-2254.0,0.010878010878010906,707.0,0.010878010878010906,40.0,-0.19138755980861244,1216.0,19.69377990430622,-4116.0,5.818181818181818,21.48946581075849
2064,364.0,6.945652173913043,1614.0,20.532608695652172,1.5869565217391304,2107.0,10068.359375,708.0,88323.5294117645,16360.0,-498.7804878048781,3.0,3.0,5369559.0,0.05860805860805861,75.0609756097561,-1525.0,46.493902439024396,-2462.0,0.011322011322011348,708.0,0.01132201132201135,72.0,-0.34449760765550236,1184.0,20.15311004784689,-4212.0,5.665071770334928,21.733580813378282
2065,321.0,6.8478260869565215,1623.0,21.0,1.4456521739130435,2120.0,10073.2421875,708.0,88323.5294117645,16386.0,-499.57317073170736,3.0,3.0,5369719.0,0.06349206349206349,83.75000000000001,-1613.0,49.176829268292686,-2747.0,0.011322011322011348,708.0,0.01132201132201135,92.0,-0.4401913875598086,1164.0,20.76555023923445,-4340.0,5.569377990430622,22.1355513219152
2066,260.0,6.891304347826087,1619.0,21.663043478260867,1.3695652173913042,2127.0,10078.125,707.0,91928.57142857119,16339.0,-498.14024390243907,3.0,3.0,5369879.0,0.06837606837606838,93.47560975609757,-1731.0,52.774390243902445,-3066.0,0.010878010878010906,707.0,0.010878010878010906,108.0,-0.5167464114832536,1164.0,21.607655502392344,-4516.0,5.569377990430622,22.77395963024602
