,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2871,1307.0,13.565217391304348,1005.0,10.282608695652174,1817.0,4.739130434782608,35273.4375,711.0,79026.31578947355,-8128.0,247.80487804878052,3.0,3.0,4229159.0,0.0,3712.0,-33.201219512195124,1089.0,-113.17073170731709,0.012654012654012677,711.0,0.012654012654012677,-596.0,2.851674641148325,8.803827751196172,2664.0,-1840.0,12.746411483253588,17.669366761124476
2872,1314.0,13.521739130434781,1009.0,10.206521739130434,1821.0,4.695652173913043,35278.3203125,709.0,84990.56603773567,-8270.0,252.13414634146343,3.0,3.0,4229319.0,0.004884004884004884,3580.0,-30.884146341463417,1013.0,-109.14634146341464,0.011766011766011792,709.0,0.01176601176601179,-604.0,2.889952153110048,8.727272727272727,2652.0,-1824.0,12.688995215311005,17.580092845637864
2873,1319.0,13.51086956521739,1010.0,10.152173913043478,1821.0,4.695652173913043,35283.203125,710.0,81899.99999999984,-8434.0,257.13414634146346,3.0,3.0,4229479.0,0.009768009768009768,3507.0,-28.475609756097562,934.0,-106.92073170731709,0.012210012210012234,710.0,0.012210012210012234,-600.0,2.8708133971291865,8.61244019138756,2624.0,-1800.0,12.555023923444976,17.540221803254724
2874,1324.0,13.456521739130434,1015.0,10.097826086956522,1820.0,4.706521739130435,35288.0859375,711.0,79026.31578947355,-8590.0,261.89024390243907,3.0,3.0,4229639.0,0.014652014652014652,3492.0,-26.28048780487805,862.0,-106.46341463414635,0.012654012654012677,711.0,0.012654012654012677,-596.0,2.851674641148325,8.535885167464114,2616.0,-1784.0,12.516746411483252,17.469843041052687
2875,1338.0,13.41304347826087,1019.0,9.945652173913043,1822.0,4.684782608695652,35292.96875,711.0,79026.31578947355,-8731.0,266.1890243902439,3.0,3.0,4229799.0,0.019536019536019536,3497.0,-24.237804878048784,795.0,-106.6158536585366,0.012654012654012677,711.0,0.012654012654012677,-592.0,2.832535885167464,8.382775119617225,2624.0,-1752.0,12.555023923444976,17.34280601877663
2876,1347.0,13.358695652173912,1024.0,9.847826086956522,1823.0,4.673913043478261,35297.8515625,711.0,79026.31578947355,-8884.0,270.8536585365854,3.0,3.0,4229959.0,0.02442002442002442,3541.0,-21.82926829268293,716.0,-107.95731707317074,0.012654012654012677,711.0,0.012654012654012677,-580.0,2.77511961722488,8.287081339712918,2620.0,-1732.0,12.535885167464114,17.241806497706317
2877,1356.0,13.358695652173912,1024.0,9.75,1823.0,4.673913043478261,35302.734375,711.0,79026.31578947355,-9007.0,274.6036585365854,3.0,3.0,4230119.0,0.029304029304029304,3625.0,-19.603658536585368,643.0,-110.51829268292684,0.012654012654012677,711.0,0.012654012654012677,-588.0,2.813397129186603,8.153110047846889,2596.0,-1704.0,12.421052631578947,17.18611976757425
2878,1366.0,13.293478260869565,1030.0,9.641304347826086,1832.0,4.576086956521739,35307.6171875,711.0,79026.31578947355,-9149.0,278.9329268292683,3.0,3.0,4230279.0,0.03418803418803419,3711.0,-17.5609756097561,576.0,-113.14024390243904,0.012654012654012677,711.0,0.012654012654012677,-560.0,2.679425837320574,7.980861244019138,2592.0,-1668.0,12.401913875598085,17.047342480083817
2879,1377.0,13.315217391304348,1028.0,9.521739130434783,1840.0,4.489130434782608,35312.5,711.0,79026.31578947355,-9293.0,283.32317073170736,3.0,3.0,4230439.0,0.03907203907203907,3810.0,-14.847560975609758,487.0,-116.15853658536587,0.012654012654012677,711.0,0.012654012654012677,-536.0,2.5645933014354068,7.885167464114832,2616.0,-1648.0,12.516746411483252,16.973827567942305
2880,1390.0,13.33695652173913,1026.0,9.380434782608695,1858.0,4.293478260869565,35317.3828125,712.0,76347.45762711852,-9415.0,287.0426829268293,3.0,3.0,4230599.0,0.04395604395604395,3942.0,-12.164634146341465,399.0,-120.1829268292683,0.013098013098013119,712.0,0.013098013098013117,-472.0,2.2583732057416266,7.693779904306219,2612.0,-1608.0,12.497607655502392,16.861225386966826
