,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4100,2694.0,7.08695652173913,1601.0,-4.793478260869565,2079.0,1.891304347826087,73002.9296875,712.0,76347.45762711852,55.0,-1.676829268292683,3.0,3.0,16355662.0,0.0,-4.024390243902439,-173.0,132.0,5.27439024390244,0.013098013098013119,0.013098013098013117,712.0,36.0,-0.17224880382775118,1188.0,-8.191387559808613,1712.0,5.684210526315789,8.762386587828441
4101,2689.0,7.108695652173913,1599.0,-4.739130434782608,2077.0,1.9130434782608696,73007.8125,712.0,76347.45762711852,59.0,-1.7987804878048783,3.0,3.0,16355822.0,0.004884004884004884,-4.481707317073171,-197.0,147.0,6.00609756097561,0.013098013098013119,0.013098013098013117,712.0,36.0,-0.17224880382775118,1192.0,-8.17224880382775,1708.0,5.70334928229665,8.75514971333075
4102,2691.0,7.043478260869565,1605.0,-4.760869565217392,2075.0,1.934782608695652,73012.6953125,710.0,81899.99999999984,61.0,-1.8597560975609757,3.0,3.0,16355982.0,0.009768009768009768,-4.878048780487806,-220.0,160.0,6.707317073170732,0.012210012210012234,0.012210012210012234,710.0,24.0,-0.11483253588516745,1192.0,-8.229665071770334,1720.0,5.70334928229665,8.71893621786893
4103,2687.0,7.065217391304348,1603.0,-4.717391304347826,2072.0,1.967391304347826,73017.578125,714.0,71499.99999999991,61.0,-1.8597560975609757,3.0,3.0,16356142.0,0.014652014652014652,-5.731707317073171,-237.0,188.0,7.225609756097562,0.013986013986014003,0.013986013986014003,714.0,20.0,-0.09569377990430622,1184.0,-8.210526315789473,1716.0,5.665071770334928,8.720189564977893
4104,2701.0,7.021739130434782,1607.0,-4.869565217391305,2079.0,1.891304347826087,73022.4609375,710.0,81899.99999999984,69.0,-2.103658536585366,3.0,3.0,16356302.0,0.019536019536019536,-6.128048780487806,-244.0,201.0,7.439024390243903,0.012210012210012234,0.012210012210012234,710.0,40.0,-0.19138755980861244,1172.0,-8.287081339712918,1732.0,5.607655502392344,8.751829406381965
4105,2700.0,7.0,1609.0,-4.858695652173913,2085.0,1.826086956521739,73027.34375,713.0,73844.26229508186,69.0,-2.103658536585366,3.0,3.0,16356462.0,0.02442002442002442,-6.615853658536586,-239.0,217.0,7.286585365853659,0.013542013542013561,0.01354201354201356,713.0,68.0,-0.3253588516746411,1168.0,-8.248803827751196,1724.0,5.588516746411483,8.714443012220144
4106,2702.0,7.0,1609.0,-4.880434782608695,2090.0,1.7717391304347825,73032.2265625,713.0,73844.26229508186,76.0,-2.3170731707317076,3.0,3.0,16356622.0,0.029304029304029304,-7.134146341463415,-238.0,234.0,7.25609756097561,0.013542013542013561,0.01354201354201356,713.0,76.0,-0.36363636363636365,1164.0,-8.325358851674642,1740.0,5.569377990430622,8.715371662391144
4107,2707.0,7.010869565217391,1608.0,-4.934782608695652,2090.0,1.7717391304347825,73037.109375,711.0,79026.31578947355,79.0,-2.408536585365854,3.0,3.0,16356782.0,0.03418803418803419,-7.134146341463415,-242.0,234.0,7.378048780487806,0.012654012654012677,0.012654012654012677,711.0,80.0,-0.3827751196172249,1168.0,-8.325358851674642,1740.0,5.588516746411483,8.754623407199784
4108,2690.0,6.989130434782608,1610.0,-4.75,2091.0,1.7608695652173914,73041.9921875,711.0,79026.31578947355,75.0,-2.2865853658536586,3.0,3.0,16356942.0,0.03907203907203907,-7.500000000000001,-262.0,246.0,7.987804878048781,0.012654012654012677,0.012654012654012677,711.0,88.0,-0.42105263157894735,1168.0,-8.440191387559809,1764.0,5.588516746411483,8.63198157204436
4109,2706.0,7.032608695652174,1606.0,-4.923913043478261,2081.0,1.8695652173913042,73046.875,715.0,69299.99999999993,65.0,-1.981707317073171,3.0,3.0,16357102.0,0.04395604395604395,-7.621951219512196,-268.0,250.0,8.170731707317074,0.014430014430014446,0.014430014430014446,715.0,88.0,-0.42105263157894735,1180.0,-8.440191387559809,1764.0,5.645933014354067,8.786226654712324
