,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
3280,5.032608695652174,1188.0,1790.0,11.576086956521738,1537.0,7.782608695652174,45981.4453125,711.0,79026.31578947355,-2539.0,77.40853658536587,3.0,3.0,13124616.0,0.0,232.0,-48.10975609756098,-7.073170731707318,1578.0,711.0,0.012654012654012677,0.012654012654012677,-1292.0,6.181818181818182,764.0,10.411483253588516,3.6555023923444976,-2176.0,14.829090923524188
3281,5.206521739130435,1181.0,1774.0,11.652173913043478,1538.0,7.771739130434782,45986.328125,707.0,91928.57142857119,-2600.0,79.26829268292684,3.0,3.0,13124776.0,0.004884004884004884,124.0,-49.60365853658537,-3.780487804878049,1627.0,707.0,0.010878010878010906,0.010878010878010906,-1316.0,6.296650717703349,796.0,10.507177033492823,3.8086124401913874,-2196.0,14.942588618823043
3282,5.304347826086956,1178.0,1765.0,11.684782608695652,1525.0,7.913043478260869,45991.2109375,708.0,88323.5294117645,-2648.0,80.73170731707317,3.0,3.0,13124936.0,0.009768009768009768,-40.0,-51.15853658536586,1.2195121951219514,1678.0,708.0,0.01132201132201135,0.011322011322011348,-1320.0,6.315789473684211,820.0,10.4688995215311,3.923444976076555,-2188.0,15.076024262431945
3283,5.423913043478261,1175.0,1754.0,11.717391304347826,1517.0,8.0,45996.09375,710.0,81899.99999999984,-2699.0,82.28658536585367,3.0,3.0,13125096.0,0.014652014652014652,-185.0,-52.6219512195122,5.640243902439025,1726.0,710.0,0.012210012210012234,0.012210012210012234,-1348.0,6.449760765550239,848.0,10.526315789473683,4.057416267942584,-2200.0,15.189341384089689
3284,5.510869565217392,1174.0,1746.0,11.728260869565217,1512.0,8.054347826086957,46000.9765625,710.0,81899.99999999984,-2742.0,83.59756097560977,3.0,3.0,13125256.0,0.019536019536019536,-336.0,-53.9329268292683,10.24390243902439,1769.0,710.0,0.012210012210012234,0.012210012210012234,-1356.0,6.488038277511961,844.0,10.488038277511961,4.038277511961723,-2192.0,15.257598280627448
3285,5.5,1176.0,1747.0,11.706521739130434,1497.0,8.217391304347826,46005.859375,710.0,81899.99999999984,-2772.0,84.51219512195122,3.0,3.0,13125416.0,0.02442002442002442,-473.0,-55.274390243902445,14.420731707317074,1813.0,710.0,0.012210012210012234,0.012210012210012234,-1384.0,6.62200956937799,852.0,10.4688995215311,4.0765550239234445,-2188.0,15.323777963593205
3286,5.5,1176.0,1747.0,11.706521739130434,1498.0,8.206521739130434,46010.7421875,711.0,79026.31578947355,-2791.0,85.09146341463415,3.0,3.0,13125576.0,0.029304029304029304,-575.0,-56.85975609756098,17.53048780487805,1865.0,711.0,0.012654012654012677,0.012654012654012677,-1388.0,6.641148325358851,860.0,10.564593301435407,4.114832535885167,-2208.0,15.317951895849323
3287,5.554347826086956,1180.0,1742.0,11.66304347826087,1497.0,8.217391304347826,46015.625,710.0,81899.99999999984,-2830.0,86.28048780487806,3.0,3.0,13125736.0,0.03418803418803419,-636.0,-58.17073170731708,19.390243902439025,1908.0,710.0,0.012210012210012234,0.012210012210012234,-1380.0,6.602870813397129,864.0,10.373205741626794,4.133971291866029,-2168.0,15.310221513672868
3288,5.5,1185.0,1747.0,11.608695652173912,1498.0,8.206521739130434,46020.5078125,711.0,79026.31578947355,-2852.0,86.95121951219512,3.0,3.0,13125896.0,0.03907203907203907,-656.0,-60.1219512195122,20.000000000000004,1972.0,711.0,0.012654012654012677,0.012654012654012677,-1392.0,6.660287081339713,848.0,10.33492822966507,4.057416267942584,-2160.0,15.243320301024376
3289,5.58695652173913,1190.0,1739.0,11.554347826086957,1505.0,8.130434782608695,46025.390625,707.0,91928.57142857119,-2877.0,87.71341463414635,3.0,3.0,13126056.0,0.04395604395604395,-618.0,-61.524390243902445,18.84146341463415,2018.0,707.0,0.010878010878010906,0.010878010878010906,-1388.0,6.641148325358851,856.0,10.31578947368421,4.095693779904306,-2156.0,15.192794562431795
