,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4100,2226.0,5.760869565217392,0.2934782608695652,1723.0,1.5108695652173914,2114.0,31469.7265625,79026.31578947355,711.0,6559.0,-199.96951219512198,3.0,3.0,7467439.0,0.0,-148.32317073170734,-1914.0,4865.0,58.35365853658537,0.012654012654012677,711.0,0.012654012654012677,-0.5933014354066986,124.0,928.0,-2.4114832535885165,504.0,4.440191387559809,5.962924993671415
4101,2215.0,6.0,0.41304347826086957,1701.0,1.4130434782608696,2123.0,31474.609375,79026.31578947355,711.0,6748.0,-205.7317073170732,3.0,3.0,7467599.0,0.004884004884004884,-149.2987804878049,-1800.0,4897.0,54.87804878048781,0.012654012654012677,711.0,0.012654012654012677,-0.6507177033492823,136.0,980.0,-2.354066985645933,492.0,4.688995215311005,6.177968661816715
4102,2198.0,6.239130434782608,0.5978260869565217,1679.0,1.4456521739130435,2120.0,31479.4921875,76347.45762711852,712.0,6891.0,-210.09146341463418,3.0,3.0,7467759.0,0.009768009768009768,-150.21341463414635,-1748.0,4927.0,53.29268292682927,0.013098013098013117,712.0,0.013098013098013119,-0.7464114832535885,156.0,1044.0,-2.2200956937799043,464.0,4.9952153110047846,6.432266693819208
4103,2192.0,6.423913043478261,0.6630434782608695,1662.0,1.5543478260869565,2110.0,31484.375,79026.31578947355,711.0,7059.0,-215.21341463414637,3.0,3.0,7467919.0,0.014652014652014652,-151.58536585365854,-1753.0,4972.0,53.44512195121952,0.012654012654012677,711.0,0.012654012654012677,-0.6124401913875598,128.0,1088.0,-2.028708133971292,424.0,5.205741626794258,6.642460583902297
4104,2185.0,6.58695652173913,0.7391304347826086,1647.0,1.5978260869565217,2106.0,31489.2578125,73844.26229508186,713.0,7251.0,-221.06707317073173,3.0,3.0,7468079.0,0.019536019536019536,-152.9268292682927,-1817.0,5016.0,55.396341463414636,0.01354201354201356,713.0,0.013542013542013561,-0.5358851674641149,112.0,1104.0,-1.894736842105263,396.0,5.282296650717703,6.818163845425128
4105,2169.0,6.576086956521739,0.9130434782608695,1648.0,1.608695652173913,2105.0,31494.140625,79026.31578947355,711.0,7446.0,-227.01219512195124,3.0,3.0,7468239.0,0.02442002442002442,-154.2987804878049,-1910.0,5061.0,58.23170731707317,0.012654012654012677,711.0,0.012654012654012677,-0.4401913875598086,92.0,1108.0,-1.8564593301435406,388.0,5.301435406698564,6.831286098111637
4106,2158.0,6.673913043478261,1.0326086956521738,1639.0,1.5,2115.0,31499.0234375,73844.26229508186,713.0,7636.0,-232.80487804878052,3.0,3.0,7468399.0,0.029304029304029304,-155.4878048780488,-1958.0,5100.0,59.69512195121952,0.01354201354201356,713.0,0.013542013542013561,-0.6124401913875598,128.0,1128.0,-1.6076555023923444,336.0,5.3971291866028706,6.9179040200226645
4107,2149.0,6.804347826086956,1.1304347826086956,1627.0,1.3369565217391304,2130.0,31503.90625,76347.45762711852,712.0,7795.0,-237.65243902439028,3.0,3.0,7468559.0,0.03418803418803419,-156.12804878048783,-1974.0,5121.0,60.1829268292683,0.013098013098013117,712.0,0.013098013098013119,-0.8612440191387559,180.0,1148.0,-1.4736842105263157,308.0,5.492822966507177,7.025986398871453
4108,2139.0,6.923913043478261,1.2391304347826086,1616.0,1.2934782608695652,2134.0,31508.7890625,81899.99999999984,710.0,7924.0,-241.58536585365857,3.0,3.0,7468719.0,0.03907203907203907,-156.6158536585366,-2026.0,5137.0,61.768292682926834,0.012210012210012234,710.0,0.012210012210012234,-0.8038277511961722,168.0,1160.0,-1.3779904306220094,288.0,5.55023923444976,7.151860043331041
4109,2115.0,6.989130434782608,1.5,1610.0,1.2173913043478262,2141.0,31513.671875,81899.99999999984,710.0,8075.0,-246.18902439024393,3.0,3.0,7468879.0,0.04395604395604395,-157.07317073170734,-2089.0,5152.0,63.68902439024391,0.012210012210012234,710.0,0.012210012210012234,-0.8803827751196172,184.0,1172.0,-1.186602870813397,248.0,5.607655502392344,7.251205818503998
4110,2096.0,6.934782608695652,1.7065217391304348,1615.0,1.2608695652173914,2137.0,31518.5546875,88323.5294117645,708.0,8242.0,-251.28048780487808,3.0,3.0,7469039.0,0.04884004884004884,-157.40853658536588,-2147.0,5163.0,65.45731707317074,0.011322011322011348,708.0,0.01132201132201135,-0.8995215311004784,188.0,1168.0,-0.8421052631578947,176.0,5.588516746411483,7.252118196532923
4111,2076.0,6.989130434782608,1.9239130434782608,1610.0,1.2282608695652173,2140.0,31523.4375,79026.31578947355,711.0,8433.0,-257.1036585365854,3.0,3.0,7469199.0,0.05372405372405373,-157.7439024390244,-2184.0,5174.0,66.58536585365854,0.012654012654012677,711.0,0.012654012654012677,-0.9760765550239234,204.0,1192.0,-0.631578947368421,132.0,5.70334928229665,7.352415276422804
