,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
1028,1597.0,8.184782608695652,1500.0,7.130434782608695,2335.0,-0.8913043478260869,16884.765625,709.0,84990.56603773567,435.0,-13.26219512195122,3.0,3.0,0.0,506315.0,-102.0,2.5609756097560976,-84.0,3.1097560975609757,0.01176601176601179,709.0,0.011766011766011792,652.0,-3.1196172248803826,5.3971291866028706,1472.0,7.043062200956937,-1128.0,10.891656897878137
1029,1597.0,8.532608695652174,1468.0,7.130434782608695,2330.0,-0.8369565217391304,16889.6484375,707.0,91928.57142857119,417.0,-12.713414634146343,3.0,3.0,0.004884004884004884,506475.0,-275.0,2.7439024390243905,-90.0,8.384146341463415,0.010878010878010906,707.0,0.010878010878010906,632.0,-3.0239234449760763,5.435406698564593,1580.0,7.559808612440191,-1136.0,11.151188616530378
1030,1594.0,8.902173913043478,1434.0,7.163043478260869,2310.0,-0.6195652173913043,16894.53125,709.0,84990.56603773567,386.0,-11.76829268292683,3.0,3.0,0.009768009768009768,506635.0,-537.0,2.378048780487805,-78.0,16.371951219512198,0.01176601176601179,709.0,0.011766011766011792,564.0,-2.6985645933014353,5.5311004784688995,1648.0,7.885167464114832,-1156.0,11.442978340804833
1031,1585.0,9.119565217391305,1414.0,7.260869565217391,2284.0,-0.33695652173913043,16899.4140625,706.0,95840.42553191462,360.0,-10.975609756097562,3.0,3.0,0.014652014652014652,506795.0,-844.0,0.09146341463414635,-3.0,25.731707317073173,0.010434010434010463,706.0,0.010434010434010463,508.0,-2.430622009569378,5.454545454545454,1676.0,8.019138755980862,-1140.0,11.661913920746287
1032,1586.0,9.17391304347826,1409.0,7.25,2270.0,-0.18478260869565216,16904.296875,710.0,81899.99999999984,371.0,-11.310975609756099,3.0,3.0,0.019536019536019536,506955.0,-1193.0,-2.408536585365854,79.0,36.3719512195122,0.012210012210012234,710.0,0.012210012210012234,480.0,-2.2966507177033493,5.492822966507177,1668.0,7.980861244019138,-1148.0,11.69432875977826
1033,1579.0,8.869565217391305,1437.0,7.326086956521739,2252.0,0.010869565217391304,16909.1796875,708.0,88323.5294117645,414.0,-12.621951219512196,3.0,3.0,0.02442002442002442,507115.0,-1564.0,-5.365853658536586,176.0,47.6829268292683,0.011322011322011348,708.0,0.01132201132201135,476.0,-2.277511961722488,5.454545454545454,1628.0,7.789473684210526,-1140.0,11.50394955602308
1034,1588.0,8.576086956521738,1464.0,7.228260869565217,2254.0,-0.010869565217391304,16914.0625,708.0,88323.5294117645,452.0,-13.78048780487805,3.0,3.0,0.029304029304029304,507275.0,-1876.0,-7.591463414634147,249.0,57.19512195121952,0.011322011322011348,708.0,0.01132201132201135,464.0,-2.2200956937799043,5.3971291866028706,1536.0,7.349282296650717,-1128.0,11.215932454850021
1035,1587.0,8.021739130434783,1515.0,7.239130434782608,2243.0,0.10869565217391304,16918.9453125,708.0,88323.5294117645,493.0,-15.03048780487805,3.0,3.0,0.03418803418803419,507435.0,-2172.0,-9.878048780487806,324.0,66.21951219512195,0.011322011322011348,708.0,0.01132201132201135,432.0,-2.0669856459330145,5.473684210526316,1404.0,6.717703349282297,-1144.0,10.805791172947307
1036,1588.0,7.369565217391304,1575.0,7.228260869565217,2230.0,0.25,16923.828125,709.0,84990.56603773567,570.0,-17.378048780487806,3.0,3.0,0.03907203907203907,507595.0,-2401.0,-11.585365853658537,380.0,73.20121951219512,0.01176601176601179,709.0,0.011766011766011792,392.0,-1.875598086124402,5.511961722488038,1244.0,5.952153110047846,-1152.0,10.325732259354366
1037,1590.0,6.695652173913043,1637.0,7.206521739130435,2233.0,0.21739130434782608,16928.7109375,711.0,79026.31578947355,667.0,-20.335365853658537,3.0,3.0,0.04395604395604395,507755.0,-2445.0,-11.676829268292684,383.0,74.54268292682927,0.012654012654012677,711.0,0.012654012654012677,408.0,-1.9521531100478469,5.435406698564593,1076.0,5.148325358851674,-1136.0,9.839358342381482
