,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
3280,2088.0,5.08695652173913,1785.0,1.7934782608695652,10.5,1287.0,35664.0625,95840.42553191462,706.0,-25.0,0.7621951219512196,3.0,3.0,8983140.0,0.0,-4.0,-2.1341463414634148,70.0,0.12195121951219513,706.0,0.010434010434010463,0.010434010434010463,-1888.0,9.033492822966506,-0.7464114832535885,752.0,156.0,3.5980861244019136,11.804392865635911
3281,2098.0,5.206521739130435,1774.0,1.684782608695652,10.521739130434783,1285.0,35668.9453125,95840.42553191462,706.0,-38.0,1.1585365853658538,3.0,3.0,8983300.0,0.004884004884004884,-9.0,-2.1341463414634148,70.0,0.27439024390243905,706.0,0.010434010434010463,0.010434010434010463,-1884.0,9.014354066985646,-0.7464114832535885,764.0,156.0,3.6555023923444976,11.8597367334829
3282,2098.0,5.173913043478261,1777.0,1.684782608695652,10.478260869565217,1289.0,35673.828125,95840.42553191462,706.0,-37.0,1.128048780487805,3.0,3.0,8983460.0,0.009768009768009768,-5.0,-2.530487804878049,83.0,0.15243902439024393,706.0,0.010434010434010463,0.010434010434010463,-1888.0,9.033492822966506,-0.708133971291866,764.0,148.0,3.6555023923444976,11.806854766223704
3283,2096.0,5.173913043478261,1777.0,1.7065217391304348,10.489130434782608,1288.0,35678.7109375,95840.42553191462,706.0,-36.0,1.0975609756097562,3.0,3.0,8983620.0,0.014652014652014652,-16.0,-2.5914634146341466,85.0,0.48780487804878053,706.0,0.010434010434010463,0.010434010434010463,-1876.0,8.976076555023923,-0.7272727272727273,768.0,152.0,3.6746411483253585,11.819621394337554
3284,2092.0,5.173913043478261,1777.0,1.75,10.51086956521739,1286.0,35683.59375,95840.42553191462,706.0,-37.0,1.128048780487805,3.0,3.0,8983780.0,0.019536019536019536,-3.0,-2.4695121951219514,81.0,0.09146341463414635,706.0,0.010434010434010463,0.010434010434010463,-1880.0,8.995215311004785,-0.708133971291866,776.0,148.0,3.712918660287081,11.845262985619513
3285,2103.0,5.184782608695652,1776.0,1.6304347826086956,10.478260869565217,1289.0,35688.4765625,91928.57142857119,707.0,-40.0,1.2195121951219514,3.0,3.0,8983940.0,0.02442002442002442,-5.0,-2.4695121951219514,81.0,0.15243902439024393,707.0,0.010878010878010906,0.010878010878010906,-1868.0,8.937799043062201,-0.8421052631578947,788.0,176.0,3.7703349282296648,11.803992508064159
3286,2105.0,5.282608695652174,1767.0,1.608695652173913,10.5,1287.0,35693.359375,91928.57142857119,707.0,-38.0,1.1585365853658538,3.0,3.0,8984100.0,0.029304029304029304,-10.0,-2.7439024390243905,90.0,0.30487804878048785,707.0,0.010878010878010906,0.010878010878010906,-1876.0,8.976076555023923,-0.784688995215311,776.0,164.0,3.712918660287081,11.86355159017329
3287,2107.0,5.206521739130435,1774.0,1.5869565217391304,10.489130434782608,1288.0,35698.2421875,104755.81395348875,704.0,-33.0,1.0060975609756098,3.0,3.0,8984260.0,0.03418803418803419,-25.0,-2.8963414634146343,95.0,0.7621951219512196,704.0,0.009546009546009511,0.009546009546009513,-1884.0,9.014354066985646,-0.8612440191387559,788.0,180.0,3.7703349282296648,11.81728212829883
3288,2105.0,5.239130434782608,1771.0,1.608695652173913,10.478260869565217,1289.0,35703.125,91928.57142857119,707.0,-35.0,1.0670731707317074,3.0,3.0,8984420.0,0.03907203907203907,-31.0,-2.957317073170732,97.0,0.9451219512195123,707.0,0.010878010878010906,0.010878010878010906,-1884.0,9.014354066985646,-0.9186602870813396,788.0,192.0,3.7703349282296648,11.824987960444199
3289,2105.0,5.25,1770.0,1.608695652173913,10.478260869565217,1289.0,35708.0078125,91928.57142857119,707.0,-32.0,0.9756097560975611,3.0,3.0,8984580.0,0.04395604395604395,-37.0,-2.8963414634146343,95.0,1.128048780487805,707.0,0.010878010878010906,0.010878010878010906,-1876.0,8.976076555023923,-0.8803827751196172,804.0,184.0,3.8468899521531097,11.82980779860708
3290,2112.0,5.260869565217392,1769.0,1.5326086956521738,10.467391304347826,1290.0,35712.890625,100099.99999999968,705.0,-32.0,0.9756097560975611,3.0,3.0,8984740.0,0.04884004884004884,-42.0,-2.7439024390243905,90.0,1.2804878048780488,705.0,0.009990009990010021,0.009990009990010023,-1872.0,8.956937799043061,-0.8229665071770335,776.0,172.0,3.712918660287081,11.814902399705034
3291,2108.0,5.282608695652174,1767.0,1.576086956521739,10.434782608695652,1293.0,35717.7734375,104755.81395348875,704.0,-31.0,0.9451219512195123,3.0,3.0,8984900.0,0.05372405372405373,-50.0,-2.7439024390243905,90.0,1.5243902439024393,704.0,0.009546009546009511,0.009546009546009513,-1872.0,8.956937799043061,-0.8612440191387559,784.0,180.0,3.751196172248804,11.80146994304672
