,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2052,1599.0,6.58695652173913,7.108695652173913,1647.0,8.076086956521738,1510.0,57158.203125,709.0,84990.56603773567,-12.865853658536587,422.0,3.0,3.0,0.0,14367593.0,-138.0,1.6463414634146343,4.207317073170732,-54.0,709.0,0.011766011766011792,0.01176601176601179,6.373205741626794,-1332.0,1084.0,5.37799043062201,-1124.0,5.186602870813397,12.615257850072606
2053,1581.0,6.423913043478261,7.304347826086956,1662.0,8.097826086956522,1508.0,57163.0859375,709.0,84990.56603773567,-9.664634146341465,317.0,3.0,3.0,0.004884004884004884,14367753.0,-382.0,2.957317073170732,11.646341463414636,-97.0,709.0,0.011766011766011792,0.01176601176601179,6.545454545454545,-1368.0,1048.0,5.645933014354067,-1180.0,5.0143540669856455,12.656814105027573
2054,1564.0,6.282608695652174,7.489130434782608,1675.0,8.16304347826087,1502.0,57167.96875,709.0,84990.56603773567,-6.52439024390244,214.0,3.0,3.0,0.009768009768009768,14367913.0,-498.0,4.298780487804878,15.182926829268293,-141.0,709.0,0.011766011766011792,0.01176601176601179,6.641148325358851,-1388.0,1012.0,5.85645933014354,-1224.0,4.842105263157895,12.735522192664451
2055,1552.0,6.239130434782608,7.619565217391304,1679.0,8.282608695652174,1491.0,57172.8515625,710.0,81899.99999999984,-2.408536585365854,79.0,3.0,3.0,0.014652014652014652,14368073.0,-517.0,5.670731707317073,15.76219512195122,-186.0,710.0,0.012210012210012234,0.012210012210012234,6.698564593301435,-1400.0,992.0,5.875598086124402,-1228.0,4.746411483253588,12.868027412529203
2056,1545.0,6.130434782608695,7.695652173913043,1689.0,8.48913043478261,1472.0,57177.734375,709.0,84990.56603773567,1.0670731707317074,-35.0,3.0,3.0,0.019536019536019536,14368233.0,-464.0,6.310975609756098,14.146341463414636,-207.0,709.0,0.011766011766011792,0.01176601176601179,6.8708133971291865,-1436.0,1008.0,5.990430622009569,-1252.0,4.822966507177033,12.995023222157913
2057,1542.0,6.195652173913043,7.728260869565217,1683.0,8.532608695652174,1468.0,57182.6171875,709.0,84990.56603773567,4.359756097560976,-143.0,3.0,3.0,0.02442002442002442,14368393.0,-423.0,6.097560975609757,12.896341463414636,-200.0,709.0,0.011766011766011792,0.01176601176601179,7.023923444976076,-1468.0,1000.0,6.162679425837321,-1288.0,4.784688995215311,13.07354324891632
2058,1542.0,6.08695652173913,7.728260869565217,1693.0,8.608695652173912,1461.0,57187.5,709.0,84990.56603773567,7.500000000000001,-246.0,3.0,3.0,0.029304029304029304,14368553.0,-361.0,5.76219512195122,11.006097560975611,-189.0,709.0,0.011766011766011792,0.01176601176601179,7.08133971291866,-1480.0,980.0,6.047846889952153,-1264.0,4.688995215311005,13.072363848874215
2059,1548.0,6.054347826086956,7.663043478260869,1696.0,8.630434782608695,1459.0,57192.3828125,711.0,79026.31578947355,10.30487804878049,-338.0,3.0,3.0,0.03418803418803419,14368713.0,-239.0,5.670731707317073,7.286585365853659,-186.0,711.0,0.012654012654012677,0.012654012654012677,7.100478468899521,-1484.0,976.0,5.952153110047846,-1244.0,4.669856459330143,13.03310275743356
2060,1559.0,6.021739130434782,7.543478260869565,1699.0,8.684782608695652,1454.0,57197.265625,710.0,81899.99999999984,12.926829268292684,-424.0,3.0,3.0,0.03907203907203907,14368873.0,-123.0,5.426829268292684,3.7500000000000004,-178.0,710.0,0.012210012210012234,0.012210012210012234,7.196172248803827,-1504.0,936.0,5.875598086124402,-1228.0,4.4784688995215305,12.984254132892024
2061,1562.0,5.815217391304348,7.510869565217391,1718.0,8.793478260869565,1444.0,57202.1484375,708.0,88323.5294117645,15.30487804878049,-502.0,3.0,3.0,0.04395604395604395,14369033.0,-10.0,4.420731707317073,0.30487804878048785,-145.0,708.0,0.01132201132201135,0.011322011322011348,7.330143540669856,-1532.0,912.0,5.760765550239234,-1204.0,4.363636363636363,12.9443105207741
2062,1579.0,5.760869565217392,7.326086956521739,1723.0,8.76086956521739,1447.0,57207.03125,708.0,88323.5294117645,17.682926829268293,-580.0,3.0,3.0,0.04884004884004884,14369193.0,123.0,3.689024390243903,-3.7500000000000004,-121.0,708.0,0.01132201132201135,0.011322011322011348,7.291866028708133,-1524.0,860.0,5.5311004784688995,-1156.0,4.114832535885167,12.791090797141514
2063,1596.0,5.510869565217392,7.141304347826087,1746.0,8.717391304347826,1451.0,57211.9140625,706.0,95840.42553191462,18.75,-615.0,3.0,3.0,0.05372405372405373,14369353.0,257.0,3.231707317073171,-7.835365853658537,-106.0,706.0,0.010434010434010463,0.010434010434010463,7.119617224880383,-1488.0,848.0,5.358851674641148,-1120.0,4.057416267942584,12.54435420044564
2064,1610.0,5.423913043478261,6.989130434782608,1754.0,8.597826086956522,1462.0,57216.796875,709.0,84990.56603773567,19.420731707317074,-637.0,3.0,3.0,0.05860805860805861,14369513.0,405.0,2.8658536585365857,-12.347560975609758,-94.0,709.0,0.011766011766011792,0.01176601176601179,6.966507177033493,-1456.0,828.0,5.148325358851674,-1076.0,3.9617224880382773,12.336506408184135
2065,1625.0,5.434782608695652,6.826086956521739,1753.0,8.456521739130434,1475.0,57221.6796875,709.0,84990.56603773567,20.243902439024392,-664.0,3.0,3.0,0.06349206349206349,14369673.0,536.0,3.7500000000000004,-16.34146341463415,-123.0,709.0,0.011766011766011792,0.01176601176601179,6.813397129186603,-1424.0,828.0,5.0143540669856455,-1048.0,3.9617224880382773,12.150929391045056
2066,1633.0,5.576086956521739,6.739130434782608,1740.0,8.326086956521738,1487.0,57226.5625,709.0,84990.56603773567,21.00609756097561,-689.0,3.0,3.0,0.06837606837606838,14369833.0,589.0,4.176829268292684,-17.957317073170735,-137.0,709.0,0.011766011766011792,0.01176601176601179,6.679425837320574,-1396.0,888.0,4.842105263157895,-1012.0,4.248803827751196,12.076106523679995
2067,1643.0,5.83695652173913,6.630434782608695,1716.0,8.25,1494.0,57231.4453125,709.0,84990.56603773567,21.981707317073173,-721.0,3.0,3.0,0.07326007326007326,14369993.0,565.0,4.786585365853659,-17.225609756097562,-157.0,709.0,0.011766011766011792,0.01176601176601179,6.62200956937799,-1384.0,916.0,4.880382775119617,-1020.0,4.382775119617225,12.086985846070153
2068,1649.0,6.141304347826087,6.565217391304348,1688.0,8.206521739130434,1498.0,57236.328125,708.0,88323.5294117645,22.5609756097561,-740.0,3.0,3.0,0.07814407814407814,14370153.0,488.0,6.036585365853659,-14.878048780487806,-198.0,708.0,0.01132201132201135,0.011322011322011348,6.602870813397129,-1380.0,1008.0,4.746411483253588,-992.0,4.822966507177033,12.172292205765235
2069,1656.0,6.434782608695652,6.489130434782608,1661.0,8.021739130434783,1515.0,57241.2109375,710.0,81899.99999999984,23.01829268292683,-755.0,3.0,3.0,0.08302808302808302,14370313.0,375.0,7.347560975609757,-11.432926829268293,-241.0,710.0,0.012210012210012234,0.012210012210012234,6.4688995215311005,-1352.0,1064.0,4.746411483253588,-992.0,5.090909090909091,12.159915283320954
2070,1655.0,6.793478260869565,6.5,1628.0,7.923913043478261,1524.0,57246.09375,709.0,84990.56603773567,22.926829268292686,-752.0,3.0,3.0,0.0879120879120879,14370473.0,238.0,8.810975609756099,-7.25609756097561,-289.0,709.0,0.011766011766011792,0.01176601176601179,6.354066985645932,-1328.0,1168.0,4.688995215311005,-980.0,5.588516746411483,12.29592391004077
2071,1652.0,7.065217391304348,6.532608695652174,1603.0,7.8478260869565215,1531.0,57250.9765625,709.0,84990.56603773567,23.262195121951223,-763.0,3.0,3.0,0.0927960927960928,14370633.0,73.0,10.27439024390244,-2.2256097560975614,-337.0,709.0,0.011766011766011792,0.01176601176601179,6.239234449760765,-1304.0,1220.0,4.746411483253588,-992.0,5.837320574162679,12.416950005859535
2072,1650.0,7.217391304347826,6.554347826086956,1589.0,7.858695652173913,1530.0,57255.859375,710.0,81899.99999999984,23.84146341463415,-782.0,3.0,3.0,0.09768009768009768,14370793.0,-95.0,11.219512195121952,2.8963414634146343,-368.0,710.0,0.012210012210012234,0.012210012210012234,6.200956937799043,-1296.0,1268.0,4.669856459330143,-976.0,6.0669856459330145,12.52235241553693
2073,1658.0,7.369565217391304,6.467391304347826,1575.0,7.891304347826087,1527.0,57260.7421875,712.0,76347.45762711852,24.695121951219516,-810.0,3.0,3.0,0.10256410256410256,14370953.0,-253.0,12.225609756097562,7.713414634146342,-401.0,712.0,0.013098013098013119,0.013098013098013117,6.220095693779904,-1300.0,1292.0,4.650717703349282,-972.0,6.181818181818182,12.586116402089903
2074,1661.0,7.456521739130435,6.434782608695652,1567.0,7.793478260869565,1536.0,57265.625,709.0,84990.56603773567,26.03658536585366,-854.0,3.0,3.0,0.10744810744810745,14371113.0,-375.0,13.323170731707318,11.432926829268293,-437.0,709.0,0.011766011766011792,0.01176601176601179,6.181818181818182,-1292.0,1296.0,4.631578947368421,-968.0,6.200956937799043,12.559635626479906
2075,1666.0,7.510869565217391,6.380434782608695,1562.0,7.782608695652174,1537.0,57270.5078125,709.0,84990.56603773567,27.621951219512198,-906.0,3.0,3.0,0.11233211233211234,14371273.0,-453.0,15.152439024390246,13.810975609756099,-497.0,709.0,0.011766011766011792,0.01176601176601179,6.162679425837321,-1288.0,1300.0,4.5933014354066986,-960.0,6.220095693779904,12.557551821532435
2076,1663.0,7.5,6.413043478260869,1563.0,7.739130434782608,1541.0,57275.390625,709.0,84990.56603773567,29.512195121951223,-968.0,3.0,3.0,0.11721611721611722,14371433.0,-492.0,16.493902439024392,15.000000000000002,-541.0,709.0,0.011766011766011792,0.01176601176601179,6.200956937799043,-1296.0,1304.0,4.4784688995215305,-936.0,6.239234449760765,12.54078412782242
2077,1667.0,7.521739130434782,6.369565217391304,1561.0,7.728260869565217,1542.0,57280.2734375,708.0,88323.5294117645,31.58536585365854,-1036.0,3.0,3.0,0.1221001221001221,14371593.0,-537.0,17.31707317073171,16.371951219512198,-568.0,708.0,0.01132201132201135,0.011322011322011348,6.0669856459330145,-1268.0,1300.0,4.516746411483253,-944.0,6.220095693779904,12.524932601533944
2078,1664.0,7.532608695652174,6.4021739130434785,1560.0,7.717391304347826,1543.0,57285.15625,709.0,84990.56603773567,33.018292682926834,-1083.0,3.0,3.0,0.12698412698412698,14371753.0,-579.0,18.689024390243905,17.652439024390244,-613.0,709.0,0.011766011766011792,0.01176601176601179,6.124401913875598,-1280.0,1312.0,4.555023923444976,-952.0,6.277511961722488,12.541377640398707
