,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
413,9.576086956521738,812.0,1372.0,15.66304347826087,1920.0,3.619565217391304,16313.4765625,710.0,81899.99999999984,10048.0,-306.3414634146342,3.0,3.0,0.0,7912612.0,12.621951219512196,-4408.0,134.39024390243904,-414.0,710.0,0.012210012210012234,0.012210012210012234,-380.0,1.8181818181818181,15.004784688995215,1816.0,-3136.0,8.688995215311005,18.711857865100008
414,9.597826086956522,770.0,1370.0,16.119565217391305,1913.0,3.6956521739130435,16318.359375,710.0,81899.99999999984,10337.0,-315.1524390243903,3.0,3.0,0.004884004884004884,7912772.0,9.298780487804878,-4066.0,123.96341463414635,-305.0,710.0,0.012210012210012234,0.012210012210012234,-368.0,1.7607655502392343,15.387559808612439,1820.0,-3216.0,8.708133971291865,19.12110073671866
415,9.815217391304348,783.0,1350.0,15.978260869565217,1912.0,3.7065217391304346,16323.2421875,713.0,73844.26229508186,10181.0,-310.3963414634147,3.0,3.0,0.009768009768009768,7912932.0,7.286585365853659,-3699.0,112.77439024390245,-239.0,713.0,0.013542013542013561,0.01354201354201356,-356.0,1.7033492822966507,15.157894736842104,1840.0,-3168.0,8.803827751196172,19.11495791931253
416,9.91304347826087,807.0,1341.0,15.717391304347826,1918.0,3.641304347826087,16328.125,710.0,81899.99999999984,9817.0,-299.2987804878049,3.0,3.0,0.014652014652014652,7913092.0,9.542682926829269,-3461.0,105.51829268292684,-313.0,710.0,0.012210012210012234,0.012210012210012234,-376.0,1.7990430622009568,14.736842105263158,1820.0,-3080.0,8.708133971291865,18.935784054783056
417,10.054347826086957,833.0,1328.0,15.434782608695652,1906.0,3.7717391304347827,16333.0078125,711.0,79026.31578947355,9453.0,-288.20121951219517,3.0,3.0,0.019536019536019536,7913252.0,14.115853658536587,-3381.0,103.07926829268294,-463.0,711.0,0.012654012654012677,0.012654012654012677,-432.0,2.0669856459330145,14.4688995215311,1848.0,-3024.0,8.842105263157894,18.802883833435928
418,10.152173913043478,846.0,1319.0,15.293478260869565,1886.0,3.9891304347826084,16337.890625,712.0,76347.45762711852,9176.0,-279.75609756097566,3.0,3.0,0.02442002442002442,7913412.0,18.597560975609756,-3431.0,104.60365853658537,-610.0,712.0,0.013098013098013119,0.013098013098013117,-440.0,2.1052631578947367,14.31578947368421,1908.0,-2992.0,9.129186602870814,18.78484160439154
419,10.315217391304348,855.0,1304.0,15.195652173913043,1885.0,4.0,16342.7734375,711.0,79026.31578947355,8953.0,-272.95731707317077,3.0,3.0,0.029304029304029304,7913572.0,20.731707317073173,-3396.0,103.53658536585367,-680.0,711.0,0.012654012654012677,0.012654012654012677,-452.0,2.1626794258373203,14.239234449760765,1944.0,-2976.0,9.301435406698564,18.796583594377353
420,10.521739130434783,855.0,1285.0,15.195652173913043,1881.0,4.043478260869565,16347.65625,710.0,81899.99999999984,8711.0,-265.57926829268297,3.0,3.0,0.03418803418803419,7913732.0,21.676829268292686,-3257.0,99.29878048780489,-711.0,710.0,0.012210012210012234,0.012210012210012234,-508.0,2.430622009569378,14.31578947368421,1972.0,-2992.0,9.435406698564593,18.919951262241547
421,10.42391304347826,846.0,1294.0,15.293478260869565,1873.0,4.130434782608695,16352.5390625,707.0,91928.57142857119,8457.0,-257.8353658536586,3.0,3.0,0.03907203907203907,7913892.0,23.932926829268293,-3154.0,96.15853658536587,-785.0,707.0,0.010878010878010906,0.010878010878010906,-488.0,2.3349282296650715,14.507177033492823,1944.0,-3032.0,9.301435406698564,18.963357612697965
422,10.402173913043478,823.0,1296.0,15.543478260869565,1895.0,3.891304347826087,16357.421875,709.0,84990.56603773567,8207.0,-250.21341463414637,3.0,3.0,0.04395604395604395,7914052.0,28.262195121951223,-3104.0,94.63414634146342,-927.0,709.0,0.011766011766011792,0.01176601176601179,-420.0,2.0095693779904304,14.870813397129186,1928.0,-3108.0,9.224880382775119,19.103590973707988
423,10.380434782608695,808.0,1298.0,15.706521739130434,1904.0,3.793478260869565,16362.3046875,710.0,81899.99999999984,7941.0,-242.10365853658539,3.0,3.0,0.04884004884004884,7914212.0,31.03658536585366,-3071.0,93.62804878048782,-1018.0,710.0,0.012210012210012234,0.012210012210012234,-404.0,1.9330143540669855,14.985645933014354,1940.0,-3132.0,9.282296650717702,19.205174530148362
424,10.358695652173912,810.0,1300.0,15.684782608695652,1887.0,3.9782608695652173,16367.1875,710.0,81899.99999999984,7632.0,-232.68292682926833,3.0,3.0,0.05372405372405373,7914372.0,30.457317073170735,-2894.0,88.23170731707317,-999.0,710.0,0.012210012210012234,0.012210012210012234,-468.0,2.2392344497607652,14.851674641148325,1936.0,-3104.0,9.263157894736842,19.21305651484745
