,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
1847,4.804347826086956,2608.0,1811.0,-3.858695652173913,7.315217391304348,1580.0,62587.890625,84990.56603773567,709.0,-647.0,19.725609756097562,3.0,3.0,9588290.0,0.0,-1117.0,-9.26829268292683,304.0,34.05487804878049,709.0,0.011766011766011792,0.01176601176601179,5.722488038277512,-1196.0,660.0,-7.215311004784689,1508.0,3.1578947368421053,9.564710954972654
1848,4.826086956521739,2615.0,1809.0,-3.934782608695652,7.3478260869565215,1577.0,62592.7734375,84990.56603773567,709.0,-626.0,19.085365853658537,3.0,3.0,9588450.0,0.004884004884004884,-1050.0,-9.207317073170733,302.0,32.01219512195122,709.0,0.011766011766011792,0.01176601176601179,5.665071770334928,-1184.0,644.0,-7.1387559808612435,1492.0,3.0813397129186604,9.631416183187278
1849,4.826086956521739,2615.0,1809.0,-3.934782608695652,7.315217391304348,1580.0,62597.65625,88323.5294117645,708.0,-618.0,18.84146341463415,3.0,3.0,9588610.0,0.009768009768009768,-995.0,-9.115853658536587,299.0,30.33536585365854,708.0,0.01132201132201135,0.011322011322011348,5.645933014354067,-1180.0,656.0,-7.215311004784689,1508.0,3.138755980861244,9.60656207868583
1850,4.717391304347826,2615.0,1819.0,-3.934782608695652,7.260869565217391,1585.0,62602.5390625,91928.57142857119,707.0,-621.0,18.932926829268293,3.0,3.0,9588770.0,0.014652014652014652,-960.0,-8.536585365853659,280.0,29.26829268292683,707.0,0.010878010878010906,0.010878010878010906,5.569377990430622,-1164.0,644.0,-7.1387559808612435,1492.0,3.0813397129186604,9.510863354035239
1851,4.6521739130434785,2611.0,1825.0,-3.891304347826087,7.25,1586.0,62607.421875,88323.5294117645,708.0,-617.0,18.8109756097561,3.0,3.0,9588930.0,0.019536019536019536,-972.0,-8.353658536585368,274.0,29.634146341463417,708.0,0.01132201132201135,0.011322011322011348,5.607655502392344,-1172.0,632.0,-7.177033492822966,1500.0,3.0239234449760763,9.452379152605575
1852,4.630434782608695,2613.0,1827.0,-3.9130434782608696,7.271739130434782,1584.0,62612.3046875,84990.56603773567,709.0,-611.0,18.628048780487806,3.0,3.0,9589090.0,0.02442002442002442,-1000.0,-8.201219512195122,269.0,30.487804878048784,709.0,0.011766011766011792,0.01176601176601179,5.55023923444976,-1160.0,616.0,-7.1387559808612435,1492.0,2.9473684210526314,9.467366345496975
1853,4.608695652173913,2612.0,1829.0,-3.902173913043478,7.391304347826087,1573.0,62617.1875,84990.56603773567,709.0,-565.0,17.225609756097562,3.0,3.0,9589250.0,0.029304029304029304,-1024.0,-8.871951219512196,291.0,31.219512195121954,709.0,0.011766011766011792,0.01176601176601179,5.645933014354067,-1180.0,628.0,-7.100478468899521,1484.0,3.004784688995215,9.544549063428644
1854,4.565217391304348,2605.0,1833.0,-3.8260869565217392,7.282608695652174,1583.0,62622.0703125,84990.56603773567,709.0,-529.0,16.128048780487806,3.0,3.0,9589410.0,0.03418803418803419,-1056.0,-8.810975609756099,289.0,32.19512195121951,709.0,0.011766011766011792,0.01176601176601179,5.607655502392344,-1172.0,632.0,-7.043062200956937,1472.0,3.0239234449760763,9.408322945282125
1855,4.58695652173913,2606.0,1831.0,-3.8369565217391304,7.304347826086956,1581.0,62626.953125,88323.5294117645,708.0,-500.0,15.243902439024392,3.0,3.0,9589570.0,0.03907203907203907,-1063.0,-8.323170731707318,273.0,32.40853658536586,708.0,0.01132201132201135,0.011322011322011348,5.626794258373206,-1176.0,600.0,-7.062200956937799,1476.0,2.8708133971291865,9.440121961420987
1856,4.467391304347826,2611.0,1842.0,-3.891304347826087,7.315217391304348,1580.0,62631.8359375,95840.42553191462,706.0,-487.0,14.847560975609758,3.0,3.0,9589730.0,0.04395604395604395,-1088.0,-8.231707317073171,270.0,33.170731707317074,706.0,0.010434010434010463,0.010434010434010463,5.741626794258373,-1200.0,596.0,-7.023923444976076,1468.0,2.851674641148325,9.413407463592256
1857,4.445652173913043,2617.0,1844.0,-3.9565217391304346,7.358695652173913,1576.0,62636.71875,88323.5294117645,708.0,-473.0,14.420731707317074,3.0,3.0,9589890.0,0.04884004884004884,-1143.0,-7.896341463414635,259.0,34.84756097560976,708.0,0.01132201132201135,0.011322011322011348,5.70334928229665,-1192.0,588.0,-7.062200956937799,1476.0,2.813397129186603,9.4640524737003
1858,4.326086956521739,2601.0,1855.0,-3.782608695652174,7.4021739130434785,1572.0,62641.6015625,91928.57142857119,707.0,-440.0,13.414634146341465,3.0,3.0,9590050.0,0.05372405372405373,-1198.0,-7.865853658536586,258.0,36.524390243902445,707.0,0.010878010878010906,0.010878010878010906,5.818181818181818,-1216.0,560.0,-6.947368421052631,1452.0,2.679425837320574,9.370983701765379
