,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
2256,2091.0,11.402173913043478,1204.0,1.7608695652173914,0.22826086956521738,2232.0,25683.59375,709.0,84990.56603773567,-3018.0,92.01219512195122,3.0,3.0,0.0,4172693.0,862.0,59.207317073170735,-1942.0,-26.28048780487805,709.0,0.011766011766011792,0.01176601176601179,-1.9904306220095693,416.0,-0.8421052631578947,2164.0,10.354066985645932,176.0,11.53959854559823
2257,2104.0,11.565217391304348,1189.0,1.6195652173913042,0.10869565217391304,2243.0,25688.4765625,711.0,79026.31578947355,-3025.0,92.22560975609757,3.0,3.0,0.004884004884004884,4172853.0,810.0,59.42073170731708,-1949.0,-24.695121951219516,711.0,0.012654012654012677,0.012654012654012677,-2.0669856459330145,432.0,-0.9760765550239234,2208.0,10.564593301435407,204.0,11.67857266733884
2258,2111.0,11.66304347826087,1180.0,1.5434782608695652,0.05434782608695652,2248.0,25693.359375,709.0,84990.56603773567,-3060.0,93.29268292682927,3.0,3.0,0.009768009768009768,4173013.0,690.0,60.39634146341464,-1981.0,-21.03658536585366,709.0,0.011766011766011792,0.01176601176601179,-2.124401913875598,444.0,-1.1100478468899522,2228.0,10.660287081339712,232.0,11.76485707536563
2259,2123.0,11.826086956521738,1165.0,1.4130434782608696,0.07608695652173914,2246.0,25698.2421875,710.0,81899.99999999984,-3077.0,93.81097560975611,3.0,3.0,0.014652014652014652,4173173.0,548.0,61.40243902439025,-2014.0,-16.707317073170735,710.0,0.012210012210012234,0.012210012210012234,-2.124401913875598,444.0,-1.0909090909090908,2268.0,10.851674641148325,228.0,11.910449773187487
2260,2113.0,11.880434782608695,1160.0,1.5217391304347825,0.03260869565217391,2250.0,25703.125,709.0,84990.56603773567,-3083.0,93.9939024390244,3.0,3.0,0.019536019536019536,4173333.0,475.0,62.774390243902445,-2059.0,-14.481707317073171,709.0,0.011766011766011792,0.01176601176601179,-2.2392344497607652,468.0,-1.186602870813397,2276.0,10.889952153110048,248.0,11.977540813203145
2261,2123.0,11.858695652173912,1162.0,1.4130434782608696,0.010869565217391304,2252.0,25708.0078125,711.0,79026.31578947355,-3042.0,92.7439024390244,3.0,3.0,0.02442002442002442,4173493.0,399.0,64.14634146341464,-2104.0,-12.164634146341465,711.0,0.012654012654012677,0.012654012654012677,-2.2966507177033493,480.0,-1.1674641148325358,2248.0,10.75598086124402,244.0,11.942590698411799
2262,2119.0,11.804347826086957,1167.0,1.4565217391304348,-0.08695652173913043,2261.0,25712.890625,710.0,81899.99999999984,-3045.0,92.83536585365854,3.0,3.0,0.029304029304029304,4173653.0,326.0,64.78658536585367,-2125.0,-9.939024390243903,710.0,0.012210012210012234,0.012210012210012234,-2.277511961722488,476.0,-1.1674641148325358,2252.0,10.77511961722488,244.0,11.894185327817807
2263,2139.0,11.706521739130434,1176.0,1.2391304347826086,-0.06521739130434782,2259.0,25717.7734375,711.0,79026.31578947355,-3151.0,96.06707317073172,3.0,3.0,0.03418803418803419,4173813.0,287.0,63.75000000000001,-2091.0,-8.75,711.0,0.012654012654012677,0.012654012654012677,-2.3923444976076556,500.0,-1.3779904306220094,2196.0,10.507177033492823,288.0,11.77210044007723
2264,2159.0,11.543478260869565,1191.0,1.0217391304347825,-0.33695652173913043,2284.0,25722.65625,710.0,81899.99999999984,-3233.0,98.56707317073172,3.0,3.0,0.03907203907203907,4173973.0,283.0,63.44512195121952,-2081.0,-8.628048780487806,710.0,0.012210012210012234,0.012210012210012234,-2.602870813397129,544.0,-1.6076555023923444,2172.0,10.392344497607654,336.0,11.593505979960176
2265,2176.0,11.315217391304348,1212.0,0.8369565217391304,-0.43478260869565216,2293.0,25727.5390625,710.0,81899.99999999984,-3275.0,99.84756097560977,3.0,3.0,0.04395604395604395,4174133.0,319.0,64.72560975609757,-2123.0,-9.725609756097562,710.0,0.012210012210012234,0.012210012210012234,-2.736842105263158,572.0,-1.9904306220095693,2128.0,10.181818181818182,416.0,11.354456250678947
2266,2191.0,11.217391304347826,1221.0,0.6739130434782609,-0.46739130434782605,2296.0,25732.421875,711.0,79026.31578947355,-3269.0,99.66463414634147,3.0,3.0,0.04884004884004884,4174293.0,322.0,67.16463414634147,-2203.0,-9.817073170731708,711.0,0.012654012654012677,0.012654012654012677,-2.77511961722488,580.0,-2.1818181818181817,2108.0,10.086124401913874,456.0,11.247332176850131
2267,2210.0,11.17391304347826,1225.0,0.46739130434782605,-0.46739130434782605,2296.0,25737.3046875,711.0,79026.31578947355,-3258.0,99.32926829268294,3.0,3.0,0.05372405372405373,4174453.0,294.0,69.81707317073172,-2290.0,-8.963414634146343,711.0,0.012654012654012677,0.012654012654012677,-2.602870813397129,544.0,-2.2583732057416266,2088.0,9.990430622009569,472.0,11.19344638464729
2268,2214.0,11.16304347826087,1226.0,0.42391304347826086,-0.45652173913043476,2295.0,25742.1875,710.0,81899.99999999984,-3284.0,100.1219512195122,3.0,3.0,0.05860805860805861,4174613.0,285.0,71.89024390243902,-2358.0,-8.689024390243903,710.0,0.012210012210012234,0.012210012210012234,-2.602870813397129,544.0,-2.277511961722488,2096.0,10.028708133971291,476.0,11.180413859257277
2269,2210.0,11.217391304347826,1221.0,0.46739130434782605,-0.43478260869565216,2293.0,25747.0703125,711.0,79026.31578947355,-3340.0,101.82926829268294,3.0,3.0,0.06349206349206349,4174773.0,266.0,73.50609756097562,-2411.0,-8.109756097560977,711.0,0.012654012654012677,0.012654012654012677,-2.660287081339713,556.0,-2.354066985645933,2124.0,10.16267942583732,492.0,11.235539961348648
