,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
1641,1618.0,-2.0760869565217392,2444.0,6.9021739130434785,9.195652173913043,1407.0,14121.09375,81899.99999999984,710.0,35.640243902439025,-1169.0,3.0,3.0,0.0,15368023.0,171.6158536585366,2745.0,-83.68902439024392,-5629.0,0.012210012210012234,710.0,0.012210012210012234,-1688.0,8.076555023923445,5.301435406698564,-844.0,-1108.0,-4.038277511961723,11.683756274440565
1642,1561.0,-1.5869565217391304,2399.0,7.521739130434782,9.543478260869565,1375.0,14125.9765625,76347.45762711852,712.0,37.25609756097561,-1222.0,3.0,3.0,0.004884004884004884,15368183.0,169.2378048780488,3364.0,-102.56097560975611,-5551.0,0.013098013098013119,712.0,0.013098013098013117,-1720.0,8.229665071770334,5.85645933014354,-780.0,-1224.0,-3.7320574162679425,12.254508062908691
1643,1433.0,-1.1521739130434783,2359.0,8.91304347826087,9.771739130434783,1354.0,14130.859375,79026.31578947355,711.0,37.774390243902445,-1239.0,3.0,3.0,0.009768009768009768,15368343.0,165.609756097561,3854.0,-117.50000000000001,-5432.0,0.012654012654012677,711.0,0.012654012654012677,-1728.0,8.267942583732058,7.8086124401913874,-692.0,-1632.0,-3.311004784688995,13.276171677277183
1644,1428.0,0.45652173913043476,2211.0,8.967391304347826,9.695652173913043,1361.0,14135.7421875,81899.99999999984,710.0,56.3719512195122,-1849.0,3.0,3.0,0.014652014652014652,15368503.0,146.34146341463415,3582.0,-109.20731707317074,-4800.0,0.012210012210012234,710.0,0.012210012210012234,-1704.0,8.153110047846889,8.47846889952153,-452.0,-1772.0,-2.1626794258373203,13.214695985193773
1645,1570.0,0.44565217391304346,2212.0,7.423913043478261,8.01086956521739,1516.0,14140.625,79026.31578947355,711.0,98.20121951219514,-3221.0,3.0,3.0,0.019536019536019536,15368663.0,152.31707317073173,5511.0,-168.01829268292684,-4996.0,0.012654012654012677,711.0,0.012654012654012677,-1256.0,6.00956937799043,4.956937799043062,-336.0,-1036.0,-1.6076555023923444,10.931016509372142
1646,1326.0,-1.9130434782608696,2429.0,10.076086956521738,9.804347826086957,1351.0,14145.5078125,88323.5294117645,708.0,15.396341463414636,-505.0,3.0,3.0,0.02442002442002442,15368823.0,173.65853658536588,4109.0,-125.27439024390245,-5696.0,0.01132201132201135,708.0,0.011322011322011348,-1912.0,9.148325358851674,9.626794258373206,-744.0,-2012.0,-3.5598086124401913,14.188463623662711
1647,1284.0,-0.7934782608695652,2326.0,10.532608695652174,10.597826086956522,1278.0,14150.390625,81899.99999999984,710.0,11.158536585365855,-366.0,3.0,3.0,0.029304029304029304,15368983.0,136.64634146341464,4262.0,-129.9390243902439,-4482.0,0.012210012210012234,710.0,0.012210012210012234,-1860.0,8.899521531100477,9.435406698564593,-544.0,-1972.0,-2.602870813397129,14.96259908757755
1648,1445.0,0.5760869565217391,2200.0,8.782608695652174,10.141304347826086,1320.0,14155.2734375,84990.56603773567,709.0,41.3109756097561,-1355.0,3.0,3.0,0.03418803418803419,15369143.0,126.18902439024392,4813.0,-146.7378048780488,-4139.0,0.011766011766011792,709.0,0.01176601176601179,-1796.0,8.593301435406698,6.602870813397129,-320.0,-1380.0,-1.5311004784688995,13.428035804154527
1649,1652.0,0.7934782608695652,2180.0,6.532608695652174,9.967391304347826,1336.0,14160.15625,81899.99999999984,710.0,79.90853658536587,-2621.0,3.0,3.0,0.03907203907203907,15369303.0,133.2926829268293,5003.0,-152.53048780487805,-4372.0,0.012210012210012234,710.0,0.012210012210012234,-1788.0,8.555023923444976,3.866028708133971,-380.0,-808.0,-1.8181818181818181,11.943762955407799
1650,1655.0,-0.7608695652173912,2323.0,6.5,10.043478260869565,1329.0,14165.0390625,79026.31578947355,711.0,72.40853658536587,-2375.0,3.0,3.0,0.04395604395604395,15369463.0,146.64634146341464,5080.0,-154.87804878048783,-4810.0,0.012654012654012677,711.0,0.012654012654012677,-1864.0,8.91866028708134,5.052631578947368,-672.0,-1056.0,-3.215311004784689,11.987509252210554
